Slice,Count,Total Area,Average Size,%Area,Mean
vulpia_myuros-p1-all,17,5.648,0.332,0.869,254.853
vulpia_myuros-p1-l1,1,0.590,0.590,0.091,254.992
vulpia_myuros-p1-l2,2,1.327,0.664,0.204,254.991
vulpia_myuros-p1-l3,1,0.853,0.853,0.131,255.000
vulpia_myuros-p2-all,20,5.600,0.280,0.862,254.770
vulpia_myuros-p2-l1,2,0.812,0.406,0.125,254.927
vulpia_myuros-p2-l2,1,0.492,0.492,0.076,255.000
vulpia_myuros-p2-l3,1,0.291,0.291,0.045,255.000
vulpia_myuros-p3-all,8,1.894,0.237,0.292,254.947
vulpia_myuros-p3-l1,2,0.550,0.275,0.085,254.983
vulpia_myuros-p3-l2,1,0.334,0.334,0.051,255.000
vulpia_myuros-p3-l3,2,0.312,0.156,0.048,254.965
