Slice,Count,Total Area,Average Size,%Area,Mean
ermo-p1-all,21,42.288,2.014,7.885,254.463
ermo-p1-l1,1,9.609,9.609,1.792,251.041
ermo-p1-l2,1,4.490,4.490,0.837,254.902
ermo-p1-l3,1,5.764,5.764,1.075,254.107
ermo-p2-all,28,95.976,3.428,17.895,254.315
ermo-p2-l1,2,12.816,6.408,2.390,254.094
ermo-p2-l2,1,6.325,6.325,1.179,254.044
ermo-p2-l3,1,6.503,6.503,1.212,254.937
ermo-p3-all,8,4.294,0.537,0.801,254.463
ermo-p3-l1,6,5.687,0.948,1.060,254.971
ermo-p3-l2,4,7.113,1.778,1.326,254.725
ermo-p3-l3,7,3.931,0.562,0.733,254.844
ermo-p4-all,43,50.089,1.165,9.339,254.468
ermo-p4-l1,3,8.451,2.817,1.576,254.842
ermo-p4-l2,1,10.724,10.724,1.999,253.877
ermo-p4-l3,4,10.149,2.537,1.892,254.857
ermo-p5-all,4,4.651,1.163,0.867,254.866
ermo-p5-l1,6,6.585,1.097,1.228,254.915
ermo-p5-l2,6,3.278,0.546,0.611,254.860
ermo-p5-l3,6,3.783,0.631,0.705,254.515
ermo-p6-all,26,42.170,1.622,7.863,254.654
ermo-p6-l1,4,11.230,2.808,2.094,253.757
ermo-p6-l2,7,6.619,0.946,1.234,254.830
ermo-p6-l3,3,3.417,1.139,0.637,254.980
ermo-p7-all,16,17.732,1.108,3.306,254.204
ermo-p7-l1,6,7.203,1.200,1.343,254.832
ermo-p7-l2,5,4.526,0.905,0.844,254.216
ermo-p7-l3,7,4.719,0.674,0.880,254.702
ermo-p8-all,14,18.712,1.337,3.489,254.727
ermo-p8-l1,5,6.038,1.208,1.126,254.134
ermo-p8-l2,1,5.078,5.078,0.947,251.824
ermo-p8-l3,1,4.810,4.810,0.897,252.831
