Slice,Count,Total Area,Average Size,%Area,Mean
lubi-p1-all,41,13.519,0.330,2.243,254.534
lubi-p1-l1,2,2.282,1.141,0.379,254.726
lubi-p1-l2,2,1.415,0.708,0.235,254.604
lubi-p1-l3,2,1.345,0.673,0.223,254.636
lubi-p2-ALL,25,19.618,0.785,3.255,254.377
lubi-p2-l1,2,1.874,0.937,0.311,253.864
lubi-p2-l2,1,1.277,1.277,0.212,254.681
lubi-p2-l3,1,2.038,2.038,0.338,254.585
lubi-p3-all,13,7.450,0.573,1.236,252.258
lubi-p3-l1,1,1.372,1.372,0.228,254.830
lubi-p3-l2,1,0.731,0.731,0.121,254.556
lubi-p3-l3,1,1.078,1.078,0.179,254.712
lubi-p4-all,12,7.830,0.653,1.299,251.599
lubi-p4-l1,1,1.909,1.909,0.317,254.856
lubi-p4-l2,1,2.718,2.718,0.451,254.876
lubi-p4-l3,1,1.424,1.424,0.236,254.804
lubi-p5-all,9,4.866,0.541,0.807,254.699
lubi-p5-l1,1,1.473,1.473,0.244,254.845
lubi-p5-l2,1,0.927,0.927,0.154,254.704
lubi-p5-l3,1,0.790,0.790,0.131,254.433
lubi-p6-all,22,29.480,1.340,4.892,254.715
lubi-p6-l1,1,2.443,2.443,0.405,254.678
lubi-p6-l2,1,2.344,2.344,0.389,254.803
lubi-p6-l3,1,3.117,3.117,0.517,254.840
lubi-p7-all,16,4.091,0.256,0.679,254.531
lubi-p7-l1,2,2.258,1.129,0.375,254.390
lubi-p7-l2,1,1.430,1.430,0.237,254.853
lubi-p7-l3,2,1.136,0.568,0.189,254.689
lubi-p8-all,14,3.200,0.229,0.531,253.850
lubi-p8-l1,1,1.639,1.639,0.272,254.822
lubi-p8-l2,1,1.423,1.423,0.236,254.570
lubi-p8-l3,3,0.563,0.188,0.093,254.747
