plot,USDA_symbol,plant_number,height,width,length,date
non_plot,TRAL5,4,29,23,9,4/21/17
non_plot,TRAL5,5,23,3,7,4/21/17
non_plot,TRAL5,6,22,3,2,4/21/17
non_plot,TRAL5,7,23,3,3,4/21/17
non_plot,TRAL5,8,11,17,14,4/21/17
non_plot,BOIN3,1,,46,9,4/22/17
non_plot,BOIN3,2,,49,11,4/22/17
non_plot,BOIN3,3,,53,51,4/22/17
non_plot,BOIN3,4,,50,26,4/22/17
non_plot,BOIN3,5,,54,30,4/22/17
non_plot,BOIN3,6,,40,32,4/22/17
non_plot,BOIN3,7,,62,23,4/22/17
non_plot,BOIN3,8,,66,19,4/22/17
non_plot,GAAP2,1,,71,34,4/22/17
non_plot,GAAP2,2,,69,12,4/22/17
non_plot,GAAP2,3,,43,7,4/22/17
non_plot,GAAP2,4,,39,8,4/22/17
non_plot,GAAP2,5,,23,5,4/22/17
non_plot,GAAP2,6,,21,5,4/22/17
non_plot,TOAR,1,45,23,8,4/22/17
non_plot,TOAR,2,46,21,11,4/22/17
non_plot,TOAR,3,44,34,30,4/22/17
non_plot,TOAR,4,48,28,7,4/22/17
non_plot,TOAR,5,41,30,20,4/22/17
non_plot,TOAR,6,46,24,14,4/22/17
non_plot,TOAR,7,62,32,25,4/22/17
non_plot,TOAR,8,62,35,12,4/22/17
non_plot,AVFA,1,58,8,8,5/10/17
non_plot,AVFA,2,50,7,7,5/10/17
non_plot,AVFA,4,66,21,17,5/10/17
non_plot,AVFA,3,69,26,13,5/10/17
non_plot,AVFA,5,50,19,15,5/10/17
non_plot,AVFA,6,52,13,20,5/10/17
non_plot,AVFA,7,70,25,17,5/10/17
non_plot,AVFA,8,59,20,13,5/10/17
non_plot,LASE,2,27,16,12,5/10/17
non_plot,LASE,3,23,22,5,5/10/17
non_plot,LASE,8,18,17,8,5/10/17
non_plot,LASE,5,23,22,4,5/10/17
non_plot,LASE,1,20,13,2,5/10/17
non_plot,LASE,4,25,23,15,5/10/17
non_plot,LASE,6,20,17,11,5/10/17
non_plot,LASE,7,14,10,4,5/10/17
non_plot,LOPE,2,22,19,16,5/10/17
non_plot,LOPE,1,30,25,25,5/10/17
non_plot,LOPE,3,25,20,9,5/10/17
non_plot,LOPE,4,25,22,13,5/10/17
non_plot,LOPE,5,52,27,24,5/10/17
non_plot,LOPE,6,33,14,19,5/10/17
