sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes,X14,X15,X16,X17,LDMC,alias,USDA_symbol,date
2212,non_plot,Lagophylla ramosissima,1,2,7.5,1.2,0.0992,NA,0.0215,NA,12-May-17,NA,NA,NA,NA,NA,0.21673387096774194,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2213,non_plot,Lagophylla ramosissima,1,3,5.5,0.5,0.07163,NA,0.0161,NA,12-May-17,NA,NA,NA,NA,NA,0.22476615943040626,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2214,non_plot,Lagophylla ramosissima,2,1,6,0.7,0.07066,NA,0.0161,NA,12-May-17,NA,25,7,7,NA,0.2278516841211435,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2215,non_plot,Lagophylla ramosissima,2,2,5.5,0.5,0.06699,NA,0.0158,NA,12-May-17,NA,NA,NA,NA,NA,0.23585609792506348,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2216,non_plot,Lagophylla ramosissima,2,3,7,1,0.08975,NA,0.0193,NA,12-May-17,NA,NA,NA,NA,NA,0.21504178272980504,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2217,non_plot,Lagophylla ramosissima,3,1,5.5,0.6,0.07832,NA,0.0167,NA,12-May-17,NA,25,6,5,NA,0.21322778345250254,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2218,non_plot,Lagophylla ramosissima,3,2,5,0.6,0.06162,NA,0.0134,NA,12-May-17,NA,NA,NA,NA,NA,0.2174618630314833,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2219,non_plot,Lagophylla ramosissima,3,3,4.7,0.6,0.06064,NA,0.0125,NA,12-May-17,NA,NA,NA,NA,NA,0.20613456464379948,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2220,non_plot,Lagophylla ramosissima,4,1,4,0.4,0.03187,NA,0.0065,NA,12-May-17,NA,21,4,3,NA,0.20395356134295572,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2221,non_plot,Lagophylla ramosissima,4,2,4,0.3,0.03108,NA,0.0068,NA,12-May-17,NA,NA,NA,NA,NA,0.2187902187902188,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2222,non_plot,Lagophylla ramosissima,4,3,2.5,0.2,0.0229,NA,0.0047,NA,12-May-17,NA,NA,NA,NA,NA,0.2052401746724891,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2223,non_plot,Lagophylla ramosissima,5,1,7,0.7,0.11369,NA,0.0219,NA,12-May-17,NA,22,7,5,NA,0.19262907907467675,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2224,non_plot,Lagophylla ramosissima,5,2,8,1,0.13094,NA,0.0245,NA,12-May-17,NA,NA,NA,NA,NA,0.1871085993584848,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2225,non_plot,Lagophylla ramosissima,5,3,6,0.7,0.085319999999999993,NA,0.017,NA,12-May-17,NA,NA,NA,NA,NA,0.19924988279418662,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2226,non_plot,Lagophylla ramosissima,6,1,7,1,0.12693,NA,0.0274,NA,12-May-17,NA,33,8,7,NA,0.2158670133144253,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2227,non_plot,Lagophylla ramosissima,6,2,6,0.9,0.10107,NA,0.0225,NA,12-May-17,NA,NA,NA,NA,NA,0.2226179875333927,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2228,non_plot,Lagophylla ramosissima,6,3,5.2,0.7,0.07688,NA,0.0182,NA,12-May-17,NA,NA,NA,NA,NA,0.23673257023933403,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2229,non_plot,Lagophylla ramosissima,7,1,7.5,0.7,0.09877,NA,0.0192,NA,12-May-17,NA,27,4,5,NA,0.1943910094158145,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2230,non_plot,Lagophylla ramosissima,7,2,5.5,0.5,0.07049,NA,0.0153,NA,12-May-17,NA,NA,NA,NA,NA,0.21705206412257058,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2231,non_plot,Lagophylla ramosissima,7,3,4.5,0.5,0.04923,NA,0.0107,NA,12-May-17,NA,NA,NA,NA,NA,0.217347146049157,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2232,non_plot,Lagophylla ramosissima,8,1,5,0.6,0.04738,NA,0.0085,NA,12-May-17,NA,20,4,4,NA,0.17940059096665262,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2233,non_plot,Lagophylla ramosissima,8,2,4.5,0.6,0.04732,NA,0.0083,NA,12-May-17,NA,NA,NA,NA,NA,0.1754015215553677,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2234,non_plot,Lagophylla ramosissima,8,3,3.5,0.5,0.03223,NA,0.0064,NA,12-May-17,NA,NA,NA,NA,NA,0.19857275829972076,LAGOPHYLLA RAMOSISSIMA,LARA,2017-05-12
2235,non_plot,SIGA,1,1,3,0.7,0.05606,NA,0.0102,NA,12-May-17,NA,25,10,5,NA,0.1819479129504103,SIGA,SIGA,2017-05-12
2236,non_plot,SIGA,1,2,2.9,0.7,0.04764,NA,0.0091,NA,12-May-17,NA,NA,NA,NA,NA,0.1910159529806885,SIGA,SIGA,2017-05-12
2237,non_plot,SIGA,1,3,2.4,0.5,0.03522,NA,0.007,NA,12-May-17,NA,NA,NA,NA,NA,0.19875070982396364,SIGA,SIGA,2017-05-12
2238,non_plot,SIGA,5,1,2.5,0.8,0.04564,NA,0.0077,NA,12-May-17,NA,37,13,9,NA,0.1687116564417178,SIGA,SIGA,2017-05-12
2239,non_plot,SIGA,5,2,3.1,0.9,0.06671,NA,0.011,NA,12-May-17,NA,NA,NA,NA,NA,0.16489281966721628,SIGA,SIGA,2017-05-12
2240,non_plot,SIGA,5,3,2,0.4,0.01782,NA,0.0037,NA,12-May-17,NA,NA,NA,NA,NA,0.207631874298541,SIGA,SIGA,2017-05-12
2241,non_plot,SIGA,2,1,2.5,0.6,0.04152,NA,0.0062,NA,12-May-17,NA,38,5,16,NA,0.14932562620423892,SIGA,SIGA,2017-05-12
2242,non_plot,SIGA,2,2,3.5,0.7,0.06746,NA,0.0116,NA,12-May-17,NA,NA,NA,NA,NA,0.17195375037058996,SIGA,SIGA,2017-05-12
2243,non_plot,SIGA,2,3,2.4,0.4,0.02138,NA,0.0045,NA,12-May-17,NA,NA,NA,NA,NA,0.21047708138447146,SIGA,SIGA,2017-05-12
2244,non_plot,SIGA,3,1,3,1,0.0758,NA,0.0139,NA,12-May-17,NA,42,28,36,NA,0.183377308707124,SIGA,SIGA,2017-05-12
2245,non_plot,SIGA,3,2,2,0.6,0.02946,NA,0.0055,NA,12-May-17,NA,NA,NA,NA,NA,0.186693822131704,SIGA,SIGA,2017-05-12
2246,non_plot,SIGA,3,3,3.2,0.7,0.09616,NA,0.0163,NA,12-May-17,NA,NA,NA,NA,NA,0.16950915141430947,SIGA,SIGA,2017-05-12
2247,non_plot,SIGA,4,1,2.6,0.6,0.04601,NA,0.0078,NA,12-May-17,NA,41,25,27,NA,0.169528363399261,SIGA,SIGA,2017-05-12
2248,non_plot,SIGA,4,2,2.1,0.6,0.03321,NA,0.0047,NA,12-May-17,NA,NA,NA,NA,NA,0.1415236374585968,SIGA,SIGA,2017-05-12
2249,non_plot,SIGA,4,3,2.9,0.7,0.05117,NA,0.0088,NA,12-May-17,NA,NA,NA,NA,NA,0.17197576705100645,SIGA,SIGA,2017-05-12
2250,non_plot,SIGA,6,1,3,0.9,0.06348,NA,0.0111,NA,12-May-17,NA,43,20,10,NA,0.17485822306238188,SIGA,SIGA,2017-05-12
2251,non_plot,SIGA,6,2,2,0.5,0.02483,NA,0.00447,NA,12-May-17,NA,NA,NA,NA,NA,0.18002416431735802,SIGA,SIGA,2017-05-12
2252,non_plot,SIGA,6,3,2.2,0.5,0.02483,NA,0.00442,NA,12-May-17,NA,NA,NA,NA,NA,0.17801047120418848,SIGA,SIGA,2017-05-12
2253,non_plot,SIGA,7,1,3,0.9,0.06826,NA,0.0101,NA,12-May-17,NA,38,45,42,NA,0.14796366832698504,SIGA,SIGA,2017-05-12
2254,non_plot,SIGA,7,2,2.4,0.7,0.04494,NA,0.0074,NA,12-May-17,NA,NA,NA,NA,NA,0.16466399643969737,SIGA,SIGA,2017-05-12
2255,non_plot,SIGA,7,3,2.2,0.7,0.04642,NA,0.0078,NA,12-May-17,NA,NA,NA,NA,NA,0.16803102111158982,SIGA,SIGA,2017-05-12
2256,non_plot,SIGA,8,1,2.2,0.5,0.02663,NA,0.0053,NA,12-May-17,NA,19,3,3,NA,0.1990236575291025,SIGA,SIGA,2017-05-12
2257,non_plot,SIGA,8,2,2,0.4,0.02298,NA,0.0042,NA,12-May-17,NA,NA,NA,NA,NA,0.18276762402088773,SIGA,SIGA,2017-05-12
2258,non_plot,SIGA,8,3,1.7,0.2,0.0133,NA,0.0026,NA,12-May-17,NA,NA,NA,NA,NA,0.19548872180451127,SIGA,SIGA,2017-05-12
2400,non_plot,chpa,1,1,10,4.5,2.09055,NA,0.2025,NA,17-May-17,10,23,26.5,using quarter of plant,NA,0.0968644615053455,CHPA,CHPA8,2017-05-17
2401,non_plot,chpa,1,2,9,3,0.76801,NA,0.07821,NA,17-May-17,NA,NA,NA,NOTE: all leaves should be calculated as (4*all-big)+(16*all-small),NA,0.10183461152849572,CHPA,CHPA8,2017-05-17
2402,non_plot,chpa,1,3,4.2,1.9,0.19278,NA,0.01962,NA,17-May-17,NA,NA,NA,NA,NA,0.10177404295051352,CHPA,CHPA8,2017-05-17
2403,non_plot,chpa,2,1,6.2,2,0.21053,NA,0.02449,NA,17-May-17,18,30,24,using quarter of plant,NA,0.11632546430437468,CHPA,CHPA8,2017-05-17
2404,non_plot,chpa,2,2,8,2.5,0.37901,NA,0.05095,NA,17-May-17,NA,NA,NA,NOTE: all leaves should be calculated as (4*all-big)+(8*all-small),NA,0.13442917073428143,CHPA,CHPA8,2017-05-17
2405,non_plot,chpa,2,3,5.5,2.2,0.26297,NA,0.03683,NA,17-May-17,NA,NA,NA,NA,NA,0.14005399855496825,CHPA,CHPA8,2017-05-17
2406,non_plot,chpa,3,1,3.5,1.2,0.07856,NA,0.0174,NA,17-May-17,19,17,8,using third of plant,NA,0.22148676171079426,CHPA,CHPA8,2017-05-17
2407,non_plot,chpa,3,2,3.5,1.2,0.11765,NA,0.0233,NA,17-May-17,NA,NA,NA,NA,NA,0.19804504887377816,CHPA,CHPA8,2017-05-17
2408,non_plot,chpa,3,3,3.2,0.8,0.04786,NA,0.00854,NA,17-May-17,NA,NA,NA,NA,NA,0.17843710823234435,CHPA,CHPA8,2017-05-17
2409,non_plot,chpa,4,1,3.2,0.8,0.04786,NA,0.00895,NA,17-May-17,16,9,7,NA,NA,0.18700376096949436,CHPA,CHPA8,2017-05-17
2410,non_plot,chpa,4,2,2.5,1.2,0.06855,NA,0.01388,NA,17-May-17,NA,NA,NA,NA,NA,0.2024799416484318,CHPA,CHPA8,2017-05-17
2411,non_plot,chpa,4,3,2.5,1.2,0.05452,NA,0.01192,NA,17-May-17,NA,NA,NA,NA,NA,0.2186353631694791,CHPA,CHPA8,2017-05-17
2412,non_plot,chpa,5,1,2.6,1.2,0.07155,NA,0.016,NA,17-May-17,12,8,8,NA,NA,0.2236198462613557,CHPA,CHPA8,2017-05-17
2413,non_plot,chpa,5,2,2.5,1.2,0.05926,NA,0.01667,NA,17-May-17,NA,NA,NA,NA,NA,0.2813027337158286,CHPA,CHPA8,2017-05-17
2414,non_plot,chpa,5,3,2.5,1.2,0.05926,NA,0.015,NA,17-May-17,NA,NA,NA,NA,NA,0.2531218359770503,CHPA,CHPA8,2017-05-17
2415,non_plot,chpa,6,1,3,1.3,0.15991,NA,0.02364,NA,17-May-17,10,14,14,NA,NA,0.14783315615033457,CHPA,CHPA8,2017-05-17
2416,non_plot,chpa,6,2,2.8,1.4,0.13917,NA,0.01933,NA,17-May-17,NA,NA,NA,NA,NA,0.1388948767694187,CHPA,CHPA8,2017-05-17
2417,non_plot,chpa,6,3,3.1,1.6,0.14135,NA,0.02535,NA,17-May-17,NA,NA,NA,NA,NA,0.17934205871949063,CHPA,CHPA8,2017-05-17
2418,non_plot,chpa,7,1,2.6,1.1,0.07091,NA,0.01431,NA,17-May-17,6,7,6,NA,NA,0.2018051050627556,CHPA,CHPA8,2017-05-17
2419,non_plot,chpa,7,2,2.2,1,0.04292,NA,0.00977,NA,17-May-17,NA,NA,NA,NA,NA,0.2276328052190121,CHPA,CHPA8,2017-05-17
2420,non_plot,chpa,7,3,1.6,0.8,0.03882,NA,0.00637,NA,17-May-17,NA,NA,NA,NA,NA,0.16409067490984028,CHPA,CHPA8,2017-05-17
2421,non_plot,chpa,8,1,3.8,1.5,0.20916,NA,0.02149,NA,17-May-17,9,9,8,NA,NA,0.10274431057563586,CHPA,CHPA8,2017-05-17
2422,non_plot,chpa,8,2,4.2,1.9,0.27081,NA,0.02992,NA,17-May-17,NA,NA,NA,NA,NA,0.11048336472065286,CHPA,CHPA8,2017-05-17
2423,non_plot,chpa,8,3,2.3,1,0.08929,NA,0.00952,NA,17-May-17,NA,NA,NA,NA,NA,0.10661888229364992,CHPA,CHPA8,2017-05-17
NA,non_plot,ACMO,1,1,5.5,0.4,0.05833,NA,0.0079,NA,4/20/17,NA,NA,NA,NA,NA,0.13543631064632267,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,1,2,5.1,0.4,0.04693,NA,0.0069,NA,4/20/17,NA,NA,NA,NA,NA,0.14702748774770935,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,1,3,6.1,0.5,0.06751,NA,0.009,NA,4/20/17,NA,NA,NA,NA,NA,0.13331358317286326,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,2,1,4.3,0.4,0.04098,NA,0.0067,NA,4/20/17,NA,NA,NA,NA,NA,0.16349438750610054,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,2,2,4.3,0.5,0.04078,NA,0.0064,NA,4/20/17,NA,NA,NA,NA,NA,0.15693967631191763,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,2,3,5.6,0.5,0.06224,NA,0.0098,NA,4/20/17,NA,NA,NA,NA,NA,0.15745501285347044,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,3,1,6.2,0.5,0.06684,NA,0.0096,NA,4/20/17,NA,NA,NA,NA,NA,0.1436265709156194,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,3,2,6,0.4,0.07467,NA,0.0103,NA,4/20/17,NA,NA,NA,NA,NA,0.13794027052363733,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,3,3,5.6,0.4,0.05921,NA,0.0082,NA,4/20/17,NA,NA,NA,NA,NA,0.13849011991217702,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,4,1,7.2,0.5,0.09201,NA,0.0126,NA,4/20/17,NA,NA,NA,NA,NA,0.13694163677861104,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,4,2,6.3,0.5,0.08288,NA,0.0116,NA,4/20/17,NA,NA,NA,NA,NA,0.13996138996138996,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,4,3,5.9,0.4,0.06495,NA,0.009,NA,4/20/17,NA,NA,NA,NA,NA,0.13856812933025403,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,5,1,6.7,0.5,0.08921,NA,0.0118,NA,4/20/17,NA,NA,NA,NA,NA,0.13227216679744425,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,5,2,6,0.4,0.07362,NA,0.0096,NA,4/20/17,NA,NA,NA,NA,NA,0.13039934800325997,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,5,3,5.6,0.5,0.06502,NA,0.0094,NA,4/20/17,NA,NA,NA,NA,NA,0.14457090126115044,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,6,1,7.8,0.6,0.09013,NA,0.0097,NA,4/20/17,NA,NA,NA,NA,NA,0.10762232331077333,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,6,2,4.6,0.3,0.03446,NA,0.0044,NA,4/20/17,NA,NA,NA,NA,NA,0.12768427161926874,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,6,3,4.7,0.3,0.03954,NA,0.005,NA,4/20/17,NA,NA,NA,NA,NA,0.12645422357106728,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,7,1,4.5,0.5,0.04933,NA,0.0065,NA,4/20/17,NA,NA,NA,NA,NA,0.1317656598418812,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,7,2,4.1,0.3,0.03422,NA,0.0042,NA,4/20/17,NA,NA,NA,NA,NA,0.12273524254821741,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,7,3,4.1,0.5,0.03294,NA,0.0045,NA,4/20/17,NA,NA,NA,NA,NA,0.1366120218579235,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,8,1,5.3,0.5,0.04806,NA,0.0067,NA,4/20/17,NA,NA,NA,NA,NA,0.13940907199334165,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,8,2,3.2,0.3,0.01839,NA,0.0026,NA,4/20/17,NA,NA,NA,NA,NA,0.14138118542686243,ACMO,ACMO2,2017-04-20
NA,non_plot,ACMO,8,3,3.9,0.3,0.03002,NA,0.0045,NA,4/20/17,NA,NA,NA,NA,NA,0.1499000666222518,ACMO,ACMO2,2017-04-20
NA,non_plot,AG2,1,1,8.6,1.1,0.10458,NA,0.0177,NA,4/20/17,NA,NA,NA,NA,NA,0.16924842226047046,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,1,2,7.9,1,0.09208,NA,0.0143,NA,4/20/17,NA,NA,NA,NA,NA,0.1552997393570808,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,1,3,5.9,0.8,0.06016,NA,0.0099,NA,4/20/17,NA,NA,NA,NA,NA,0.16456117021276598,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,2,1,5.5,0.8,0.06104,NA,0.0092,NA,4/20/17,NA,NA,NA,NA,NA,0.15072083879423329,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,2,2,6,1,0.06042,NA,0.0107,NA,4/20/17,NA,NA,NA,NA,NA,0.17709367759020192,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,2,3,6.9,1,0.07131,NA,0.0135,NA,4/20/17,NA,NA,NA,NA,NA,0.18931426167437948,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,3,1,8.7,1.6,0.12907,NA,0.0211,NA,4/20/17,NA,NA,NA,NA,NA,0.16347718292399474,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,3,2,7.9,1.8,0.11014,NA,0.0174,NA,4/20/17,NA,NA,NA,NA,NA,0.15798075177047394,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,3,3,7.8,1.7,0.11938,NA,0.0192,NA,4/20/17,NA,NA,NA,NA,NA,0.16083095995979224,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,4,1,6.6,0.8,0.06781,NA,0.01,NA,4/20/17,NA,NA,NA,NA,NA,0.1474708745022858,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,4,2,7.3,1,0.08111,NA,0.0121,NA,4/20/17,NA,NA,NA,NA,NA,0.14918012575514733,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,4,3,5.5,1,0.05605,NA,0.0088,NA,4/20/17,NA,NA,NA,NA,NA,0.15700267618198038,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,5,1,6.1,1.1,0.07953,NA,0.0122,NA,4/20/17,NA,NA,NA,NA,NA,0.15340123223940652,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,5,2,5.5,0.8,0.05904,NA,0.0094,NA,4/20/17,NA,NA,NA,NA,NA,0.15921409214092141,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,5,3,4.8,1.1,0.05605,NA,0.0083,NA,4/20/17,NA,NA,NA,NA,NA,0.14808206958073147,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,6,1,10.6,1.5,0.15143,NA,0.0236,NA,4/20/17,NA,NA,NA,NA,NA,0.15584758634352505,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,6,2,9.7,1.5,0.11927,NA,0.0187,NA,4/20/17,NA,NA,NA,NA,NA,0.15678712165674522,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,6,3,8,1.6,0.09933,NA,0.0152,NA,4/20/17,NA,NA,NA,NA,NA,0.15302526930433907,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,7,1,11.4,1.7,0.16675,NA,0.024,NA,4/20/17,NA,NA,NA,NA,NA,0.14392803598200898,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,7,2,9.9,1.1,0.11254,NA,0.0159,NA,4/20/17,NA,NA,NA,NA,NA,0.14128309934245603,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,7,3,9.9,1.4,0.13124,NA,0.0196,NA,4/20/17,NA,NA,NA,NA,NA,0.14934471197805546,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,8,1,6.8,0.9,0.12104,NA,0.017,NA,4/20/17,NA,NA,NA,NA,NA,0.1404494382022472,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,8,2,5,0.9,0.07279,NA,0.0097,NA,4/20/17,NA,NA,NA,NA,NA,0.1332600631954939,AG2,AGHE2,2017-04-20
NA,non_plot,AG2,8,3,7.7,1.2,0.11503,NA,0.0163,NA,4/20/17,NA,NA,NA,NA,NA,0.1417021646526993,AG2,AGHE2,2017-04-20
NA,non_plot,AVBA,1,1,NA,NA,0.04951,NA,0.0167,NA,4/21/17,97x10x8,NA,NA,NA,NA,0.3373055948293274,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,1,2,NA,NA,0.09851,NA,0.0326,NA,4/21/17,NA,NA,NA,NA,NA,0.3309308699624403,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,1,3,NA,NA,0.05842,NA,0.0205,NA,4/21/17,NA,NA,NA,NA,NA,0.35090722355357756,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,2,1,NA,NA,0.10863,NA,0.0346,NA,4/21/17,77x16x15,NA,NA,NA,NA,0.31851238147841293,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,2,2,NA,NA,0.04508,NA,0.0139,NA,4/21/17,NA,NA,NA,NA,NA,0.30834072759538594,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,2,3,NA,NA,0.12881,NA,0.0395,NA,4/21/17,NA,NA,NA,NA,NA,0.3066532101544911,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,3,1,NA,NA,0.05767,NA,0.01643,NA,4/21/17,60x8x7,NA,NA,NA,NA,0.2848968267730189,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,3,2,NA,NA,0.06406,NA,0.01923,NA,4/21/17,NA,NA,NA,NA,NA,0.3001873243833906,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,3,3,NA,NA,0.0649,NA,0.02176,NA,4/21/17,NA,NA,NA,NA,NA,0.3352850539291218,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,4,1,NA,NA,0.08005,NA,0.0241,NA,4/21/17,86x5x5,NA,NA,NA,NA,0.30106183635227984,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,4,2,NA,NA,0.12966,NA,0.04247,NA,4/21/17,NA,NA,NA,NA,NA,0.32754897424032087,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,4,3,NA,NA,0.12112,NA,0.03307,NA,4/21/17,NA,NA,NA,NA,NA,0.27303500660501984,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,5,1,NA,NA,0.08507,NA,0.02571,NA,4/21/17,82x6x12,NA,NA,NA,NA,0.3022216997766545,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,5,2,NA,NA,0.10844,NA,0.03468,NA,4/21/17,NA,NA,NA,NA,NA,0.31980818886019924,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,5,3,NA,NA,0.12787,NA,0.03418,NA,4/21/17,NA,NA,NA,NA,NA,0.26730272933448035,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,6,1,NA,NA,0.08545,NA,0.02752,NA,4/21/17,44x17x9,NA,NA,NA,NA,0.32205968402574603,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,6,2,NA,NA,0.08023,NA,0.0264,NA,4/21/17,NA,NA,NA,NA,NA,0.3290539698367195,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,6,3,NA,NA,0.06464,NA,0.02,NA,4/21/17,NA,NA,NA,NA,NA,0.3094059405940594,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,7,1,NA,NA,0.07025,NA,0.0229,NA,4/21/17,82x13x11,NA,NA,NA,NA,0.3259786476868327,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,7,2,NA,NA,0.10134,NA,0.0331,NA,4/21/17,NA,NA,NA,NA,NA,0.32662324847049534,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,7,3,NA,NA,0.05795,NA,0.01738,NA,4/21/17,NA,NA,NA,NA,NA,0.29991371872303707,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,8,1,NA,NA,0.10829,NA,0.0325,NA,4/21/17,99x17x7,NA,NA,NA,NA,0.3001200480192077,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,8,2,NA,NA,0.08679,NA,0.0292,NA,4/21/17,NA,NA,NA,NA,NA,0.33644429081691435,AVBA,AVBA,2017-04-21
NA,non_plot,AVBA,8,3,NA,NA,0.06788,NA,0.0244,NA,4/21/17,NA,NA,NA,NA,NA,0.35945786682380676,AVBA,AVBA,2017-04-21
NA,non_plot,BOIN,1,1,NA,NA,0.04187,NA,0.0056,NA,4/22/17,NAx46x9,no petiole,NA,NA,NA,0.13374731311201338,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,1,2,NA,NA,0.03053,NA,0.0047,NA,4/22/17,no petiole,NA,NA,NA,NA,0.153946937438585,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,1,3,NA,NA,0.04706,NA,0.0068,NA,4/22/17,no petiole,NA,NA,NA,NA,0.14449638759031025,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,2,1,NA,NA,0.01433,NA,0.0026,NA,4/22/17,NAx49x11,no petiole,NA,NA,NA,0.1814375436147941,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,2,2,NA,NA,0.01738,NA,0.003,NA,4/22/17,no petiole,NA,NA,NA,NA,0.17261219792865362,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,2,3,NA,NA,0.02136,NA,0.0036,NA,4/22/17,no petiole,NA,NA,NA,NA,0.16853932584269662,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,3,1,NA,NA,0.0429,NA,0.0064,NA,4/22/17,NAx53x51,no petiole,NA,NA,NA,0.14918414918414918,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,3,2,NA,NA,0.02255,NA,0.0032,NA,4/22/17,no petiole,NA,NA,NA,NA,0.1419068736141907,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,3,3,NA,NA,0.03268,NA,0.0048,NA,4/22/17,no petiole,NA,NA,NA,NA,0.14687882496940022,BOIN,BOIN3,2017-04-22
NA,non_plot,BOIN,4,1,NA,NA,0.02021,NA,0.0027,NA,4/22/17,NAx50x26,no petiole,NA,NA,NA,0.1335972290945077,BOIN,BOIN3,2017-04-22
