sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes
,non_plot,CRCO34,4,lvs,,,,,0.0039,,15,,
,non_plot,CRCO34,4,stem,,,,,0.0013,,15,,
,non_plot,CRCO34,5,1,,,0.0302,,0.0014,,15,,
,non_plot,CRCO34,5,lvs,,,,,0.0028,,15,,
,non_plot,CRCO34,5,stem,,,,,0.0012,,15,,
,non_plot,CRCO34,6,1,,,0.0289,,0.0016,,15,,
,non_plot,CRCO34,6,lvs,,,,,0.0025,,15,,
,non_plot,CRCO34,6,stem,,,,,0.0011,,15,,
,non_plot,CRCO34,7,1,,,0.0401,,0.0019,,15,,
,non_plot,CRCO34,7,lvs,,,,,0.0062,,15,,
,non_plot,CRCO34,7,stem,,,,,0.003,,15,,
,non_plot,CRCO34,8,1,,,0.0406,,0.0012,,15,,
,non_plot,CRCO34,8,lvs,,,,,0.0055,,15,,
,non_plot,CRCO34,8,stem,,,,,0.0024,,15,,
,non_plot,LOGA2,1,1,,,0.0087,,0.0009,,1,,
,non_plot,LOGA2,1,2,,,0.0083,,0.0006,,1,,
,non_plot,LOGA2,1,3,,,0.0042,,0.0004,,1,,
,non_plot,LOGA2,1,stem,,,,,0.002,,1,,
,non_plot,LOGA2,1,lvs,,,,,0.0034,,1,,
,non_plot,LOGA2,2,1,,,0.0108,,0.0009,,1,,
,non_plot,LOGA2,2,2,,,0.0103,,0.0009,,1,,
,non_plot,LOGA2,2,3,,,0.0105,,0.001,,1,,
,non_plot,LOGA2,2,stem,,,,,0.0027,,1,,
,non_plot,LOGA2,2,lvs,,,,,0.0095,,1,,
,non_plot,LOGA2,3,1,,,0.0109,,0.0008,,1,,
,non_plot,LOGA2,3,2,,,0.0114,,0.0009,,1,,
,non_plot,LOGA2,3,3,,,0.0117,,0.0008,,1,,
,non_plot,LOGA2,3,stem,,,,,0.0034,,1,,
,non_plot,LOGA2,3,lvs,,,,,0.0093,,1,,
,non_plot,LOGA2,4,1,,,0.0054,,0.0006,,1,,
,non_plot,LOGA2,4,2,,,0.0088,,0.0008,,1,,
,non_plot,LOGA2,4,3,,,0.0099,,0.001,,1,,
,non_plot,LOGA2,4,stem,,,,,0.0024,,1,,
,non_plot,LOGA2,4,lvs,,,,,0.0089,,1,,
,non_plot,LOGA2,5,1,,,0.0099,,missing,,1,,
,non_plot,LOGA2,5,2,,,0.0103,,0.0011,,1,,
,non_plot,LOGA2,5,3,,,0.0106,,0.0009,,1,,
,non_plot,LOGA2,5,stem,,,,,0.0052,,1,,
,non_plot,LOGA2,5,lvs,,,,,0.0118,,1,,
,non_plot,LOGA2,6,1,,,0.0135,,0.0011,,1,,
,non_plot,LOGA2,6,2,,,0.0113,,0.0009,,1,,
,non_plot,LOGA2,6,3,,,0.0114,,0.0011,,1,,
,non_plot,LOGA2,6,stem,,,,,0.0035,,1,,
,non_plot,LOGA2,6,lvs,,,,,0.0061,,1,,
,non_plot,LOGA2,7,1,,,0.0138,,0.0015,,1,,
,non_plot,LOGA2,7,2,,,0.0145,,0.0013,,1,,
,non_plot,LOGA2,7,3,,,0.0167,,0.0015,,1,,
,non_plot,LOGA2,7,stem,,,,,0.0088,,1,,
,non_plot,LOGA2,7,lvs,,,,,0.0208,,1,,
,non_plot,LOGA2,8,1,,,0.0078,,0.0008,,1,,
,non_plot,LOGA2,8,2,,,0.0082,,0.0006,,1,,
,non_plot,LOGA2,8,3,,,0.01,,0.0008,,1,,
,non_plot,LOGA2,8,stem,,,,,0.0032,,1,,
,non_plot,LOGA2,8,lvs,,,,,0.0097,,1,,
,non_plot,MIEL,1,1,,,0.1132,,0.0097,,1,,
,non_plot,MIEL,1,2,,,0.0918,,0.0093,,1,,
,non_plot,MIEL,1,3,,,0.0926,,0.0093,,1,,
,non_plot,MIEL,1,stem,,,,,0.0116,,1,,
,non_plot,MIEL,1,lvs,,,,,0.0596,,1,,
,non_plot,MIEL,2,1,,,0.1055,,0.0097,,1,,
,non_plot,MIEL,2,2,,,0.0781,,0.0061,,1,,
,non_plot,MIEL,2,3,,,0.1195,,0.0108,,1,,
,non_plot,MIEL,2,stem,,,,,0.006,,1,,
,non_plot,MIEL,2,lvs,,,,,0.0955,,1,,
,non_plot,MIEL,3,1,,,0.0988,,0.0092,,1,,
,non_plot,MIEL,3,2,,,0.0914,,0.0091,,1,,
,non_plot,MIEL,3,3,,,0.103,,0.0089,,1,,
,non_plot,MIEL,3,stem,,,,,0.0169,,1,,
,non_plot,MIEL,3,lvs,,,,,0.0883,,1,,
,non_plot,MIEL,4,1,,,0.134,,0.0128,,1,,
,non_plot,MIEL,4,2,,,0.0937,,0.0076,,1,,
,non_plot,MIEL,4,3,,,0.1175,,0.0127,,1,,
,non_plot,MIEL,4,stem,,,,,0.0163,,1,,
,non_plot,MIEL,4,lvs,,,,,0.1488,,1,,
,non_plot,MIEL,5,1,,,0.0707,,0.0064,,1,,
,non_plot,MIEL,5,2,,,0.0669,,0.0064,,1,,
,non_plot,MIEL,5,3,,,0.0611,,0.0052,,1,,
,non_plot,MIEL,5,stem,,,,,0.0021,,1,,
,non_plot,MIEL,5,lvs,,,,,0.0438,,1,,
,non_plot,MIEL,6,1,,,0.0417,,0.004,,1,,
,non_plot,MIEL,6,2,,,0.0363,,0.0034,,1,,
,non_plot,MIEL,6,3,,,0.0426,,0.0032,,1,,
,non_plot,MIEL,6,stem,,,,,0.0041,,1,,
,non_plot,MIEL,6,lvs,,,,,0.016,,1,,
,non_plot,MIEL,7,1,,,0.0918,,0.0086,,1,,
,non_plot,MIEL,7,2,,,0.0688,,0.0068,,1,,
,non_plot,MIEL,7,3,,,0.0952,,0.0091,,1,,
,non_plot,MIEL,7,stem,,,,,0.006,,1,,
,non_plot,MIEL,7,lvs,,,,,0.0577,,1,,
,non_plot,STME2,1,1,,,0.029,,0.0024,,1,,
,non_plot,STME2,1,2,,,0.0295,,0.0028,,1,,
,non_plot,STME2,1,3,,,0.029,,0.0025,,1,,
,non_plot,STME2,1,stem,,,,,0.27,,1,,
,non_plot,STME2,1,lvs,,,,,0.0316,,1,,
,non_plot,STME2,2,1,,,0.0396,,0.0034,,1,,
,non_plot,STME2,2,2,,,0.0417,,0.0028,,1,,
,non_plot,STME2,2,3,,,0.0172,,0.002,,1,,
,non_plot,STME2,2,stem,,,,,0.0354,,1,,
,non_plot,STME2,2,lvs,,,,,0.0573,,1,,
,non_plot,STME2,3,1,,,0.03,,0.0037,,1,,
,non_plot,STME2,3,2,,,0.0295,,0.0036,,1,,
,non_plot,STME2,3,3,,,0.0295,,0.0033,,1,,
,non_plot,STME2,3,stem,,,,,0.0344,,1,,
,non_plot,STME2,3,lvs,,,,,0.0489,,1,,
,non_plot,STME2,4,1,,,0.0279,,0.0035,,1,,
,non_plot,STME2,4,2,,,0.0285,,0.0035,,1,,
,non_plot,STME2,4,3,,,0.0285,,0.0035,,1,,
,non_plot,STME2,4,stem,,,,,0.0274,,1,,
,non_plot,STME2,4,lvs,,,,,0.04,,1,,
,non_plot,STME2,5,1,,,0.0508,,0.0041,,1,,
,non_plot,STME2,5,2,,,0.0479,,0.0036,,1,,
,non_plot,STME2,5,3,,,0.0369,,0.0029,,1,,
,non_plot,STME2,5,stem,,,,,0.0297,,1,,
,non_plot,STME2,5,lvs,,,,,0.0514,,1,,
,non_plot,STME2,6,1,,,0.0295,,0.003,,1,,
,non_plot,STME2,6,2,,,0.0164,,0.0018,,1,,
,non_plot,STME2,6,3,,,0.0273,,0.0024,,1,,
,non_plot,STME2,6,stem,,,,,0.0238,,1,,
,non_plot,STME2,6,lvs,,,,,0.0413,,1,,
,non_plot,STME2,7,1,,,0.0245,,0.0023,,1,,
,non_plot,STME2,7,2,,,0.0182,,0.0015,,1,,
,non_plot,STME2,7,3,,,0.019,,0.0017,,1,,
,non_plot,STME2,7,stem,,,,,0.0161,,1,,
,non_plot,STME2,7,lvs,,,,,0.00229,,1,,
,non_plot,STME2,8,1,,,0.0196,,0.0021,,1,,
,non_plot,STME2,8,2,,,0.0359,,0.0035,,1,,
,non_plot,STME2,8,3,,,0.0314,,0.0029,,1,,
,non_plot,STME2,8,stem,,,,,0.0344,,1,,
,non_plot,STME2,8,lvs,,,,,0.0451,,1,,
,non_plot,AGHE2,1,1,,,0.1881,,0.0235,,1,,
,non_plot,AGHE2,1,2,,,0.232,,0.0298,,1,,
