species,height_cm,height_to_infloresence_cm,canopy_width_cm,canopy_length_cm,rooting_depth_cm,num_leaves,total_leaf_area_cm2,fine_root_length_m,fine_root_dry_mass_g,relative_spread_lateral_height,canopy_projected_area_cm2,lai_la_canopy,leaf_area_cm2,sla_cm2_g,ldmc_mg_g,leaf_thickness_mm,d13C,d15N,foliar_N,phenology,seed_mass_g,CN_ratio
BRMA,10.4,17.2,3,2.4,8.4,12.4,8.0752,1.6440872,0.01707,0.29,24.5044226980004,0.341591778614576,0.8036,269.492641440926,275.068556956136,0.194577777777778,NA,NA,NA,131,NA,NA
CHGL,2.25,NA,8.75,7.25,11,32.25,28.14275,0.4313995,0.0131325,3.95833333333333,15.707963267949,1.79380662727958,1.27075,142.756337833876,106.288358654305,1.08725,-29.9,-1.08,2.08,131,0.00066,17.7378330559
HOMU,16.8,25.4,6.6,3.6,5.4,26,25.7872,1.3766424,0.022598,0.402650829562594,86.3937979737193,0.301616989192794,1.12166666666667,276.378744344639,273.670412476246,0.187733333333333,-28.5,9.35,3.15,131,NA,13.1256404891
MICA,27.3333333333333,NA,6.33333333333333,4.33333333333333,4,142,34.2703333333333,0.851467333333333,0.012936666666667,0.229761904761905,138.230076757951,0.242462703351644,0.274777777777778,248.108961650323,327.570155993041,0.173925925925926,-31.27,2.11,0.86,117,0.000762,46.8493267831
VUMA,15.25,29.5,3,2,6.25,9.75,4.1355,1.614356,0.018795,0.195833333333333,36.7173641388307,0.109983544485168,0.389041666666667,146.223506560676,339.921666981992,0.266972222222222,-28.16,0.7,0.53,124,0.001452,70.7923928374
