Slice,Count,Total Area,Average Size,%Area,Mean
GIACM2_p1_l1.jpeg,1,3.923,3.923,0.714,211.671
GIACM2_p1_l2.jpeg,1,4.686,4.686,0.853,220.125
GIACM2_p1_l3.jpeg,1,3.746,3.746,0.682,254.928
GIACM2_p1_lvs.jpeg,14,17.581,1.256,3.201,251.097
GIACM2_p2_l1.jpeg,1,3.783,3.783,0.689,254.865
GIACM2_p2_l2.jpeg,1,4.133,4.133,0.753,239.963
GIACM2_p2_l3.jpeg,1,4.591,4.591,0.836,189.177
GIACM2_p2_lvs.jpeg,12,24.714,2.060,4.500,241.491
GIACM2_p3_l1.jpeg,1,4.615,4.615,0.840,237.727
GIACM2_p3_l2.jpeg,1,4.229,4.229,0.770,232.912
GIACM2_p3_l3.jpeg,1,5.029,5.029,0.916,232.605
GIACM2_p3_lvs.jpeg,11,19.199,1.745,3.496,249.253
GIACM2_p4_l1.jpeg,1,3.653,3.653,0.665,242.516
GIACM2_p4_l2.jpeg,1,3.819,3.819,0.695,205.661
GIACM2_p4_l3.jpeg,1,3.640,3.640,0.663,218.933
GIACM2_p4_lvs.jpeg,14,19.445,1.389,3.541,250.112
GIACM2_p5_l1.jpeg,1,3.964,3.964,0.722,250.975
GIACM2_p5_l2.jpeg,2,4.414,2.207,0.804,252.530
GIACM2_p5_l3.jpeg,1,2.792,2.792,0.508,254.989
GIACM2_p5_lvs.jpeg,10,21.824,2.182,3.974,239.809
GIACM2_p6_l1.jpeg,1,3.748,3.748,0.682,254.949
GIACM2_p6_l2.jpeg,1,4.010,4.010,0.730,215.183
GIACM2_p6_l3.jpeg,1,1.731,1.731,0.315,255.000
GIACM2_p6_lvs.jpeg,9,15.922,1.769,2.899,233.403
GIACM2_p7_l1.jpeg,2,2.472,1.236,0.450,254.909
GIACM2_p7_l2.jpeg,1,3.807,3.807,0.693,241.171
GIACM2_p7_l3.jpeg,1,3.360,3.360,0.612,238.334
GIACM2_p7_lvs.jpeg,12,17.916,1.493,3.263,246.619
GIACM2_p8_l1.jpeg,1,3.271,3.271,0.596,221.329
GIACM2_p8_l2.jpeg,2,2.876,1.438,0.524,238.517
GIACM2_p8_l3.jpeg,2,2.813,1.406,0.512,226.355
GIACM2_p8_lvs.jpeg,10,13.880,1.388,2.528,252.343
