Slice,Count,Total Area,Average Size,%Area,Mean
chgl-p1-all,18,6.473,0.360,0.996,254.204
chgl-p1-l1,1,0.976,0.976,0.150,254.902
chgl-p1-l2,1,0.947,0.947,0.146,254.797
chgl-p1-l3,1,1.005,1.005,0.155,254.991
chgl-p2-all,59,25.079,0.425,3.860,253.051
chgl-p2-l1,1,1.247,1.247,0.192,254.996
chgl-p2-l2,1,1.159,1.159,0.178,254.980
chgl-p2-l3,1,0.634,0.634,0.098,254.150
chgl-p3-all,32,18.910,0.591,2.911,254.145
chgl-p3-l1,1,1.615,1.615,0.249,254.909
chgl-p3-l2,1,1.753,1.753,0.270,254.964
chgl-p3-l3,1,1.757,1.757,0.270,254.958
chgl-p4-all,53,27.199,0.513,4.186,251.777
chgl-p4-l1,1,1.721,1.721,0.265,254.838
chgl-p4-l2,1,0.491,0.491,0.076,254.981
chgl-p4-l3,1,0.445,0.445,0.068,254.918
chgl-p5-all,31,12.836,0.414,1.976,254.544
chgl-p5-l1,1,1.236,1.236,0.190,254.967
chgl-p5-l2,1,1.073,1.073,0.165,254.595
chgl-p5-l3,1,0.948,0.948,0.146,254.764
chgl-p6-all,16,4.708,0.294,0.725,254.625
chgl-p6-l1,1,1.104,1.104,0.170,254.996
chgl-p6-l2-b,4,0.787,0.197,0.121,254.942
chgl-p6-l2,2,0.762,0.381,0.117,254.864
chgl-p6-l3,1,0.507,0.507,0.078,254.441
chgl-p7-all,76,70.577,0.929,10.863,253.930
chgl-p7-l1,1,1.601,1.601,0.246,254.757
chgl-p7-l2,1,1.343,1.343,0.207,254.983
chgl-p7-l3,1,1.170,1.170,0.180,254.977
chgl-p8-all,15,5.416,0.361,0.834,254.807
chgl-p8-l1,1,0.780,0.780,0.120,250.468
chgl-p8-l2,1,0.508,0.508,0.078,254.766
chgl-p8-l3,1,0.915,0.915,0.141,254.596
