plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
758,heco,1,1,6.4,0.5,0.04461,,,,,,20,10,6,
758,heco,1,2,6,0.4,0.03339,,,,,,,,,
758,heco,1,3,4,0.4,0.04461,,,,,,,,,
758,heco,2,1,7,0.6,0.04436,,,,,,20,8,4,
758,heco,2,2,8,0.6,0.04878,,,,,,,,,
758,heco,2,3,3.2,0.2,0.01109,,,,,,,,,
758,heco,3,1,5,0.5,0.03091,,,,,,20,5,4,
758,heco,3,2,5,0.5,0.03128,,,,,,,,,
758,heco,3,3,3.9,0.4,0.01763,,,,,,,,,
758,heco,4,1,6.7,0.5,0.03376,,,,,,16,8,6,
758,heco,4,2,6.5,0.5,0.03248,,,,,,,,,
758,heco,4,3,3.4,0.5,0.01813,,,,,,,,,
758,ceme,1,1,2.5,0.6,0.01757,,,,,,15,4,3,
758,ceme,1,2,2.3,0.6,0.01987,,,,,,,,,
758,ceme,1,3,2.2,0.5,0.01803,,,,,,,,,
758,ceme,2,1,2.2,0.5,0.01762,,,,,,19,6,6,
758,ceme,2,2,2.1,0.5,0.01567,,,,,,,,,
758,ceme,2,3,2.1,0.5,0.02002,,,,,,,,,
758,ceme,3,1,4.8,1,0.06666,,,,,,13,9,6,
758,ceme,3,2,1.9,0.3,0.01491,,,,,,,,,
758,ceme,3,3,1.5,0.3,0.01206,,,,,,,,,
758,ceme,4,1,3.9,0.9,0.03849,,,,,,31,4,4,
758,ceme,4,2,3.6,0.7,0.02793,,,,,,,,,
758,ceme,4,3,3.1,0.5,0.02281,,,,,,,,,
758,ceme,5,1,3.3,0.5,0.02793,,,,,,26,4,4,
758,ceme,5,2,3.2,0.4,0.02439,,,,,,,,,
758,ceme,5,3,3.4,0.6,0.02318,,,,,,,,,
758,naat,1,1,1.1,0.7,0.00292,,,,,,23,14,12,
758,naat,1,2,1.2,0.8,0.00284,,,,,,,,,
758,naat,1,3,1.1,0.6,0.00386,,,,,,,,,
758,naat,2,1,1.4,0.8,0.00545,,,,,,20,17,12,using half of plant
758,naat,2,2,1.4,1,0.00566,,,,,,,,,
758,naat,2,3,1.2,0.6,0.00339,,,,,,,,,
758,naat,3,1,2.4,1.1,0.01146,,,,,,25,10,7,
758,naat,3,2,1.3,0.7,0.00499,,,,,,,,,
758,naat,3,3,1.3,0.8,0.00442,,,,,,,,,
758,naat,4,1,1.1,0.7,0.00413,,,,,,13,4,4,
758,naat,4,2,1.1,0.5,0.00406,,,,,,,,,
758,naat,4,3,1.1,0.6,0.00371,,,,,,,,,
749,heco,1,1,6.4,0.7,0.08001,,,,,,14,10,8,
749,heco,1,2,5.9,0.7,0.05936,,,,,,,,,
749,heco,1,3,6.1,0.7,0.06412,,,,,,,,,
749,heco,2,1,4.8,0.6,0.04795,,,,,,NA,NA,NA,"weird canopy shape due to herbivory, just use leaf traits"
749,heco,2,2,4,0.3,0.02841,,,,,,,,,
749,heco,2,3,7.9,0.7,0.1178,,,,,,,,,
749,heco,3,1,4.7,0.5,0.04134,,,,,,NA,NA,NA,scanning quarter of all leaves
749,heco,3,2,5.3,0.5,0.05402,,,,,,,,,
749,heco,3,3,5.1,0.4,0.04337,,,,,,,,,
