plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
757,lopu,1,1,1.5,2,0.01859,,,,,,11,8,6,
757,lopu,1,2,1.5,2,0.02267,,,,,,,,,
757,lopu,1,3,1.2,1.7,0.01641,,,,,,,,,
757,lopu,2,1,1.6,2,0.02382,,,,,,12,2,2,
757,lopu,2,2,1.5,1.7,0.01699,,,,,,,,,
757,lopu,2,3,1.5,1.6,0.02064,,,,,,,,,
757,lopu,3,1,1.1,1.4,0.01336,,,,,,5,4,2,
757,lopu,3,2,1.1,1.3,0.01793,,,,,,,,,
757,lopu,3,3,1,1.1,0.0091,,,,,,,,,
757,lopu,4,1,1.2,1.7,0.01648,,,,,,10,7,6,
757,lopu,4,2,1.1,1.3,0.01587,,,,,,,,,
757,lopu,4,3,1.3,1.5,0.01938,,,,,,,,,
non_plot,chpa,1,1,10,4.5,2.09055,,,,,,10,23,26.5,using quarter of plant
non_plot,chpa,1,2,9,3,0.76801,,,,,,,,,NOTE: all leaves should be calculated as (4*all-big)+(16*all-small)
non_plot,chpa,1,3,4.2,1.9,0.019278,,,,,,,,,
non_plot,chpa,2,1,6.2,2,0.021053,,,,,,18,30,24,using quarter of plant
non_plot,chpa,2,2,8,2.5,0.37901,,,,,,,,,NOTE: all leaves should be calculated as (4*all-big)+(8*all-small)
non_plot,chpa,2,3,5.5,2.2,0.26297,,,,,,,,,
non_plot,chpa,3,1,3.5,1.2,0.07856,,,,,,19,17,8,using third of plant
non_plot,chpa,3,2,3.5,1.2,0.11765,,,,,,,,,
non_plot,chpa,3,3,3.2,0.8,0.04786,,,,,,,,,
non_plot,chpa,4,1,3.2,0.8,0.04786,,,,,,16,9,7,
non_plot,chpa,4,2,2.5,1.2,0.06855,,,,,,,,,
non_plot,chpa,4,3,2.5,1.2,0.05452,,,,,,,,,
non_plot,chpa,5,1,2.6,1.2,0.07155,,,,,,12,8,8,
non_plot,chpa,5,2,2.5,1.2,0.05926,,,,,,,,,
non_plot,chpa,5,3,2.5,1.2,0.05926,,,,,,,,,
non_plot,chpa,6,1,3,1.3,0.15991,,,,,,10,14,14,
non_plot,chpa,6,2,2.8,1.4,0.13917,,,,,,,,,
non_plot,chpa,6,3,3.1,1.6,0.14135,,,,,,,,,
non_plot,chpa,7,1,2.6,1.1,0.07091,,,,,,6,7,6,
non_plot,chpa,7,2,2.2,1,0.04292,,,,,,,,,
non_plot,chpa,7,3,1.6,0.8,0.03882,,,,,,,,,
non_plot,chpa,8,1,3.8,1.5,0.20916,,,,,,9,9,8,
non_plot,chpa,8,2,4.2,1.9,0.27081,,,,,,,,,
non_plot,chpa,8,3,2.3,1,0.08929,,,,,,,,,
