plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
762,lopu,1,1,2,2.5,0.04774,,,,,18-May-2017,12,43,12,
762,lopu,1,2,2,3,0.04837,,,,,,,,,
762,lopu,1,3,3,2,0.06431,,,,,,,,,
762,clpu,1,1,3.5,0.4,0.04616,,,,,,35,13,10,
762,clpu,1,2,3.4,0.4,0.03976,,,,,,,,,
762,clpu,1,3,3.6,0.4,0.03847,,,,,,,,,
762,clpu,2,1,3.1,0.3,0.02048,,,,,,38,19,15,using half of plant
762,clpu,2,2,4.6,0.4,0.06828,,,,,,,,,
762,clpu,2,3,4.6,0.5,0.06149,,,,,,,,,
762,clpu,3,1,4.5,0.5,0.0609,,,,,,29,18,8,
762,clpu,3,2,4,0.5,0.04728,,,,,,,,,
762,clpu,3,3,3.9,0.4,0.03594,,,,,,,,,
762,clpu,4,1,2.6,0.2,0.0181,,,,,,31,45,35,using quarter of plant
762,clpu,4,2,2.4,0.4,0.01861,,,,,,,,,
762,clpu,4,3,3.1,0.4,0.0383,,,,,,,,,
762,clpu,5,1,3.5,0.4,0.04024,,,,,,27,25,29,using quarter of plant
762,clpu,5,2,3,0.4,0.02981,,,,,,,,,
762,clpu,5,3,3,0.3,0.02953,,,,,,,,,
763,lopu,1,1,0.8,1.2,0.00708,,,,,,9,4,2,"growing with other LOPUs, not a lambda individual"
763,lopu,1,2,0.8,1,0.00752,,,,,,,,,
763,lopu,1,3,0.9,1.1,0.00828,,,,,,,,,
763,lopu,2,1,1,1.1,0.01184,,,,,,9,10,6,
763,lopu,2,2,1,1.3,0.01311,,,,,,,,,
763,lopu,2,3,0.8,1.1,0.0064,,,,,,,,,
763,lopu,3,1,1,1,0.00737,,,,,,6,4,2,
763,lopu,3,2,1,1,0.00787,,,,,,,,,
763,lopu,3,3,1,1,0.00592,,,,,,,,,
763,lopu,4,1,1,1.2,0.01376,,,,,,8,7,2,
763,lopu,4,2,1,1.3,0.01175,,,,,,,,,
763,lopu,4,3,1,1.2,0.01288,,,,,,,,,
763,lopu,5,1,0.8,0.8,0.006,,,,,,7,3,1,
763,lopu,5,2,0.8,0.8,0.00578,,,,,,,,,
763,lopu,5,3,0.7,0.8,0.004,,,,,,,,,
763,heco,1,1,2.3,0.4,0.01664,,,,,,12,10,9,"included some brown leaves in all leaves scan, these leaves were green till very recently"
763,heco,1,2,2.1,0.2,0.01229,,,,,,,,,
763,heco,1,3,2,0.4,0.01762,,,,,,,,,"leaf tip was damaged, so cut off before weighing and scanning"
763,heco,2,1,1.6,0.3,0.00917,,,,,,8,7,7,
763,heco,2,2,1.5,0.3,0.00845,,,,,,,,,
763,heco,2,3,1,0.2,0.00512,,,,,,,,,
763,heco,3,1,2.9,0.4,0.02178,,,,,,13,11,9,
763,heco,3,2,2,0.3,0.0106,,,,,,,,,
763,heco,3,3,1.9,0.3,0.01111,,,,,,,,,
763,heco,4,1,2.6,0.4,0.02383,,,,,,9.5,7,5,
763,heco,4,2,2,0.3,0.01542,,,,,,,,,
763,heco,4,3,2.1,0.3,0.0131,,,,,,,,,
763,clbo,1,1,2.2,0.2,0.00937,,,,,,23,3,3,"leaf curling, double for leaf area"
763,clbo,1,2,2.3,0.2,0.01066,,,,,,,,,"leaf curling, double for leaf area"
763,clbo,1,3,2.2,0.2,0.00887,,,,,,,,,"leaf curling, double for leaf area"
