plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
761,heco,1,1,7,0.8,0.0789,,,,,,20,24,14,
761,heco,1,2,6.5,0.6,0.08682,,,,,,,,,
761,heco,1,3,5.9,0.8,0.08224,,,,,,,,,
761,heco,2,1,6.4,0.6,0.07233,,,,,,20,23.5,9.5,using half of plant
761,heco,2,2,5.5,0.6,0.05473,,,,,,,,,
761,heco,2,3,6,0.7,0.07578,,,,,,,,,
761,heco,3,1,5,1,0.086,,,,,,33,30,24,using fourth of plant
761,heco,3,2,4.4,0.8,0.07361,,,,,,,,,
761,heco,3,3,4.8,0.7,0.05722,,,,,,,,,
761,heco,4,1,7.8,0.6,0.11737,,,,,,31,31,19,Using 1/8 of plant
761,heco,4,2,6.3,0.6,0.06097,,,,,,,,,
761,heco,4,3,5.6,0.6,0.05061,,,,,,,,,
761,heco,5,1,6.4,0.5,0.04781,,,,,,10,22,12,using half of plant
761,heco,5,2,6.8,0.4,0.04606,,,,,,,,,
761,heco,5,3,7,0.4,0.04981,,,,,,,,,
761,clpu,1,1,1.9,0.2,0.01049,,,,,,8,8,6,
761,clpu,1,2,2.1,0.2,0.01425,,,,,,,,,
761,clpu,1,3,1.6,0.2,0.00565,,,,,,,,,
761,clpu,2,1,1.5,0.3,0.01036,,,,,,6.5,6,7,
761,clpu,2,2,2,0.3,0.01051,,,,,,,,,
761,clpu,2,3,1.4,0.2,0.00563,,,,,,,,,
761,clpu,3,1,1.5,0.3,0.00819,,,,,,6.5,7,8,
761,clpu,3,2,1.8,0.3,0.01066,,,,,,,,,
761,clpu,3,3,2.1,0.3,0.01277,,,,,,,,,
761,clpu,4,1,2.1,0.2,0.01236,,,,,,8,7.5,7,
761,clpu,4,2,2,0.2,0.01031,,,,,,,,,
761,clpu,4,3,2,0.3,0.01193,,,,,,,,,
761,lopu,1,1,1.7,1.1,0.02129,,,,,,9,6.5,4.5,
761,lopu,1,2,2,1.1,0.03088,,,,,,,,,
761,lopu,1,3,1.2,1.1,0.01253,,,,,,,,,
761,lopu,2,1,1.1,0.9,0.01348,,,,,,7,6,5,
761,lopu,2,2,1.5,1.1,0.01363,,,,,,,,,
761,lopu,2,3,1,0.9,0.00777,,,,,,,,,
760,naat,1,1,1.1,0.6,0.00707,,,,,,9,19,8.5,using half of plant
760,naat,1,2,1.1,0.6,0.00726,,,,,,,,,
760,naat,1,3,1,0.6,0.00694,,,,,,,,,
760,naat,2,1,1,0.6,0.00695,,,,,,7,7.5,5.5,using half of plant
760,naat,2,2,1.2,0.7,0.00805,,,,,,,,,
760,naat,2,3,1.2,0.6,0.00811,,,,,,,,,
760,naat,3,1,1,0.5,0.00541,,,,,,12,30,19,using fourth of plant
760,naat,3,2,1.1,0.6,0.00488,,,,,,,,,
760,naat,3,3,1,0.6,0.00569,,,,,,,,,
760,naat,4,1,1,0.6,0.00506,,,,,,9,25,15,using fourth of plant
760,naat,4,2,1.3,0.7,0.00957,,,,,,,,,
760,naat,4,3,13,0.7,0.01014,,,,,,,,,
761,naat,1,1,1.1,0.6,0.00653,,,,,,18,34,42,Using 1/16 of plant
761,naat,1,2,1.1,0.6,0.00538,,,,,,,,,
761,naat,1,3,1,0.6,0.00631,,,,,,,,,
761,naat,2,1,1.4,0.9,0.01509,,,,,,26,46,50,
761,naat,2,2,1.4,0.9,0.01002,,,,,,,,,
761,naat,2,3,1.4,0.8,0.01273,,,,,,,,,
760,lopu,1,1,1,1.1,0.0072,,,,,,11,3.5,2,
760,lopu,1,2,1.7,1.2,0.01579,,,,,,,,,
760,lopu,1,3,0.8,1.1,0.00564,,,,,,,,,
760,lopu,2,1,1.5,2,0.03208,,,,,,10,7,6,herbivory on plants
760,lopu,2,2,1.5,2.3,0.03612,,,,,,,,,
760,lopu,2,3,1.7,2.1,0.03343,,,,,,,,,
760,lopu,3,1,1.2,2,0.02427,,,,,,11,6,3,
760,lopu,3,2,1.3,1.7,0.02539,,,,,,,,,
761,lopu,3,3,1.2,1.7,0.0178,,,,,,,,,
762,naat,1,1,1.5,0.7,0.00832,,,,,,5,7,3,
762,naat,1,2,1.3,0.3,0.00622,,,,,,,,,
762,naat,1,3,1.3,0.6,0.00742,,,,,,,,,
762,lopu,2,1,1.4,1.6,0.02055,,,,,,12,14,12,
762,lopu,2,2,1.3,1.9,0.02013,,,,,,,,,
762,lopu,2,3,1.2,1.9,0.02042,,,,,,,,,
762,lopu,3,1,2,2.2,0.04016,,,,,,17,49,37,using quarter of plant
762,lopu,3,2,1.8,2.2,0.03826,,,,,,,,,
762,lopu,3,3,2,1.7,0.03946,,,,,,,,,
762,lopu,4,1,2.4,2,0.05409,,,,,,15,27,23,using half of plant
762,lopu,4,2,1.8,2.4,0.0543,,,,,,,,,
762,lopu,4,3,1.8,2.3,0.03624,,,,,,,,,
762,lopu,5,1,2.5,2.3,0.07252,,,,,,20,87,60,Using 1/16 of plant
762,lopu,5,2,2.6,2.4,0.06976,,,,,,,,,
762,lopu,5,3,2,2,0.05658,,,,,,,,,
762,ceme,1,1,3.9,0.9,0.05871,,,,,,46,35,42,using quarter of plant
762,ceme,1,2,3.2,0.8,0.04103,,,,,,,,,
762,ceme,1,3,2.6,0.7,0.03739,,,,,,,,,
762,ceme,2,1,2.3,0.8,0.0552,,,,,,35,26,19,using half of plant
762,ceme,2,2,3.8,0.6,0.05026,,,,,,,,,
762,ceme,2,3,3.6,0.6,0.04269,,,,,,,,,
762,ceme,3,1,3.4,0.6,0.0481,,,,,,38,48,38,using half of plant
762,ceme,3,2,3.2,0.6,0.04013,,,,,,,,,
762,ceme,3,3,3.5,0.6,0.04094,,,,,,,,,
762,ceme,4,1,4.3,1.2,0.10098,,,,,,,,,
762,ceme,4,2,4.4,1,0.10185,,,,,,,,,
762,ceme,4,3,4,1,0.0836,,,,,,,,,
762,clpu,1,1,3.7,0.6,0.04895,,,,,,50,50,40,using quarter of plant
762,clpu,1,2,2.9,0.6,0.03136,,,,,,,,,
762,clpu,1,3,3.7,0.5,0.04506,,,,,,,,,
762,clpu,2,1,3.5,0.7,0.0593,,,,,,12,13,10,
762,clpu,2,2,3.6,0.7,0.06392,,,,,,,,,
762,clpu,2,3,3.4,0.7,0.06093,,,,,,,,,
762,clpu,3,1,3.5,0.5,0.03464,,,,,,49,55,40,using fourth of plant
762,clpu,3,2,3.3,0.4,0.02993,,,,,,,,,
762,clpu,3,3,2.8,0.3,0.02432,,,,,,,,,
762,clpu,4,1,2.9,0.5,0.02819,,,,,,19,25,10,using half of plant
762,clpu,4,2,3.3,0.5,0.03589,,,,,,,,,
762,clpu,4,3,3.1,0.5,0.02892,,,,,,,,,
762,clpu,5,1,3.5,0.5,0.03021,,,,,,54,60,57,Using 1/16 of plant
762,clpu,5,2,3.7,0.5,0.03819,,,,,,,,,
762,clpu,5,3,3.2,0.5,0.04158,,,,,,,,,
