plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
758,lopu,1,1,4,5.5,0.11052,,,,,,37,38,38,
758,lopu,1,2,2.8,5.1,0.10717,,,,,,,,,
758,lopu,1,3,3.2,4.7,0.08149,,,,,,,,,
758,lopu,2,1,1.4,1.7,0.01218,,,,,,26,7,6,
758,lopu,2,2,1.7,2.4,0.01672,,,,,,,,,
758,lopu,2,3,1.5,2.4,0.01563,,,,,,,,,
758,lopu,3,1,2,3,0.02567,,,,,,20,8,6,
758,lopu,3,2,2.2,3,0.02647,,,,,,,,,
758,lopu,3,3,2.2,3,0.0212,,,,,,,,,
758,lopu,4,1,2.8,3.7,0.04937,,,,,,29,17,9,using half of plant
758,lopu,4,2,3,4.8,0.05455,,,,,,,,,
758,lopu,4,3,2.6,3.3,0.03627,,,,,,,,,
758,lopu,5,1,2.2,3,0.03583,,,,,,19,20,5,
758,lopu,5,2,2.1,3,0.03281,,,,,,,,,
758,lopu,5,3,1.5,2.3,0.02126,,,,,,,,,
759,naat,1,1,1.2,2.1,0.00898,,,,,,10,4,4,
759,naat,1,2,2.4,1.4,0.014,,,,,,,,,
759,naat,1,3,1.6,0.9,0.00796,,,,,,,,,
759,naat,2,1,1.9,1.1,0.00956,,,,,,12,4,4,
759,naat,2,2,2.2,1.4,0.01248,,,,,,,,,
759,naat,2,3,1.6,1.1,0.00715,,,,,,,,,
759,heco,1,1,5.7,0.4,0.02047,,,,,,21,3,2,
759,heco,1,2,5.8,0.4,0.02127,,,,,,,,,
759,heco,1,3,3,0.3,0.00841,,,,,,,,,
759,heco,2,1,4.9,0.3,0.02095,,,,,,21,18,17,
759,heco,2,2,8.5,0.5,0.05634,,,,,,,,,
759,heco,2,3,5,0.5,0.03005,,,,,,,,,
759,heco,3,1,13.3,0.5,0.10628,,,,,,10,15,2,
759,heco,3,2,13.9,0.11365,0.11365,,,,,,,,,
759,heco,3,3,NA,NA,NA,,,,,,,,,
759,clbo,1,1,3,0.3,0.00957,,,,,,35,12,6,
759,clbo,1,2,3.3,0.3,0.00848,,,,,,,,,
759,clbo,1,3,4.2,0.4,0.01266,,,,,,,,,
759,clbo,2,1,2.5,0.2,0.00588,,,,,,29,4,2,
759,clbo,2,2,4.9,0.3,0.01808,,,,,,,,,
759,clbo,2,3,2.7,0.2,0.00694,,,,,,,,,
759,clbo,3,1,4.5,0.6,0.01788,,,,,,51,18,3,
759,clbo,3,2,4.1,0.4,0.01551,,,,,,,,,
759,clbo,3,3,3.7,0.4,0.01333,,,,,,,,,
759,clbo,5,1,4.4,0.4,0.01144,,,,,,21,7,2,
759,clbo,5,2,2.8,0.3,0.00595,,,,,,,,,
759,clbo,5,3,2.6,0.3,0.00507,,,,,,,,,
759,lopu,1,1,2.2,3.4,0.03698,,,,,,24,8,6,
759,lopu,1,2,2.4,3.2,0.04089,,,,,,,,,
759,lopu,1,3,2,3,0.03988,,,,,,,,,
759,lopu,2,1,2.7,3.4,0.04572,,,,,,29,28,10,
759,lopu,2,2,3.2,4,0.06798,,,,,,,,,
759,lopu,2,3,3.3,4.1,0.06673,,,,,,,,,
759,lopu,3,1,2,2.7,0.02541,,,,,,23,10,6,
759,lopu,3,2,1.6,2.6,0.01876,,,,,,,,,
759,lopu,3,3,2,2.7,0.02489,,,,,,,,,
759,lopu,4,1,2,3.1,0.03454,,,,,,20,10,10,
759,lopu,4,2,2.2,3.5,0.04111,,,,,,,,,
759,lopu,4,3,2.2,3.4,0.04064,,,,,,,,,
759,lopu,5,1,3,3.8,0.04058,,,,,,33,34,18,
759,lopu,5,2,2.4,3.4,0.03081,,,,,,,,,
759,lopu,5,3,2.2,3,0.0202,,,,,,,,,
758,clpu,1,1,4.3,0.5,0.03562,,,,,,38,4,5,
758,clpu,1,2,4.1,0.5,0.03309,,,,,,,,,
758,clpu,1,3,4,0.5,0.03307,,,,,,,,,
758,clpu,2,1,4.7,0.6,0.03904,,,,,,35,6,5,
758,clpu,2,2,4.1,0.5,0.03224,,,,,,,,,
758,clpu,2,3,3.3,0.5,0.02484,,,,,,,,,
758,clpu,3,1,4.7,0.7,0.04568,,,,,,21,8,8,
758,clpu,3,2,4.4,0.6,0.04121,,,,,,,,,
758,clpu,3,3,3.3,0.3,0.02383,,,,,,,,,
758,clpu,4,1,3.9,0.4,0.02322,,,,,,21,6,6,
758,clpu,4,2,3.2,0.4,0.0211,,,,,,,,,
758,clpu,4,3,3.8,0.4,0.01973,,,,,,,,,
758,clpu,5,1,3.7,0.6,0.03836,,,,,,15,3,3,
758,clpu,5,2,3.4,0.5,0.03029,,,,,,,,,
758,clpu,5,3,3.1,0.6,0.02815,,,,,,,,,
758,clbo,1,1,4,0.7,0.02944,,,,,,27,34,26,
758,clbo,1,2,4.1,0.6,0.02822,,,,,,,,,
758,clbo,1,3,2,0.3,0.00598,,,,,,,,,
758,clbo,2,1,2.4,0.3,0.00688,,,,,,26,2,2,
758,clbo,2,2,2.5,0.3,0.00753,,,,,,,,,
758,clbo,2,3,2.4,0.3,0.00794,,,,,,,,,
758,clbo,3,1,2.7,0.5,0.01423,,,,,,20,5,2,
758,clbo,3,2,2.8,0.5,0.01544,,,,,,,,,
758,clbo,3,3,2.2,0.4,0.00875,,,,,,,,,
758,clbo,4,1,4,0.8,0.03402,,,,,,20,6,5,
758,clbo,4,2,4.2,0.5,0.02114,,,,,,,,,
758,clbo,4,3,2.9,0.7,0.02494,,,,,,,,,
758,ceme,1,1,2.9,0.4,0.01642,,,,,,12,4,3,
758,ceme,1,2,3.2,0.5,0.01834,,,,,,,,,
758,ceme,1,3,2.4,0.4,0.01168,,,,,,,,,
758,ceme,2,1,3.1,0.5,0.02212,,,,,,7,4,3,
758,ceme,2,2,2.9,0.5,0.02196,,,,,,,,,
758,ceme,2,3,2.7,0.4,0.01472,,,,,,,,,
758,ceme,3,1,2.8,0.5,0.01608,,,,,,14.5,3,2,
758,ceme,3,2,3,0.5,0.01796,,,,,,,,,
758,ceme,3,3,2,0.4,0.01119,,,,,,,,,
