plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
comp,erci,1,1,3.2,1.5,0.02868,,,,,16-May-2017,11,20,10,
comp,erci,1,2,2.8,1.4,0.02266,,,,,16-May-2017,,,,
comp,erci,1,3,2.5,1.5,0.02231,,,,,16-May-2017,,,,
comp,erci,2,1,1.7,1.4,0.01988,,,,,16-May-2017,10,35,26,
comp,erci,2,2,2.4,1.4,0.02746,,,,,16-May-2017,,,,
comp,erci,2,3,2,1.8,0.02534,,,,,16-May-2017,,,,
comp,erci,3,1,4.3,2.5,0.07623,,,,,16-May-2017,22,50,10,using half of plant
comp,erci,3,2,4,2.5,0.08432,,,,,16-May-2017,,,,
comp,erci,3,3,3.3,2.2,0.07474,,,,,16-May-2017,,,,
comp,erci,4,1,3,2,0.03717,,,,,16-May-2017,10,80,40,using quarter of plant
comp,erci,4,2,2.4,2,0.04751,,,,,16-May-2017,,,,
comp,erci,4,3,2.8,2.3,0.04339,,,,,16-May-2017,,,,
comp,erci,5,1,2.6,1.8,0.02961,,,,,16-May-2017,17,55,30,
comp,erci,5,2,3,2,0.02793,,,,,16-May-2017,,,,
comp,erci,5,3,3,2.2,0.03925,,,,,16-May-2017,,,,
comp,naat,1,1,2,0.6,0.00507,,,,,16-May-2017,7,2,3,
comp,naat,1,2,1.6,0.4,0.00422,,,,,16-May-2017,,,,
comp,naat,1,3,1.5,0.3,0.00408,,,,,16-May-2017,,,,
comp,naat,2,1,1.7,0.5,0.00722,,,,,16-May-2017,6.5,4.5,3,
comp,naat,2,2,2,0.6,0.00791,,,,,16-May-2017,,,,
comp,naat,2,3,1.7,0.7,0.00811,,,,,16-May-2017,,,,
comp,naat,3,1,1.6,0.6,0.00445,,,,,16-May-2017,5,4,2,
comp,naat,3,2,1.5,0.6,0.00507,,,,,16-May-2017,,,,
comp,naat,3,3,1.6,0.7,0.00569,,,,,16-May-2017,,,,
comp,naat,4,1,1.7,1,0.01086,,,,,16-May-2017,9,9,10,
comp,naat,4,2,2.3,1.2,0.01267,,,,,16-May-2017,,,,
comp,naat,4,3,2.3,0.7,0.00991,,,,,16-May-2017,,,,
comp,naat,5,1,2.6,0.9,0.02457,,,,,16-May-2017,10,8,7,using half of plant
comp,naat,5,2,1.5,0.6,0.00982,,,,,16-May-2017,,,,
comp,naat,5,3,1.8,0.6,0.01476,,,,,16-May-2017,,,,
741,naat,1,1,1.8,0.9,0.01277,,,,,16-May-2017,6,8,11,using half of plant
741,naat,1,2,1.7,1.2,0.01653,,,,,16-May-2017,,,,
741,naat,1,3,1.6,0.9,0.0126,,,,,16-May-2017,,,,
741,naat,2,1,1.7,0.6,0.0083,,,,,16-May-2017,7,9,7,using half of plant
741,naat,2,2,1.7,1,0.01647,,,,,16-May-2017,,,,
741,naat,2,3,1.6,0.9,0.01576,,,,,16-May-2017,,,,
741,naat,3,1,1.6,1.1,0.01469,,,,,16-May-2017,6,10,7,using half of plant
741,naat,3,2,1.5,0.8,0.1275,,,,,16-May-2017,,,,
741,naat,3,3,1.4,0.6,0.00769,,,,,16-May-2017,,,,
741,naat,4,1,2,1,0.01289,,,,,16-May-2017,9,9,8,
741,naat,4,2,1.8,1,0.01554,,,,,16-May-2017,,,,
741,naat,4,3,2.1,0.9,0.01056,,,,,16-May-2017,,,,
