plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes
757,mica,1,1,1.4,0.4,0.0045,,,,25-Apr-2017,
757,mica,1,2,1.3,0.4,0.00533,,,,25-Apr-2017,
757,mica,1,3,1.2,0.4,0.0043,,,,25-Apr-2017,
757,mica,2,1,1.2,0.3,0.00313,,,,25-Apr-2017,using only ¼ of plant
757,mica,2,2,1.5,0.3,0.00423,,,,25-Apr-2017,
757,mica,2,3,1.2,0.3,0.00279,,,,25-Apr-2017,
757,mica,3,1,1.2,0.3,0.00342,,,,25-Apr-2017,using only ¼ of plant
757,mica,3,2,1.2,0.3,0.00337,,,,25-Apr-2017,
757,mica,3,3,1.2,0.4,0.003,,,,25-Apr-2017,
757,mica,4,1,1.3,0.3,0.00376,,,,25-Apr-2017,
757,mica,4,2,1.2,0.4,0.00365,,,,25-Apr-2017,
757,mica,4,3,1,0.2,0.00181,,,,25-Apr-2017,
757,mica,5,1,1.1,0.3,0.00287,,,,25-Apr-2017,
757,mica,5,2,1.2,0.3,0.00223,,,,25-Apr-2017,
757,mica,5,3,1.1,0.4,0.00251,,,,25-Apr-2017,
757,homu,1,1,3.2,0.5,0.01675,,,,25-Apr-2017,
757,homu,1,2,3,0.5,0.01652,,,,25-Apr-2017,
757,homu,1,3,4.2,0.4,0.01902,,,,25-Apr-2017,
757,homu,2,1,4.4,0.5,0.02661,,,,25-Apr-2017,
757,homu,2,2,4.7,0.5,0.02881,,,,25-Apr-2017,
757,homu,2,3,4,0.4,0.02181,,,,25-Apr-2017,‘
757,homu,3,1,3.8,0.4,0.01548,,,,25-Apr-2017,
757,homu,3,2,2.6,0.5,0.01432,,,,25-Apr-2017,
757,homu,3,3,2.6,0.4,0.0116,,,,25-Apr-2017,
757,homu,4,1,4.6,0.5,0.03102,,,,25-Apr-2017,
757,homu,4,2,3.7,0.4,0.01825,,,,25-Apr-2017,
757,homu,4,3,3.2,0.4,0.01567,,,,25-Apr-2017,
757,homu,5,1,3,0.4,0.01503,,,,25-Apr-2017,
757,homu,5,2,3.1,0.4,0.01506,,,,25-Apr-2017,
