plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes
753,mepo,1,1,1.2,1.5,0.01739,0.00141,,,27-Apr-2017,
753,mepo,1,2,1.1,1.5,0.0169,0.00214,,,27-Apr-2017,
753,mepo,1,3,1,1.4,0.01708,0.0033,,,27-Apr-2017,
753,mepo,2,1,1.2,1.7,0.01512,0.00253,,,27-Apr-2017,
753,mepo,2,2,1.2,1.7,0.01776,0.0023,,,27-Apr-2017,
753,mepo,2,3,1.2,2,0.02702,0.00303,,,27-Apr-2017,
753,mica,1,1,0.9,0.2,0.00147,,,,27-Apr-2017,
753,mica,1,2,0.8,0.2,0.00128,,,,27-Apr-2017,
753,mica,1,3,0.9,0.2,0.00144,,,,27-Apr-2017,
753,aghe,1,1,8.4,1.2,0.04614,,,,27-Apr-2017,
753,aghe,1,2,9.5,1,0.05949,,,,27-Apr-2017,
753,aghe,1,3,10.4,2.5,0.07345,,,,27-Apr-2017,
754,mepo,1,1,1.5,1.9,0.02994,0.00418,,,27-Apr-2017,using only 1/3 of plant
754,mepo,1,2,1.4,1.7,0.02519,0.00405,,,27-Apr-2017,
754,mepo,1,3,1.5,2,0.02581,0.00361,,,27-Apr-2017,
754,mepo,2,1,1.1,1.5,0.0162,0.00272,,,27-Apr-2017,
754,mepo,2,2,1.2,1.6,0.01515,0.00159,,,27-Apr-2017,
754,mepo,2,3,1.1,1.2,0.01004,0.00219,,,27-Apr-2017,
754,mepo,3,1,1.5,2,0.0272,0.004,,,27-Apr-2017,
754,mepo,3,2,1.1,1.6,0.01589,0.00153,,,27-Apr-2017,
754,mepo,3,3,1.2,1.8,0.02038,0.00273,,,27-Apr-2017,
754,mepo,4,1,1.1,1.7,0.02211,0.00435,,,27-Apr-2017,using only ½ of plant
754,mepo,4,2,1.1,2,0.02142,0.00342,,,27-Apr-2017,
754,mepo,4,3,1.5,2.2,0.03173,0.00419,,,27-Apr-2017,
754,mepo,5,1,1.2,1.8,0.0248,0.00334,,,27-Apr-2017,
754,mepo,5,2,1.2,1.8,0.02081,0.00399,,,27-Apr-2017,
754,mepo,5,3,1.4,1.9,0.02086,0.00334,,,27-Apr-2017,
753,eupe,1,1,1.3,0.9,0.01033,,,,27-Apr-2017,
753,eupe,1,2,1.4,1,0.0131,,,,27-Apr-2017,
753,eupe,1,3,1.6,0.7,0.01364,,,,27-Apr-2017,
753,eupe,2,1,1.3,0.9,0.01114,,,,27-Apr-2017,
753,eupe,2,2,1.4,0.9,0.01357,,,,27-Apr-2017,
753,eupe,2,3,1.4,0.6,0.00844,,,,27-Apr-2017,
753,eupe,3,1,1.3,0.6,0.0864,,,,27-Apr-2017,
753,eupe,3,2,1.3,0.8,0.01073,,,,27-Apr-2017,
753,eupe,3,3,1.3,0.7,0.00884,,,,27-Apr-2017,
753,eupe,4,1,1.3,0.7,0.01054,,,,27-Apr-2017,using only ½ of plant
753,eupe,4,2,1,0.5,0.0083,,,,27-Apr-2017,
753,eupe,4,3,1.5,0.6,0.0114,,,,27-Apr-2017,
753,eupe,5,1,1,0.5,0.00519,,,,27-Apr-2017,
753,eupe,5,2,1,0.8,0.00839,,,,27-Apr-2017,
753,eupe,5,3,1,0.4,0.00427,,,,27-Apr-2017,
742,eupe,1,1,1.7,0.6,0.01106,,,,27-Apr-2017,using only ¼ of plant
742,eupe,1,2,1.7,0.6,0.0917,,,,27-Apr-2017,
742,eupe,1,3,1.6,0.6,0.00956,,,,27-Apr-2017,
742,eupe,2,1,1.4,0.6,0.00735,,,,27-Apr-2017,using only ½ of plant
742,eupe,2,2,0.9,0.5,0.00467,,,,27-Apr-2017,
742,eupe,2,3,0.8,0.5,0.00336,,,,27-Apr-2017,
742,eupe,3,1,1.1,0.5,0.00531,,,,27-Apr-2017,
742,eupe,3,2,1.3,0.5,0.00563,,,,27-Apr-2017,
742,eupe,3,3,1.2,0.5,0.00581,,,,27-Apr-2017,
742,eupe,4,1,1.7,0.7,0.01379,,,,27-Apr-2017,using only ½ of plant
742,eupe,4,2,0.9,0.6,0.00597,,,,27-Apr-2017,
742,eupe,4,3,0.8,0.7,0.00486,,,,27-Apr-2017,
742,eupe,5,1,0.8,0.4,0.00275,,,,27-Apr-2017,
742,eupe,5,2,0.7,0.6,0.00453,,,,27-Apr-2017,
742,eupe,5,3,0.8,0.4,0.00294,,,,27-Apr-2017,
741,lowr,1,1,1.6,1.4,0.03397,0.00132,,,,using only ¼ of plant
741,lowr,1,2,1.5,1.2,0.03634,0.00234,,,,
741,lowr,1,3,1.3,1.2,0.02339,0.00148,,,,
741,lowr,2,1,1.4,0.9,0.03189,0.00178,,,,using only ¼ of plant
741,lowr,2,2,1.4,0.8,0.03436,0.00222,,,,
741,lowr,2,3,1.3,1.1,0.02121,0.00106,,,,
741,lowr,3,1,1.5,1,0.00193,0.02252,,,,
741,lowr,3,2,1.2,1.3,0.02438,0.00102,,,,
741,lowr,3,3,1.2,0.9,0.01545,0.00107,,,,
741,lowr,4,1,1.2,1.2,0.01713,0.00232,,,,using only ½ of plant
741,lowr,4,2,1.6,1.4,0.09938,0.00639,,,,
741,lowr,4,3,1.1,1,0.01692,0.00185,,,,using only 1/5 of plant
741,lowr,5,1,1.6,1.2,0.04347,0.0029,,,,
741,lowr,5,2,1.8,1.3,0.06974,0.0044,,,,
741,lowr,5,3,1.8,1.3,0.04928,0.00274,,,,
743,eupe,1,1,1.3,0.6,0.00934,,,,,
743,eupe,1,2,1.5,0.7,0.00941,,,,,
743,eupe,1,3,1.3,0.6,0.00633,,,,,
743,eupe,2,1,1,0.6,0.00692,,,,,
743,eupe,2,2,1,0.8,0.00737,,,,,
743,eupe,2,3,1.8,0.9,0.00896,,,,,
743,eupe,3,1,1.3,0.5,0.00613,,,,,
743,eupe,3,2,1.3,0.3,0.00671,,,,,
743,eupe,3,3,0.8,0.7,0.00524,,,,,
743,eupe,4,1,0.9,0.4,0.00315,,,,,
743,eupe,4,2,0.8,0.5,0.0026,,,,,
743,eupe,4,3,0.8,0.4,0.00314,,,,,
743,saco,1,1,2,1.3,0.04996,0.00467,,,,
743,saco,1,2,1.9,1.3,0.047322,0.00858,,,,
743,saco,1,3,1.8,1.1,0.03537,0.00415,,,,
743,lowr,1,1,1.3,1,0.0303,0.00252,,,,
743,lowr,1,2,1.2,1,0.02556,0.00204,,,,
743,lowr,1,3,1.6,1.4,0.0286,NA,,,,
743,lowr,2,1,1.3,1.2,0.02719,0.00207,,,,
743,lowr,2,2,1.4,1,0.01964,0.00131,,,,
743,lowr,2,3,1,1,0.0119,0.00101,,,,lost petiole
743,lowr,3,1,1.3,1,0.03789,0.00192,,,,
743,lowr,3,2,1.4,1,0.03613,0.00193,,,,
743,lowr,3,3,1.3,1,0.03838,0.00239,,,,
743,amme,1,1,2.5,0.6,0.03602,,,,,
743,amme,1,2,2.8,0.6,0.0755,,,,,
743,amme,1,3,2.2,0.6,0.03778,,,,,
743,amme,2,1,2,0.06,0.02218,,,,,
743,amme,2,2,1.4,0.5,0.01601,,,,,
743,amme,2,3,,,,,,,,
