plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes,height_cm,width1_cm,width2_cm
comp,lowr,5,2,1,1,0.0229,,,,,,,,
comp,lowr,5,3,1,1.1,0.02055,,,,,,,,
comp,pler,1,1,5.3,0.3,0.02152,,,,,,10,4,4
comp,pler,1,2,5.7,0.3,0.02868,,,,,,,,
comp,pler,1,3,5.3,0.3,0.02671,,,,,,,,
comp,pler,2,1,7.5,0.3,0.03606,,,,,,11,5,6
comp,pler,2,2,7.5,0.2,0.02476,,,,,,,,
comp,pler,2,3,6.6,0.3,0.03313,,,,,,,,
comp,pler,3,1,7.2,0.3,0.03581,,,,,,17,5,5
comp,pler,3,2,7.9,0.3,0.05021,,,,,,,,
comp,pler,3,3,7.2,0.4,0.05508,,,,,,,,
comp,pler,4,1,7.9,0.3,0.03803,,,,,,15.5,6,5
comp,pler,4,2,7.8,0.3,0.03604,,,,,,,,
comp,pler,4,3,7,0.3,0.03028,,,,,,,,
comp,pler,5,1,8,0.3,0.03693,,,,,,11,7,6
comp,pler,5,2,5.5,0.2,0.01703,,,,,,,,
comp,pler,5,3,8.5,0.3,0.05251,,,,,leaf has some herbivory,,,
comp,amme,1,1,6.9,0.1,0.2189,,,,,,25,21,26
comp,amme,1,2,7.5,1,0.22675,,,,,,,,
comp,amme,1,3,5.8,0.9,0.14106,,,,,full leaf scan is 40% of plant,,,
comp,amme,2,1,3,0.4,0.04161,,,,,,27,9,11
comp,amme,2,2,1.9,0.3,0.01534,,,,,,,,
comp,amme,2,3,3.5,0.5,0.045,,,,,,,,
comp,amme,3,1,3.5,1,0.01352,,,,,25% of plant,40,35,26
comp,amme,3,2,4.9,1.1,0.171,,,,,,,,
comp,amme,3,3,3.4,1,0.08282,,,,,,,,
comp,amme,4,1,2.7,1,0.06062,,,,,½ of plant,42,38,35
comp,amme,4,2,2.4,1,0.05216,,,,,,,,
comp,amme,4,3,3.8,1.2,0.08156,,,,,,,,
comp,amme,5,1,6.4,1.4,0.21558,,,,,¼ of plant,60,42,40
comp,amme,5,2,4.5,1.4,0.13452,,,,,,,,
comp,amme,5,3,4.6,1.2,0.1132,,,,,,,,
comp,saco,1,1,2.2,1,0.04122,,,,,,11,5,3
comp,saco,1,2,2.4,1.3,0.05007,,,,,,,,
comp,saco,1,3,1.5,0.7,0.01391,,,,,,,,
