plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
comp,heco,1,1,11,1.6,0.33401,,,,,25-May-2017,13,20,21,
comp,heco,1,2,12.5,19,0.443,,,,,,,,,
comp,heco,1,3,13,1.9,0.4754,,,,,,,,,
comp,heco,2,1,11.7,1.8,0.4853,,,,,,27,22,26,
comp,heco,2,2,13.1,1.6,0.511,,,,,,,,,
comp,heco,2,3,14.6,2.2,0.745,,,,,,,,,
comp,heco,3,1,12.9,1.6,0.44,,,,,,30,30,22,using half of plant
comp,heco,3,2,14,1.6,0.539,,,,,,,,,
comp,heco,3,3,16.7,2.1,1.02946,,,,,,,,,
comp,heco,4,1,11.8,1.2,0.36041,,,,,,26,21,17,
comp,heco,4,2,11.6,1.1,0.3305,,,,,,,,,
comp,heco,4,3,11,1.1,0.26256,,,,,,,,,
comp,heco,5,1,11.7,1.6,0.37051,,,,,,10,21,18,
comp,heco,5,2,10.5,1.3,0.30211,,,,,,,,,
comp,heco,5,3,9.6,1.3,0.23562,,,,,,,,,
743,naat,1,1,0.9,0.5,0.00321,,,,,,6,11,6,
743,naat,1,2,0.7,0.5,0.00266,,,,,,,,,
743,naat,1,3,1.1,0.6,0.00721,,,,,,,,,
743,naat,2,1,1.1,0.7,0.00549,,,,,,4,5,3,
743,naat,2,2,0.7,0.5,0.00287,,,,,,,,,
743,naat,2,3,1.1,0.7,0.00617,,,,,,,,,
743,naat,3,1,1,0.5,0.00532,,,,,,9,10,6,
743,naat,3,2,1,0.5,0.00455,,,,,,,,,
743,naat,3,3,1.1,0.5,0.00486,,,,,,,,,
743,naat,4,1,1.2,0.5,0.00576,,,,,,8,9,9,using half of plant
743,naat,4,2,1.2,0.5,0.00799,,,,,,,,,
743,naat,4,3,3,0.6,0.00895,,,,,,,,,
743,naat,5,1,1,0.5,0.0059,,,,,,10,13,12,using half of plant
743,naat,5,2,1,0.5,0.00673,,,,,,,,,
743,naat,5,3,1.1,0.5,0.00863,,,,,,,,,
745,heco,1,1,6.6,0.8,0.0998,,,,,,22,12,10,
745,heco,1,2,5.6,0.6,0.07362,,,,,,,,,
745,heco,1,3,4.7,0.6,0.05993,,,,,,,,,
745,heco,2,1,6.1,0.5,0.10124,,,,,,7,7,6,
745,heco,2,2,7,0.5,0.10396,,,,,,,,,
745,heco,2,3,4.7,0.4,0.0377,,,,,,,,,
745,heco,3,1,6.4,0.6,0.0826,,,,,,16,10,9,
745,heco,3,2,5.9,0.6,0.0758,,,,,,,,,
745,heco,3,3,4.3,0.5,0.04368,,,,,,,,,
745,heco,4,1,4.5,0.5,0.04698,,,,,,10,9,7,
745,heco,4,2,4.4,0.5,0.04877,,,,,,,,,
745,heco,4,3,6,0.6,0.08385,,,,,,,,,
745,heco,5,1,4.5,0.5,0.05899,,,,,,19,7,6,
745,heco,5,2,4.9,0.5,0.051,,,,,,,,,
745,heco,5,3,5.2,0.6,0.0735,,,,,,,,,
745,naat,1,1,1.4,0.5,0.00513,,,,,,6,8,5,
745,naat,1,2,0.9,0.6,0.00397,,,,,,,,,
745,naat,1,3,1,0.6,0.00616,,,,,,,,,
745,naat,2,1,1.1,0.6,0.00691,,,,,,5,7,5,
745,naat,2,2,0.9,0.5,0.00375,,,,,,,,,
745,naat,2,3,1.1,0.5,0.00765,,,,,,,,,
745,naat,3,1,1,0.5,0.00413,,,,,,7,9,6,using half of plant
745,naat,3,2,1.1,0.5,0.00427,,,,,,,,,
745,naat,3,3,0.9,0.5,0.00349,,,,,,,,,
745,naat,4,1,1,0.4,0.00358,,,,,,2,4,4,
745,naat,4,2,1,0.4,0.00331,,,,,,,,,
745,naat,4,3,1,0.4,0.00334,,,,,,,,,
745,naat,5,1,1,0.5,0.00617,,,,,,5,7,6,
745,naat,5,2,1.1,0.6,0.00514,,,,,,,,,
745,naat,5,3,1.1,0.6,0.00697,,,,,,,,,
745,lopu,1,1,0.6,1,0.01249,,,,,,5,4,2,
745,lopu,1,2,0.7,1.1,0.01342,,,,,,,,,
745,lopu,1,3,0.8,1.3,0.01634,,,,,,,,,
743,lopu,1,1,0.8,1,0.00758,,,,,,5,1,1,
743,lopu,1,2,0.8,1,0.00622,,,,,,,,,
743,lopu,1,3,0.6,0.9,0.00386,,,,,,,,,
743,heco,1,1,7.9,0.6,0.10131,,,,,,19,22,22,
743,heco,1,2,7,0.6,0.07851,,,,,,,,,
743,heco,1,3,5,0.5,0.06549,,,,,,,,,
743,heco,2,1,5.4,0.5,0.05868,,,,,,,,,
743,heco,2,2,5.5,0.6,0.06457,,,,,,,,,
743,heco,2,3,4,0.5,0.03741,,,,,,,,,
743,heco,3,1,7.6,0.9,0.14318,,,,,,,,,
743,heco,3,2,7,0.6,0.08107,,,,,,,,,
743,heco,3,3,4,0.6,0.04071,,,,,,,,,
743,heco,4,1,4,0.5,0.04983,,,,,,13,19,15,
743,heco,4,2,5.9,0.7,0.10308,,,,,,,,,
743,heco,4,3,3.5,0.5,0.03758,,,,,,,,,
743,heco,5,1,8,0.8,0.11649,,,,,,12,15,14,
743,heco,5,2,4,0.6,0.04812,,,,,,,,,
743,heco,5,3,6.2,0.8,0.08981,,,,,,,,,
