Slice,Count,Total Area,Average Size,%Area,Mean
LOGA2_p1_l1.jpeg,1,0.435,0.435,0.078,255.000
LOGA2_p1_l2.jpeg,1,0.517,0.517,0.092,254.982
LOGA2_p1_l3.jpeg,1,0.313,0.313,0.056,254.796
LOGA2_p1_lvs.jpeg,10,1.756,0.176,0.313,254.917
LOGA2_p2_l1.jpeg,1,0.507,0.507,0.090,254.937
LOGA2_p2_l2.jpeg,1,0.532,0.532,0.095,255.000
LOGA2_p2_l3.jpeg,1,0.482,0.482,0.086,254.972
LOGA2_p2_lvs.jpeg,37,5.144,0.139,0.917,254.050
LOGA2_p3_l1.jpeg,1,0.479,0.479,0.085,254.847
LOGA2_p3_l2.jpeg,1,0.598,0.598,0.107,254.954
LOGA2_p3_l3.jpeg,1,0.572,0.572,0.102,254.904
LOGA2_p3_lvs.jpeg,40,5.495,0.137,0.980,253.468
LOGA2_p4_l1.jpeg,1,0.253,0.253,0.045,254.801
LOGA2_p4_l2.jpeg,1,0.516,0.516,0.092,254.761
LOGA2_p4_l3.jpeg,1,0.535,0.535,0.095,254.957
LOGA2_p4_lvs.jpeg,34,4.742,0.139,0.845,252.603
LOGA2_p5_l1.jpeg,1,0.481,0.481,0.086,255.000
LOGA2_p5_l2.jpeg,1,0.550,0.550,0.098,254.709
LOGA2_p5_l3.jpeg,1,0.562,0.562,0.100,255.000
LOGA2_p5_lvs.jpeg,38,6.213,0.164,1.108,253.598
LOGA2_p6_l1.jpeg,1,0.591,0.591,0.105,254.961
LOGA2_p6_l2.jpeg,1,0.560,0.560,0.100,255.000
LOGA2_p6_l3.jpeg,1,0.543,0.543,0.097,254.781
LOGA2_p6_lvs.jpeg,20,3.456,0.173,0.616,252.633
LOGA2_p7_l1.jpeg,1,0.789,0.789,0.141,254.844
LOGA2_p7_l2.jpeg,1,0.759,0.759,0.135,254.892
LOGA2_p7_l3.jpeg,1,0.766,0.766,0.137,254.928
LOGA2_p7_lvs.jpeg,51,11.546,0.226,2.058,254.041
LOGA2_p8_l1.jpeg,1,0.429,0.429,0.076,254.915
LOGA2_p8_l2.jpeg,1,0.368,0.368,0.066,254.739
LOGA2_p8_l3.jpeg,1,0.457,0.457,0.081,254.980
LOGA2_p8_lvs.jpeg,39,5.029,0.129,0.897,254.138
