Slice,Count,Total Area,Average Size,%Area,Mean
chpo-p1-all,14,63.923,4.566,9.922,254.559
chpo-p1-l1,6,33.239,5.540,5.159,254.959
chpo-p1-l2,10,30.898,3.090,4.796,254.892
chpo-p1-l3,8,31.901,3.988,4.951,254.961
chpo-p2-all,15,48.354,3.224,7.505,252.959
chpo-p2-l1,11,36.392,3.308,5.649,254.864
chpo-p2-l2,8,20.144,2.518,3.127,254.891
chpo-p2-l3,7,20.123,2.875,3.123,254.984
chpo-p3-l1,6,25.993,4.332,4.035,254.827
chpo-p3-l2,10,28.841,2.884,4.477,254.860
chpo-p3-l3,11,21.215,1.929,3.293,254.982
chpo-p4-all,16,50.042,3.128,7.767,254.549
chpo-p4-l1,9,32.555,3.617,5.053,254.869
chpo-p4-l2,10,40.987,4.099,6.362,254.835
chpo-p4-l3,6,20.920,3.487,3.247,254.866
chpo-p5-all,7,14.979,2.140,2.325,254.602
chpo-p5-l1,8,33.321,4.165,5.172,254.125
chpo-p5-l2,8,26.187,3.273,4.065,254.897
chpo-p5-l3,7,31.028,4.433,4.816,254.294
chpo-p6-all,40,154.452,3.861,23.973,254.768
chpo-p6-l1,6,19.280,3.213,2.993,254.887
chpo-p6-l2,9,33.981,3.776,5.274,254.977
chpo-p6-l3,9,42.230,4.692,6.555,254.918
chpo-p7-all,11,47.739,4.340,7.410,254.685
chpo-p7-l1,5,27.799,5.560,4.315,254.910
chpo-p7-l2,8,35.332,4.417,5.484,254.881
chpo-p7-l3,8,22.876,2.860,3.551,254.992
chpo-p8-all,36,116.325,3.231,18.055,254.476
chpo-p8-l1,8,40.940,5.118,6.355,254.493
chpo-p8-l2,11,40.740,3.704,6.323,254.882
chpo-p8-l3,10,46.096,4.610,7.155,254.889
