slice,alias,plant_number,leaf_number,all,count,total_area,scan_date,notes,USDA_symbol,petiole,plot
THCU-p15_ALL,THCU,15,NA,TRUE,10,3.471,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16-l1,THCU,16,1,FALSE,1,1.496,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16-l2,THCU,16,2,FALSE,1,1.344,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16-l3,THCU,16,3,FALSE,1,0.434,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16_ALL,THCU,16,NA,TRUE,11,4.65,2017-03-03,with_petiole,THCU,TRUE,non_plot
THLA-p17-l1,THLA,17,1,FALSE,1,0.956,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p17-l2,THLA,17,2,FALSE,1,1.047,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p17-l3,THLA,17,3,FALSE,1,0.392,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p17_ALL,THLA,17,NA,TRUE,18,7.47,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p18-l1,THLA,18,1,FALSE,1,1.833,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p18-l2,THLA,18,2,FALSE,1,1.639,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p18-l3,THLA,18,3,FALSE,1,0.657,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p18_ALL,THLA,18,NA,TRUE,37,15.57,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p19-l1,THLA,19,1,FALSE,1,3.14,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p19-l2,THLA,19,2,FALSE,1,0.889,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p19-l3,THLA,19,3,FALSE,1,0.347,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p19_ALL,THLA,19,NA,TRUE,74,51.997,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p20-l1,THLA,20,1,FALSE,1,2.42,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p20-l2,THLA,20,2,FALSE,1,1.154,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p20-l3,THLA,20,3,FALSE,1,0.744,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p20_ALL,THLA,20,NA,TRUE,23,23.102,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p21-l1,THLA,21,1,FALSE,1,1.69,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p21-l2,THLA,21,2,FALSE,1,0.94,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p21-l3,THLA,21,3,FALSE,1,1.153,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p21_ALL,THLA,21,NA,TRUE,14,8.912,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p22-l1,THLA,22,1,FALSE,1,3.819,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p22-l2,THLA,22,2,FALSE,1,1.915,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p22-l3,THLA,22,3,FALSE,1,1.469,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p22_ALL,THLA,22,NA,TRUE,76,75.26,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p23-l1,THLA,23,1,FALSE,1,0.862,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p23-l2,THLA,23,2,FALSE,1,0.622,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p23-l3,THLA,23,3,FALSE,1,0.484,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p23_ALL,THLA,23,NA,TRUE,33,15.201,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p24-l1,THLA,24,1,FALSE,1,0.83,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p24-l2,THLA,24,2,FALSE,1,0.787,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p24-l3,THLA,24,3,FALSE,1,0.417,2017-03-03,with_petiole,THLA3,TRUE,non_plot
THLA-p24_ALL,THLA,24,NA,TRUE,12,3.19,2017-03-03,with_petiole,THLA3,TRUE,non_plot
leptosiphon-p1-all,LEPTOSIPHON,1,NA,TRUE,9,1.065,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p1-l1,LEPTOSIPHON,1,1,FALSE,1,0.161,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p1-l2,LEPTOSIPHON,1,2,FALSE,1,0.144,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p1-l3,LEPTOSIPHON,1,3,FALSE,1,0.099,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p2-all,LEPTOSIPHON,2,NA,TRUE,15,2.046,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p2-l1,LEPTOSIPHON,2,1,FALSE,1,0.287,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p2-l2,LEPTOSIPHON,2,2,FALSE,3,0.381,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p2-l3,LEPTOSIPHON,2,3,FALSE,2,0.35,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p3-all,LEPTOSIPHON,3,NA,TRUE,18,1.219,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p3-l1,LEPTOSIPHON,3,1,FALSE,1,0.098,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p3-l2,LEPTOSIPHON,3,2,FALSE,1,0.125,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p3-l3,LEPTOSIPHON,3,3,FALSE,1,0.149,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p4-all,LEPTOSIPHON,4,NA,TRUE,12,0.857,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p4-l1,LEPTOSIPHON,4,1,FALSE,1,0.184,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p4-l2,LEPTOSIPHON,4,2,FALSE,1,0.202,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p4-l3,LEPTOSIPHON,4,3,FALSE,5,0.17,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p5-all,LEPTOSIPHON,5,NA,TRUE,11,0.892,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p5-l1,LEPTOSIPHON,5,1,FALSE,1,0.113,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p5-l2,LEPTOSIPHON,5,2,FALSE,1,0.167,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p5-l3,LEPTOSIPHON,5,3,FALSE,1,0.207,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p6-all,LEPTOSIPHON,6,NA,TRUE,21,1.995,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p6-l1,LEPTOSIPHON,6,1,FALSE,1,0.223,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p6-l2,LEPTOSIPHON,6,2,FALSE,1,0.226,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p6-l3,LEPTOSIPHON,6,3,FALSE,1,0.29,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p7-all,LEPTOSIPHON,7,NA,TRUE,29,3.753,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p7-l1,LEPTOSIPHON,7,1,FALSE,5,0.344,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p7-l2,LEPTOSIPHON,7,2,FALSE,1,0.398,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p7-l3,LEPTOSIPHON,7,3,FALSE,1,0.249,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p8-all,LEPTOSIPHON,8,NA,TRUE,14,1.113,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p8-l1,LEPTOSIPHON,8,1,FALSE,1,0.112,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p8-l2,LEPTOSIPHON,8,2,FALSE,1,0.132,2017-04-04,,LEPA51,FALSE,non_plot
leptosiphon-p8-l3,LEPTOSIPHON,8,3,FALSE,2,0.124,2017-04-04,,LEPA51,FALSE,non_plot
