sequence,date_collected,date_measured,operator,species,individual,leaf,reading,final_diff,percent_disc,notes
62,5/3/2017,5/4/2017,Gaurav and Ian,SACO,1,2,367,,100,
63,5/3/2017,5/4/2017,Gaurav and Ian,SACO,2,2,236,,100,
64,5/3/2017,5/4/2017,Gaurav,PLER,1,1,547,,100,midrib included in punch
65,5/3/2017,5/4/2017,Gaurav,PLER,1,2,516,,100,
66,5/3/2017,5/4/2017,Gaurav,PLER,3,1,577,,100,disc seemed a little wet coming out of liquid N
67,5/3/2017,5/4/2017,Gaurav,PLER,2,1,502,,100,
68,5/3/2017,5/4/2017,Gaurav,PLER,3,2,454,,100,
69,5/3/2017,5/4/2017,Gaurav,PLER,2,2,471,,100,
70,5/3/2017,5/4/2017,Gaurav,PLER,4,1,496,,100,
71,5/3/2017,5/4/2017,Gaurav,PLER,4,2,495,,100,
72,5/3/2017,5/5/2017,Ian,AMME,1,1,314,,100,"Punch avoided midrib, large indiv with roots not in any soil "
73,5/3/2017,5/5/2017,Ian,AMME,2,1,351,,100,Punch included midrib
74,5/3/2017,5/5/2017,Ian,AMME,2,2,323,,100,Punch included midrib
75,5/3/2017,5/5/2017,Ian,AMME,1,2,292,,100,Punch included very small portion of midrib 
76,5/3/2017,5/5/2017,Ian,AMME,3,1,270,,100,
77,5/3/2017,5/5/2017,Ian,AMME,3,2,261,,100,Punch avoided midrib
78,5/3/2017,5/5/2017,Ian,AMME,4,1,215,,100,Punch avoided midrib
79,5/3/2017,5/5/2017,Ian,AMME,4,2,259,,100,Punch avoided midrib
