species,USDA_symbol,plot,plant_number,SRL
LEBO,LEBI4,non_plot,1,3588.404651162791
LEBO,LEBI4,non_plot,1,3148.297674418605
LEBO,LEBI4,non_plot,1,3068.0883720930233
LEBO,LEBI4,non_plot,2,16479.674418604653
LEBO,LEBI4,non_plot,2,15661.58139534884
LEBO,LEBI4,non_plot,3,8679.01204819277
LEBO,LEBI4,non_plot,4,6276.86
LEBO,LEBI4,non_plot,5,12225.452631578948
LEBO,LEBI4,non_plot,6,1455.1546391752577
LEBO,LEBI4,non_plot,7,4438.857142857143
LEBO,LEBI4,non_plot,8,12387.060606060606
CACO,CACO35,non_plot,1,2392.162162162162
CACO,CACO35,non_plot,2,5216.606557377049
CACO,CACO35,non_plot,3,2136.221052631579
CACO,CACO35,non_plot,4,2789.633663366337
CACO,CACO35,non_plot,5,2173.58024691358
CACO,CACO35,non_plot,6,6109.000000000001
CACO,CACO35,non_plot,7,1917.904761904762
CACO,CACO35,non_plot,8,2095.6093750000005
MICA,MICA,757,1,3520.0060240963853
MICA,MICA,757,5,8869.791208791208
MICA,MICA,756,1,13929.60606060606
MICA,MICA,757,3,3533.780392156863
MICA,MICA,753,1,5539.492307692309
MICA,MICA,749,3,10518.057142857144
MICA,MICA,749,3,5193.057142857143
MICA,MICA,757,2,3501.3798449612405
NA,CEME2,Lamba,2,NA
CEME,CEME2,758,4,10547.90909090909
CEME,CEME2,756,6,7280.473684210527
CEME,CEME2,749,2,4949.792079207921
CEME,CEME2,761,1,10144.285714285714
CEME,CEME2,758,1,9294.765957446809
CEME,CEME2,762,2,12053.464285714284
CEME,CEME2,760,4,11927.357142857143
CEME,CEME2,760,2,7121.732558139534
CEME,CEME2,749,5,17187.71111111111
CEME,CEME2,760,3,4828.506849315068
CEME,CEME2,comp,1,7238.535714285715
CEME,CEME2,760,1,6511.897435897436
CEME,CEME2,758,2,9680.028571428571
CEME,CEME2,757,1,7188.1285714285705
CEME,CEME2,760,5,5116.647887323944
CEME,CEME2,761,5,5238.428571428572
NA,CEME2,non_plot,5,NA
CEME,CEME2,749,3,4101.191780821918
CEME,CEME2,759,3,25420.199999999997
CEME,CEME2,757,2,5703.294871794872
CEME,CEME2,758,5,11303.888888888887
CEME,CEME2,757,3,4820.588235294117
NA,CEME2,Comp,2,NA
NA,CEME2,Comp,3,NA
NA,CEME2,Lambda,1,NA
CEME,CEME2,762,4,4664.028571428572
NA,URLI5,non_plot,3,NA
AGHE,URLI5,753,1,7489.171428571428
NA,URLI5,non_plot,2,NA
