sequence,date,species,USDA_symbol,plot,plant_number,leaf_number,petiole,leaf_length_cm,leaf_width_cm,wet_mass_g,dry_mass_g,SLA,LDMC,LA,censor
137,2017-03-23,laca,LACA7,744,2,2,FALSE,3.2,0.3,0.01976,0.00292,220.8904109589041,0.14777327935222673,0.645,FALSE
138,2017-03-23,laca,LACA7,744,2,3,FALSE,2.7,0.3,0.01677,0.00269,NA,0.16040548598688134,NA,FALSE
139,2017-03-23,laca,LACA7,744,3,1,FALSE,4.6,0.4,0.03316,0.00517,NA,0.15591073582629675,NA,FALSE
140,2017-03-23,laca,LACA7,744,3,2,FALSE,4.3,0.3,0.02604,0.00355,NA,0.13632872503840246,NA,FALSE
141,2017-03-23,laca,LACA7,744,3,3,FALSE,3.5,0.3,0.02308,0.00415,250.3614457831325,0.1798093587521664,1.039,FALSE
141,2017-03-23,laca,LACA7,744,3,3,FALSE,3.5,0.3,0.02308,0.00415,169.39759036144576,0.1798093587521664,0.703,FALSE
141,2017-03-23,laca,LACA7,744,3,3,FALSE,3.5,0.3,0.02308,0.00415,192.53012048192772,0.1798093587521664,0.799,FALSE
142,2017-03-23,laca,LACA7,744,4,1,FALSE,2.5,0.3,0.01699,0.00253,NA,0.1489111241907004,NA,FALSE
143,2017-03-23,laca,LACA7,744,4,2,FALSE,2.7,0.3,0.01932,0.00271,NA,0.14026915113871635,NA,FALSE
144,2017-03-23,laca,LACA7,744,4,3,FALSE,1.9,0.3,0.00959,0.00148,NA,0.1543274244004171,NA,FALSE
145,2017-03-23,laca,LACA7,744,5,1,FALSE,3.9,0.3,0.02508,0.00305,NA,0.12161084529505582,NA,FALSE
146,2017-03-23,laca,LACA7,744,5,2,FALSE,3,0.3,0.02047,0.00262,NA,0.12799218368343918,NA,FALSE
147,2017-03-23,laca,LACA7,744,5,3,FALSE,3.3,0.3,0.02248,0.00288,NA,0.12811387900355872,NA,FALSE
148,2017-03-23,laca,LACA7,743,1,1,FALSE,4.5,0.3,0.03072,0.00411,221.16788321167886,0.1337890625,0.909,FALSE
148,2017-03-23,laca,LACA7,743,1,1,FALSE,4.5,0.3,0.03072,0.00411,200.48661800486616,0.1337890625,0.824,FALSE
148,2017-03-23,laca,LACA7,743,1,1,FALSE,4.5,0.3,0.03072,0.00411,207.54257907542578,0.1337890625,0.853,FALSE
149,2017-03-23,laca,LACA7,743,1,2,FALSE,4.7,0.3,0.02955,0.00357,NA,0.12081218274111674,NA,FALSE
150,2017-03-23,laca,LACA7,743,1,3,FALSE,3.1,0.3,0.0267,0.00404,NA,0.15131086142322098,NA,FALSE
151,2017-03-23,laca,LACA7,743,2,1,FALSE,3.7,0.2,0.01763,0.00231,NA,0.13102665910380035,NA,FALSE
152,2017-03-23,laca,LACA7,743,2,2,FALSE,3.5,0.3,0.02035,0.00292,180.47945205479454,0.14348894348894348,0.527,FALSE
152,2017-03-23,laca,LACA7,743,2,2,FALSE,3.5,0.3,0.02035,0.00292,228.76712328767127,0.14348894348894348,0.668,FALSE
152,2017-03-23,laca,LACA7,743,2,2,FALSE,3.5,0.3,0.02035,0.00292,70.54794520547945,0.14348894348894348,0.206,FALSE
153,2017-03-23,laca,LACA7,743,2,3,FALSE,1.5,0.2,0.00529,0.00103,NA,0.1947069943289225,NA,FALSE
154,2017-03-23,laca,LACA7,743,3,1,FALSE,3,0.3,0.01699,0.0026,NA,0.1530311948204826,NA,FALSE
155,2017-03-23,laca,LACA7,743,3,2,FALSE,3.2,0.3,0.01618,0.00213,NA,0.13164400494437578,NA,FALSE
156,2017-03-23,laca,LACA7,743,3,3,FALSE,2.9,0.3,0.01493,0.0024,261.6666666666667,0.16075016744809106,0.628,FALSE
156,2017-03-23,laca,LACA7,743,3,3,FALSE,2.9,0.3,0.01493,0.0024,209.16666666666669,0.16075016744809106,0.502,FALSE
156,2017-03-23,laca,LACA7,743,3,3,FALSE,2.9,0.3,0.01493,0.0024,213.75000000000003,0.16075016744809106,0.513,FALSE
157,2017-03-23,laca,LACA7,743,4,1,FALSE,2.8,0.2,0.01141,0.00141,NA,0.12357581069237511,NA,FALSE
158,2017-03-23,laca,LACA7,743,4,2,FALSE,2.9,0.2,0.01394,0.00208,NA,0.1492109038737446,NA,FALSE
159,2017-03-23,laca,LACA7,743,4,3,FALSE,2.1,0.2,0.00934,0.00168,NA,0.17987152034261245,NA,FALSE
160,2017-03-23,laca,LACA7,743,5,1,FALSE,2.1,0.2,0.00866,0.00136,NA,0.15704387990762128,NA,FALSE
161,2017-03-23,laca,LACA7,743,5,2,FALSE,2.2,0.2,0.00909,0.00125,NA,0.1375137513751375,NA,FALSE
162,2017-03-23,laca,LACA7,743,5,3,FALSE,2.3,0.2,0.00914,0.0014,NA,0.15317286652078774,NA,FALSE
163,2017-03-24,laca,LACA7,751,1,1,FALSE,5,0.3,0.03482,0.00492,NA,0.14129810453762207,NA,FALSE
164,2017-03-24,laca,LACA7,751,1,2,FALSE,4.6,0.3,0.02891,0.00353,NA,0.12210307851954341,NA,FALSE
165,2017-03-24,laca,LACA7,751,1,3,FALSE,3.8,0.3,0.02629,0.00407,NA,0.15481171548117154,NA,FALSE
166,2017-03-24,laca,LACA7,751,2,1,FALSE,4.2,0.2,0.0223,0.00272,NA,0.1219730941704036,NA,FALSE
167,2017-03-24,laca,LACA7,751,2,2,FALSE,2.2,0.3,0.01228,0.0021,NA,0.17100977198697068,NA,FALSE
168,2017-03-24,laca,LACA7,751,2,3,FALSE,2,0.2,0.00928,0.00168,NA,0.1810344827586207,NA,FALSE
169,2017-03-24,laca,LACA7,751,3,1,FALSE,3.2,0.2,0.01565,0.00255,NA,0.16293929712460065,NA,FALSE
170,2017-03-24,laca,LACA7,751,3,2,FALSE,3.4,0.3,0.0184,0.00297,NA,0.16141304347826088,NA,FALSE
171,2017-03-24,laca,LACA7,751,3,3,FALSE,2.7,0.3,0.0142,0.00253,NA,0.17816901408450705,NA,FALSE
172,2017-03-24,laca,LACA7,751,4,1,FALSE,2.7,0.3,0.01125,0.0018,NA,0.16,NA,FALSE
173,2017-03-24,laca,LACA7,751,4,2,FALSE,2.4,0.2,0.00808,0.00139,NA,0.17202970297029702,NA,FALSE
174,2017-03-24,laca,LACA7,751,4,3,FALSE,1.9,0.2,0.00629,0.00116,NA,0.18441971383147854,NA,FALSE
175,2017-03-24,laca,LACA7,751,5,1,FALSE,3.7,0.2,0.02191,0.00303,NA,0.1382930168872661,NA,FALSE
176,2017-03-24,laca,LACA7,751,5,2,FALSE,2.7,0.2,0.0147,0.00235,NA,0.1598639455782313,NA,FALSE
