current_code,SLA,LDMC,LA,SRL
ANAR,316.89095853600423,0.17953883847304014,0.878125,73.80491053810366
CHPA,163.13270281448553,0.16811914102322192,5.26975,67.06172774377322
SIGA,171.942196298191,0.1774227909208559,1.329,76.64977302073244
