sequence,USDA_symbol,plot,plant_number,height,width,length,extra
2841,LOAM5,759,2,29,28,10,29 28 10 NA NA
2844,LOAM5,759,3,23,10,6,23 10 6 NA NA
2847,LOAM5,759,4,20,10,10,20 10 10 NA NA
2850,LOAM5,759,5,33,34,18,33 34 18 NA NA
2853,CLPU2,758,1,38,4,5,38 4 5 NA NA
2856,CLPU2,758,2,35,6,5,35 6 5 NA NA
2859,CLPU2,758,3,21,8,8,21 8 8 NA NA
2862,CLPU2,758,4,21,6,6,21 6 6 NA NA
2865,CLPU2,758,5,15,3,3,15 3 3 NA NA
2868,CLBO,758,1,27,34,26,27 34 26 NA NA
2871,CLBO,758,2,26,2,2,26 2 2 NA NA
2874,CLBO,758,3,20,5,2,20 5 2 NA NA
2877,CLBO,758,4,20,6,5,20 6 5 NA NA
2880,CEME2,759,1,12,4,3,12 4 3 NA NA
2883,CEME2,759,2,7,4,3,7 4 3 NA NA
2886,CEME2,759,3,14.5,3,2,14.5 3 2 NA NA
2889,HECO7,758,1,20,10,6,20 10 6 NA NA
2892,HECO7,758,2,20,8,4,20 8 4 NA NA
2895,HECO7,758,3,20,5,4,20 5 4 NA NA
2898,HECO7,758,4,16,8,6,16 8 6 NA NA
2901,CEME2,758,1,15,4,3,15 4 3 NA NA
2904,CEME2,758,2,19,6,6,19 6 6 NA NA
2907,CEME2,758,3,13,9,6,13 9 6 NA NA
2910,CEME2,758,4,31,4,4,31 4 4 NA NA
2913,CEME2,758,5,26,4,4,26 4 4 NA NA
2916,NAAT,758,1,23,14,12,23 14 12 NA NA
2919,NAAT,758,2,20,17,12,20 17 12 using half of plant NA
2922,NAAT,758,3,25,10,7,25 10 7 NA NA
2925,NAAT,758,4,13,4,4,13 4 4 NA NA
2928,HECO7,749,1,14,10,8,14 10 8 NA NA
2937,HECO7,cage_l,1,32,28,28,32 28 28 using half of plant NA
2940,CEME2,cage_l,1,24,450,36,24 450 36 NA NA
2943,CEME2,cage_l,2,22,5,4,22 5 4 NA NA
2946,CEME2,cage_l,3,22,38,31,22 38 31 using quarter of plant NA
2952,EUSP,758,5,34,6,4,34 6 4 NA NA
2955,CEME2,749,1,33,32,32,33 32 32 using half of plant NA
2958,CEME2,749,2,34,38,30,34 38 30 NA NA
2970,SACO6,comp,6,26,19,13,26 19 13 NA NA
2973,SACO6,comp,5,19,13,7,19 13 7 NA NA
2976,CEME2,757,1,14,7,8,14 7 8 herbivory damage NA
2979,CEME2,757,2,9,7,4,9 7 4 NA NA
2982,CEME2,757,3,20,26,12,20 26 12 competition plant using half of plant
2985,CEME2,757,4,25,14,6,25 14 6 NA NA
2988,CEME2,757,5,15.5,10,2,15.5 10 2 NA NA
2991,HECO7,756,1,9,5.5,2,9 5.5 2 no all agb scan- don��_��__��_��___?��_��__��_��___t do canopy shape on this NA
