sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes.x,X,X.1,X.2,X.3,LDMC,date,Slice,Count,Total.Area,Average.Size,X.Area,Mean,notes.y,all,SLA
240,non_plot,LESP,8,3,0.9,0.8,0.00231,NA,4.1e-4,NA,4-Apr-17,,,,,,0.17748917748917747,2017-04-04,leptosiphon-p8-l3,2,0.124,0.062,0.05,254.462,,FALSE,21.379310344827587
241,non_plot,VUMY,1,1,4.4,0.2,0.00895,NA,0.0023,NA,4-Apr-17,leaves often curled when scanning,,,,,0.2569832402234637,2017-04-04,vulpia_myuros-p1-l1,1,0.575,0.575,0.093,254.992,,FALSE,60.52631578947368
242,non_plot,VUMY,1,2,7.1,0.3,0.01687,NA,0.0047,NA,4-Apr-17,leaves often curled when scanning,,,,,0.27860106698280973,2017-04-04,vulpia_myuros-p1-l2,2,1.313,0.657,0.213,254.967,,FALSE,117.23214285714285
243,non_plot,VUMY,1,3,5,0.2,0.01107,NA,0.0033,NA,4-Apr-17,leaves often curled when scanning,,,,,0.2981029810298103,2017-04-04,vulpia_myuros-p1-l3,1,0.853,0.853,0.138,255,,FALSE,105.30864197530865
244,non_plot,VUMY,2,1,4.3,0.2,0.0124,NA,0.0034,NA,4-Apr-17,leaves often curled when scanning,,,,,0.27419354838709675,2017-04-04,vulpia_myuros-p2-l1,2,0.787,0.393,0.128,254.9,,FALSE,90.45977011494254
245,non_plot,VUMY,2,2,3.7,0.2,0.00636,NA,0.0021,NA,4-Apr-17,leaves often curled when scanning,,,,,0.330188679245283,2017-04-04,vulpia_myuros-p2-l2,1,0.479,0.479,0.078,254.914,,FALSE,50.421052631578945
246,non_plot,VUMY,2,3,2.9,0.2,0.00346,NA,NA,NA,4-Apr-17,leaves often curled when scanning,,,,,NA,2017-04-04,vulpia_myuros-p2-l3,1,0.283,0.283,0.046,254.968,,FALSE,65.81395348837209
247,non_plot,VUMY,3,1,5,0.1,0.00654,NA,0.0019,NA,4-Apr-17,leaves often curled when scanning,,,,,0.290519877675841,2017-04-04,vulpia_myuros-p3-l1,2,0.531,0.266,0.086,254.907,,FALSE,51.057692307692314
248,non_plot,VUMY,3,2,3.1,0.1,0.0037200000000000002,NA,0.0015,NA,4-Apr-17,leaves often curled when scanning,,,,,0.4032258064516129,2017-04-04,vulpia_myuros-p3-l2,1,0.325,0.325,0.053,255,,FALSE,32.82828282828282
249,non_plot,VUMY,3,3,2.9,0.1,0.00326,NA,1e-4,NA,4-Apr-17,leaves often curled when scanning,,,,,0.030674846625766874,2017-04-04,vulpia_myuros-p3-l3,2,0.305,0.152,0.049,255,,FALSE,26.52173913043478
370,non_plot,LOST,1,1,1.5,1.3,0.03201,NA,0.00601,NA,5-Apr-17,Lost == lotus strigosus,,,,,0.18775382692908468,2017-04-05,lost-p1-l1,1,0.79,0.79,0.131,254.936,,FALSE,44.38202247191011
371,non_plot,LOST,1,2,1.4,1,0.03528,NA,0.00679,NA,5-Apr-17,,,,,,0.19246031746031747,2017-04-05,lost-p1-l2,1,0.886,0.886,0.147,251.41,,FALSE,87.72277227722773
372,non_plot,LOST,1,3,1.3,0.9,0.02731,NA,0.00511,NA,5-Apr-17,,,,,,0.18711094837056022,2017-04-05,lost-p1-l3,1,0.646,0.646,0.107,253.925,,FALSE,57.67857142857143
373,non_plot,LOST,2,1,1.9,0.7,0.02454,NA,0.00435,NA,5-Apr-17,,,,,,0.17726161369193152,2017-04-05,lost-p2-l1,3,0.669,0.223,0.111,253.197,,FALSE,61.37614678899083
374,non_plot,LOST,2,2,1.4,1.1,0.02578,NA,0.00556,NA,5-Apr-17,,,,,,0.21567106283941037,2017-04-05,lost-p2-l2,3,0.75,0.25,0.124,254.826,,FALSE,70.09345794392523
375,non_plot,LOST,2,3,1.2,0.9,0.02324,NA,0.00454,NA,5-Apr-17,,,,,,0.19535283993115318,2017-04-05,lost-p2-l3,4,0.591,0.148,0.098,254.153,,FALSE,22.47148288973384
376,non_plot,LOST,3,1,1.3,0.9,0.03012,NA,0.00465,NA,5-Apr-17,,,,,,0.1543824701195219,2017-04-05,lost-p3-l1,1,0.7,0.7,0.116,249.611,,FALSE,66.0377358490566
377,non_plot,LOST,3,2,1.8,1.1,0.05054,NA,0.00968,NA,5-Apr-17,,,,,,0.19153146022952117,2017-04-05,lost-p3-l2,1,1.222,1.222,0.203,254.035,,FALSE,86.05633802816901
378,non_plot,LOST,3,3,1.3,0.8,0.03407,NA,0.006,NA,5-Apr-17,,,,,,0.1761080129145876,2017-04-05,lost-p3-l3,2,0.663,0.331,0.11,254.863,,FALSE,25.30534351145038
379,non_plot,LOST,4,1,1.9,1.4,0.05293,NA,0.0087,NA,5-Apr-17,,,,,,0.16436803325146418,2017-04-05,lost-p4-l1,3,1.203,0.401,0.2,253.667,,FALSE,98.60655737704919
380,non_plot,LOST,4,2,2.1,1.2,0.04782,NA,0.0075,NA,5-Apr-17,,,,,,0.15683814303638643,2017-04-05,lost-p4-l2,3,1.104,0.368,0.183,252.92,,FALSE,52.82296650717704
381,non_plot,LOST,4,3,1.5,1,0.02504,NA,0.0047,NA,5-Apr-17,,,,,,0.1876996805111821,2017-04-05,lost-p4-l3,6,0.569,0.095,0.094,254.785,,FALSE,59.270833333333336
382,non_plot,LOST,5,1,1.4,1.1,0.03002,NA,0.0055,NA,5-Apr-17,,,,,,0.18321119253830778,2017-04-05,lost-p5-l1,1,0.768,0.768,0.127,245.534,,FALSE,105.20547945205479
383,non_plot,LOST,5,2,1.2,1,0.023,NA,0.0048,NA,5-Apr-17,,,,,,0.20869565217391303,2017-04-05,lost-p5-l2,1,0.616,0.616,0.102,241.478,,FALSE,32.76595744680851
384,non_plot,LOST,5,3,1,0.8,0.01927,NA,0.0043,NA,5-Apr-17,,,,,,0.22314478463933576,2017-04-05,lost-p5-l3,1,0.486,0.486,0.081,253.843,,FALSE,63.116883116883116
385,non_plot,LOST,6,1,1.2,0.7,0.01749,NA,0.0038,NA,5-Apr-17,,,,,,0.21726700971983992,2017-04-05,lost-p6-l1,1,0.429,0.429,0.071,251.379,,FALSE,22.227979274611396
386,non_plot,LOST,6,2,1.4,1,0.02389,NA,0.0038,NA,5-Apr-17,,,,,,0.1590623691921306,2017-04-05,lost-p6-l2,1,0.636,0.636,0.106,253.025,,FALSE,141.33333333333334
387,non_plot,LOST,6,3,1.1,1.2,0.01526,NA,0.0029,NA,5-Apr-17,,,,,,0.19003931847968544,2017-04-05,lost-p6-l3,3,0.473,0.158,0.079,252.065,,FALSE,8.342151675485008
388,non_plot,LOST,7,1,1.1,0.8,0.01827,NA,0.0033,NA,5-Apr-17,,,,,,0.18062397372742198,2017-04-05,lost-p7-l1,1,0.378,0.378,0.063,254.286,,FALSE,8.957345971563981
389,non_plot,LOST,7,2,1.1,0.7,0.01404,NA,0.0029,NA,5-Apr-17,,,,,,0.20655270655270652,2017-04-05,lost-p7-l2,5,0.395,0.079,0.065,254.475,,FALSE,7.091561938958708
390,non_plot,LOST,7,3,1,0.5,0.01215,NA,0.0025,NA,5-Apr-17,,,,,,0.205761316872428,2017-04-05,lost-p7-l3,2,0.321,0.161,0.053,249.935,,FALSE,2.8381962864721486
391,non_plot,LOST,8,1,1.3,1.2,0.02268,NA,0.0046,NA,5-Apr-17,,,,,,0.20282186948853617,2017-04-05,lost-p8-l1,1,0.65,0.65,0.108,254.241,,FALSE,8.376288659793815
392,non_plot,LOST,8,2,1.4,1,0.02075,NA,0.0045,NA,5-Apr-17,,,,,,0.21686746987951805,2017-04-05,lost-p8-l2,1,0.6,0.6,0.1,249.073,,FALSE,10.398613518197573
393,non_plot,LOST,8,3,1.4,0.6,0.0189,NA,0.0032,NA,5-Apr-17,,,,,,0.16931216931216933,2017-04-05,lost-p8-l3,5,0.445,0.089,0.074,254.312,,FALSE,3.5289452815226015
394,non_plot,LUBI,1,1,4.2,3.6,0.06657,NA,0.0113,NA,6-Apr-17,Lubi == lupinus bicolor,,,,,0.16974613189124227,2017-04-06,lubi-p1-l1,1,2.07,2.07,0.401,254.653,with_petiole,FALSE,13.846153846153845
395,non_plot,LUBI,1,2,3.8,2.5,0.03309,NA,0.0052,NA,6-Apr-17,,,,,,0.15714717437292233,2017-04-06,lubi-p1-l2,1,1.178,1.178,0.228,253.824,with_petiole,FALSE,26.95652173913043
396,non_plot,LUBI,1,3,3,2,0.03223,NA,0.0059,NA,6-Apr-17,,,,,,0.18305926155755506,2017-04-06,lubi-p1-l3,1,1.149,1.149,0.223,254.427,with_petiole,FALSE,14.507575757575756
397,non_plot,LUBI,2,1,4.7,2.1,0.04736,NA,0.0077,NA,6-Apr-17,,,,,,0.16258445945945946,2017-04-06,lubi-p2-l1,2,1.724,0.862,0.334,252.345,with_petiole,FALSE,26.240487062404874
398,non_plot,LUBI,2,2,3.3,2,0.02996,NA,0.0052,NA,6-Apr-17,,,,,,0.17356475300400534,2017-04-06,lubi-p2-l2,1,1.141,1.141,0.221,254.055,with_petiole,FALSE,19.437819420783644
399,non_plot,LUBI,2,3,4.9,2.6,0.05234,NA,0.0088,NA,6-Apr-17,,,,,,0.16813144822315632,2017-04-06,lubi-p2-l3,1,1.891,1.891,0.367,254.582,with_petiole,FALSE,22.949029126213592
400,non_plot,LUBI,3,1,2.6,2.1,0.03497,NA,0.0068,NA,6-Apr-17,,,,,,0.19445238776093793,2017-04-06,lubi-p3-l1,1,1.233,1.233,0.239,253.955,with_petiole,FALSE,14.96359223300971
401,non_plot,LUBI,3,2,2.5,1.4,0.01678,NA,0.0031,NA,6-Apr-17,,,,,,0.18474374255065554,2017-04-06,lubi-p3-l2,1,0.662,0.662,0.128,252.437,with_petiole,FALSE,9.836552748885588
402,non_plot,LUBI,3,3,2.8,1.8,0.02762,NA,0.0054,NA,6-Apr-17,,,,,,0.19551049963794354,2017-04-06,lubi-p3-l3,1,0.98,0.98,0.19,253.975,with_petiole,FALSE,14.561664190193165
403,non_plot,LUBI,4,1,5.2,2.2,0.04596,NA,0.0088,NA,6-Apr-17,,,,,,0.19147084421235858,2017-04-06,lubi-p4-l1,1,1.784,1.784,0.346,254.647,with_petiole,FALSE,44.93702770780857
404,non_plot,LUBI,4,2,5.4,3.1,0.05999,NA,0.0114,NA,6-Apr-17,,,,,,0.19003167194532422,2017-04-06,lubi-p4-l2,1,2.553,2.553,0.495,254.864,with_petiole,FALSE,15.730129390018483
405,non_plot,LUBI,4,3,4.3,2.2,0.03663,NA,0.0073,NA,6-Apr-17,,,,,,0.19929019929019928,2017-04-06,lubi-p4-l3,1,1.304,1.304,0.253,254.467,with_petiole,FALSE,10.9487825356843
406,non_plot,LUBI,5,1,3.7,2.8,0.03504,NA,0.0065,NA,6-Apr-17,,,,,,0.18550228310502281,2017-04-06,lubi-p5-l1,1,1.367,1.367,0.265,254.635,with_petiole,FALSE,15.712643678160921
407,non_plot,LUBI,5,2,2.8,2.3,0.02199,NA,0.0044,NA,6-Apr-17,,,,,,0.20009095043201458,2017-04-06,lubi-p5-l2,1,0.816,0.816,0.158,253.443,with_petiole,FALSE,12.81004709576138
408,non_plot,LUBI,5,3,2.6,1.8,0.0197,NA,0.0044,NA,6-Apr-17,,,,,,0.22335025380710663,2017-04-06,lubi-p5-l3,1,0.67,0.67,0.13,253.301,with_petiole,FALSE,19.705882352941178
409,non_plot,LUBI,6,1,4.9,2.7,0.06301,NA,0.0093,NA,6-Apr-17,,,,,,0.14759561974289795,2017-04-06,lubi-p6-l1,2,2.27,1.135,0.44,252.629,with_petiole,FALSE,25.62076749435666
410,non_plot,LUBI,6,2,3.8,3,0.05439,NA,0.0101,NA,6-Apr-17,,,,,,0.18569589998161426,2017-04-06,lubi-p6-l2,1,2.189,2.189,0.424,254.595,with_petiole,FALSE,18.90328151986183
411,non_plot,LUBI,6,3,5.5,3.5,0.08254,NA,0.0142,NA,6-Apr-17,,,,,,0.17203779985461595,2017-04-06,lubi-p6-l3,1,2.937,2.937,0.569,254.785,with_petiole,FALSE,35.99264705882352
412,non_plot,LUBI,7,1,4.8,2.8,0.05523,NA,0.0081,NA,6-Apr-17,,,,,,0.14665942422596415,2017-04-06,lubi-p7-l1,2,2.132,1.066,0.413,252.716,with_petiole,FALSE,20.8203125
413,non_plot,LUBI,7,2,3.7,2.4,0.03589,NA,0.0064,NA,6-Apr-17,,,,,,0.1783226525494567,2017-04-06,lubi-p7-l2,1,1.307,1.307,0.253,254.241,with_petiole,FALSE,68.78947368421052
414,non_plot,LUBI,7,3,3.3,2.2,0.02932,NA,0.0051,NA,6-Apr-17,,,,,,0.17394270122783084,2017-04-06,lubi-p7-l3,2,1.007,0.504,0.195,252.81,with_petiole,FALSE,26.56992084432717
415,non_plot,LUBI,8,1,4.5,2.4,0.03777,NA,0.007,NA,6-Apr-17,,,,,,0.18533227429176596,2017-04-06,lubi-p8-l1,1,1.491,1.491,0.289,254.243,with_petiole,FALSE,19.338521400778212
416,non_plot,LUBI,8,2,3.5,2.1,0.03553,NA,0.0073,NA,6-Apr-17,,,,,,0.2054601745004222,2017-04-06,lubi-p8-l2,1,1.258,1.258,0.244,253.02,with_petiole,FALSE,23.382899628252787
417,non_plot,LUBI,8,3,2.5,1.3,0.01428,NA,0.0031,NA,6-Apr-17,,,,,,0.21708683473389356,2017-04-06,lubi-p8-l3,4,0.467,0.117,0.091,252.225,with_petiole,FALSE,17.106227106227106
418,non_plot,VIPE,1,1,8,2.5,0.1451,NA,0.0255,NA,6-Apr-17,vipe == Viola pedunculata ,,,,,0.17574086836664368,2017-04-06,vipe-p1-l1,1,5.995,5.995,0.995,254.915,with_petiole,FALSE,86.88405797101449
418,non_plot,VIPE,1,1,8,2.5,0.1451,NA,0.0255,NA,6-Apr-17,vipe == Viola pedunculata ,,,,,0.17574086836664368,2017-04-06,vipe-p1-l1,1,5.01,5.01,0.831,254.998,no_petiole,FALSE,117.88235294117646
419,non_plot,VIPE,1,2,9.1,2.8,0.17072,NA,0.0284,NA,6-Apr-17,,,,,,0.16635426429240863,2017-04-06,vipe-p1-l2,1,6.83,6.83,1.133,254.957,with_petiole,FALSE,143.48739495798318
419,non_plot,VIPE,1,2,9.1,2.8,0.17072,NA,0.0284,NA,6-Apr-17,,,,,,0.16635426429240863,2017-04-06,vipe-p1-l2,1,5.796,5.796,0.962,254.996,no_petiole,FALSE,138.9928057553957
420,non_plot,VIPE,1,3,5.6,2.1,0.08242,NA,0.0148,NA,6-Apr-17,,,,,,0.17956806600339725,2017-04-06,vipe-p1-l3,1,3.83,3.83,0.635,254.803,with_petiole,FALSE,96.23115577889448
420,non_plot,VIPE,1,3,5.6,2.1,0.08242,NA,0.0148,NA,6-Apr-17,,,,,,0.17956806600339725,2017-04-06,vipe-p1-l3,1,3.253,3.253,0.54,254.996,no_petiole,FALSE,114.14035087719299
421,non_plot,VIPE,2,1,8.5,3.6,0.22392,NA,0.0403,NA,6-Apr-17,,,,,,0.17997499106823867,2017-04-06,vipe-p2-l1,1,8.724,8.724,1.448,254.984,with_petiole,FALSE,290.8
421,non_plot,VIPE,2,1,8.5,3.6,0.22392,NA,0.0403,NA,6-Apr-17,,,,,,0.17997499106823867,2017-04-06,vipe-p2-l1,1,7.526,7.526,1.249,254.999,no_petiole,FALSE,128.2112436115843
422,non_plot,VIPE,2,2,8.3,2.7,0.1707,NA,0.0307,NA,6-Apr-17,,,,,,0.17984768599882836,2017-04-06,vipe-p2-l2,1,6.442,6.442,1.069,254.984,with_petiole,FALSE,99.56723338485318
422,non_plot,VIPE,2,2,8.3,2.7,0.1707,NA,0.0307,NA,6-Apr-17,,,,,,0.17984768599882836,2017-04-06,vipe-p2-l2,1,5.517,5.517,0.915,254.998,no_petiole,FALSE,132.62019230769232
423,non_plot,VIPE,2,3,7.4,2.7,0.17175,NA,0.0324,NA,6-Apr-17,,,,,,0.18864628820960697,2017-04-06,vipe-p2-l3,2,6.583,3.292,1.092,254.922,with_petiole,FALSE,232.6148409893993
423,non_plot,VIPE,2,3,7.4,2.7,0.17175,NA,0.0324,NA,6-Apr-17,,,,,,0.18864628820960697,2017-04-06,vipe-p2-l3,1,5.874,5.874,0.975,254.991,no_petiole,FALSE,105.64748201438849
424,non_plot,VIPE,3,1,7.2,2,0.05848,NA,0.0099,NA,6-Apr-17,,,,,,0.1692886456908345,2017-04-06,vipe-p3-l1,3,2.671,0.89,0.443,254.947,with_petiole,FALSE,46.05172413793103
424,non_plot,VIPE,3,1,7.2,2,0.05848,NA,0.0099,NA,6-Apr-17,,,,,,0.1692886456908345,2017-04-06,vipe-p3-l1,3,2.228,0.743,0.37,254.957,no_petiole,FALSE,25.967365967365968
425,non_plot,VIPE,3,2,9,3.5,0.21975,NA,0.0409,NA,6-Apr-17,,,,,,0.18612059158134242,2017-04-06,vipe-p3-l2,3,8.864,2.955,1.471,254.958,with_petiole,FALSE,172.4513618677043
425,non_plot,VIPE,3,2,9,3.5,0.21975,NA,0.0409,NA,6-Apr-17,,,,,,0.18612059158134242,2017-04-06,vipe-p3-l2,3,7.96,2.653,1.321,254.959,no_petiole,FALSE,121.5267175572519
426,non_plot,VIPE,3,3,7.5,3.2,0.16947,NA,0.0313,NA,6-Apr-17,,,,,,0.18469345606892076,2017-04-06,vipe-p3-l3,2,7.065,3.533,1.172,254.655,with_petiole,FALSE,113.58520900321544
426,non_plot,VIPE,3,3,7.5,3.2,0.16947,NA,0.0313,NA,6-Apr-17,,,,,,0.18469345606892076,2017-04-06,vipe-p3-l3,1,6.24,6.24,1.035,254.997,no_petiole,FALSE,72.55813953488374
427,non_plot,VIPE,4,1,6.6,2,0.06565,NA,0.0103,NA,6-Apr-17,leaf area two separate scans ,,,,,0.1568926123381569,2017-04-06,vipe-p4-l1,2,3.143,1.571,0.521,254.38,with_petiole,FALSE,30.693359374999996
427,non_plot,VIPE,4,1,6.6,2,0.06565,NA,0.0103,NA,6-Apr-17,leaf area two separate scans ,,,,,0.1568926123381569,2017-04-06,vipe-p4-l1,1,2.715,2.715,0.451,254.997,no_petiole,FALSE,142.89473684210526
428,non_plot,VIPE,4,2,7.5,2.7,0.1181,NA,0.0207,NA,6-Apr-17,,,,,,0.17527519051651144,2017-04-06,vipe-p4-l2,2,5.613,2.807,0.931,254.555,with_petiole,FALSE,148.10026385224273
428,non_plot,VIPE,4,2,7.5,2.7,0.1181,NA,0.0207,NA,6-Apr-17,,,,,,0.17527519051651144,2017-04-06,vipe-p4-l2,1,5.003,5.003,0.83,254.986,no_petiole,FALSE,22.61754068716094
429,non_plot,VIPE,4,3,7.1,2.6,0.1146,NA,0.022,NA,6-Apr-17,,,,,,0.19197207678883071,2017-04-06,vipe-p4-l3,4,5.526,1.382,0.917,254.137,with_petiole,FALSE,27.410714285714285
429,non_plot,VIPE,4,3,7.1,2.6,0.1146,NA,0.022,NA,6-Apr-17,,,,,,0.19197207678883071,2017-04-06,vipe-p4-l3,3,4.905,1.635,0.814,254.992,no_petiole,FALSE,23.961895456766
430,non_plot,VIPE,5,1,5.5,2.1,0.05884,NA,0.0101,NA,6-Apr-17,,,,,,0.17165193745751187,2017-04-06,vipe-p5-l1,1,2.936,2.936,0.487,254.9,with_petiole,FALSE,11.218952999617883
430,non_plot,VIPE,5,1,5.5,2.1,0.05884,NA,0.0101,NA,6-Apr-17,,,,,,0.17165193745751187,2017-04-06,vipe-p5-l1,1,2.57,2.57,0.426,254.998,no_petiole,FALSE,15.453998797354178
431,non_plot,VIPE,5,2,7.3,2.6,0.07706,NA,0.0135,NA,6-Apr-17,,,,,,0.17518816506618218,2017-04-06,vipe-p5-l2,1,3.732,3.732,0.619,254.548,with_petiole,FALSE,23.165735567970206
431,non_plot,VIPE,5,2,7.3,2.6,0.07706,NA,0.0135,NA,6-Apr-17,,,,,,0.17518816506618218,2017-04-06,vipe-p5-l2,1,3.142,3.142,0.521,254.999,no_petiole,FALSE,20.69828722002635
432,non_plot,VIPE,5,3,7.5,2.3,0.08301,NA,0.016,NA,6-Apr-17,,,,,,0.19274786170340924,2017-04-06,vipe-p5-l3,1,4.003,4.003,0.664,254.887,with_petiole,FALSE,21.337953091684437
432,non_plot,VIPE,5,3,7.5,2.3,0.08301,NA,0.016,NA,6-Apr-17,,,,,,0.19274786170340924,2017-04-06,vipe-p5-l3,1,3.442,3.442,0.571,254.999,no_petiole,FALSE,26.890625
433,non_plot,VIPE,6,1,6.8,2.5,0.10988,NA,0.0198,NA,6-Apr-17,,,,,,0.18019657808518386,2017-04-06,vipe-p6-l1,3,4.958,1.653,0.823,254.711,with_petiole,FALSE,28.559907834101384
433,non_plot,VIPE,6,1,6.8,2.5,0.10988,NA,0.0198,NA,6-Apr-17,,,,,,0.18019657808518386,2017-04-06,vipe-p6-l1,3,4.309,1.436,0.715,254.948,no_petiole,FALSE,27.944228274967575
434,non_plot,VIPE,6,2,4.8,2.9,0.0527,NA,0.0111,NA,6-Apr-17,,,,,,0.2106261859582543,2017-04-06,vipe-p6-l2,3,2.745,0.915,0.455,254.573,with_petiole,FALSE,22.98994974874372
434,non_plot,VIPE,6,2,4.8,2.9,0.0527,NA,0.0111,NA,6-Apr-17,,,,,,0.2106261859582543,2017-04-06,vipe-p6-l2,3,2.425,0.808,0.402,254.61,no_petiole,FALSE,13.115197404002162
435,non_plot,VIPE,6,3,6.5,2.5,0.09786,NA,0.019,NA,6-Apr-17,,,,,,0.1941549151849581,2017-04-06,vipe-p6-l3,2,4.651,2.325,0.772,253.77,with_petiole,FALSE,29.03245942571785
435,non_plot,VIPE,6,3,6.5,2.5,0.09786,NA,0.019,NA,6-Apr-17,,,,,,0.1941549151849581,2017-04-06,vipe-p6-l3,2,3.96,1.98,0.657,254.961,no_petiole,FALSE,20.754716981132077
436,non_plot,VIPE,7,1,6,1.5,0.07451,NA,0.0091,NA,6-Apr-17,,,,,,0.12213125754932223,2017-04-06,vipe-p7-l1,1,2.421,2.421,0.402,254.889,with_petiole,FALSE,22.52093023255814
436,non_plot,VIPE,7,1,6,1.5,0.07451,NA,0.0091,NA,6-Apr-17,,,,,,0.12213125754932223,2017-04-06,vipe-p7-l1,1,1.855,1.855,0.308,254.99,no_petiole,FALSE,8.89261744966443
437,non_plot,VIPE,7,2,6,1.7,0.05322,NA,0.0072,NA,6-Apr-17,,,,,,0.13528748590755355,2017-04-06,vipe-p7-l2,1,2.201,2.201,0.365,254.934,with_petiole,FALSE,8.723741577487118
437,non_plot,VIPE,7,2,6,1.7,0.05322,NA,0.0072,NA,6-Apr-17,,,,,,0.13528748590755355,2017-04-06,vipe-p7-l2,1,1.749,1.749,0.29,254.987,no_petiole,FALSE,9.500271591526344
438,non_plot,VIPE,7,3,7.2,1.9,0.09092,NA,0.0119,NA,6-Apr-17,,,,,,0.13088429388473383,2017-04-06,vipe-p7-l3,1,2.809,2.809,0.466,254.974,with_petiole,FALSE,11.386299148763682
438,non_plot,VIPE,7,3,7.2,1.9,0.09092,NA,0.0119,NA,6-Apr-17,,,,,,0.13088429388473383,2017-04-06,vipe-p7-l3,1,2.065,2.065,0.343,254.991,no_petiole,FALSE,13.178047223994893
439,non_plot,VIPE,8,1,8,2.7,0.11956,NA,0.0202,NA,6-Apr-17,,,,,,0.16895282703245232,2017-04-06,vipe-p8-l1,1,5.51,5.51,0.914,254.991,with_petiole,FALSE,19.3062368605466
439,non_plot,VIPE,8,1,8,2.7,0.11956,NA,0.0202,NA,6-Apr-17,,,,,,0.16895282703245232,2017-04-06,vipe-p8-l1,1,4.825,4.825,0.801,254.999,no_petiole,FALSE,16.977480647431385
440,non_plot,VIPE,8,2,9.5,3.4,0.1847,NA,0.0343,NA,6-Apr-17,,,,,,0.1857065511640498,2017-04-06,vipe-p8-l2,3,8.08,2.693,1.341,254.924,with_petiole,FALSE,24.28614367297866
440,non_plot,VIPE,8,2,9.5,3.4,0.1847,NA,0.0343,NA,6-Apr-17,,,,,,0.1857065511640498,2017-04-06,vipe-p8-l2,2,6.993,3.497,1.16,254.916,no_petiole,FALSE,525.7894736842106
441,non_plot,VIPE,8,3,7.8,2.8,0.14054,NA,0.0267,NA,6-Apr-17,,,,,,0.1899814999288459,2017-04-06,vipe-p8-l3,2,6.563,3.282,1.089,253.861,with_petiole,FALSE,446.4625850340136
441,non_plot,VIPE,8,3,7.8,2.8,0.14054,NA,0.0267,NA,6-Apr-17,,,,,,0.1899814999288459,2017-04-06,vipe-p8-l3,2,5.728,2.864,0.95,254.95,no_petiole,FALSE,384.4295302013423
442,non_plot,ERMO,1,1,6.9,3.5,0.2045,NA,0.0308,NA,6-Apr-17,Ermo == Erodium moschatum,,,,,0.1506112469437653,2017-04-06,ermo-p1-l1,1,9.427,9.427,1.564,251.616,with_petiole,FALSE,496.1578947368421
443,non_plot,ERMO,1,2,4.2,2.6,0.08459,NA,0.0121,NA,6-Apr-17,,,,,,0.14304291287386214,2017-04-06,ermo-p1-l2,1,4.393,4.393,0.729,254.827,with_petiole,FALSE,261.48809523809524
444,non_plot,ERMO,1,3,8.1,2.5,0.14891,NA,0.0197,NA,6-Apr-17,,,,,,0.13229467463568598,2017-04-06,ermo-p1-l3,1,5.59,5.59,0.928,253.21,with_petiole,FALSE,430
445,non_plot,ERMO,2,1,10.5,3,0.36571,NA,0.0422,NA,6-Apr-17,,,,,,0.11539197724973341,2017-04-06,ermo-p2-l1,2,12.428,6.214,2.062,253.455,with_petiole,FALSE,1350.8695652173915
446,non_plot,ERMO,2,2,7.5,2,0.1697,NA,0.0208,NA,6-Apr-17,,,,,,0.12256923983500295,2017-04-06,ermo-p2-l2,1,6.17,6.17,1.024,253.287,with_petiole,FALSE,587.6190476190476
447,non_plot,ERMO,2,3,9.9,2.6,0.21966,NA,0.0277,NA,6-Apr-17,,,,,,0.12610397887644542,2017-04-06,ermo-p2-l3,1,6.253,6.253,1.037,254.792,with_petiole,FALSE,665.2127659574468
448,non_plot,ERMO,3,1,8.5,2.5,0.11491,NA,0.0147,NA,6-Apr-17,,,,,,0.12792620311548167,2017-04-06,ermo-p3-l1,5,5.483,1.097,0.91,254.889,with_petiole,FALSE,602.5274725274725
449,non_plot,ERMO,3,2,8.6,2.6,0.1519,NA,0.022,NA,6-Apr-17,,,,,,0.14483212639894666,2017-04-06,ermo-p3-l2,3,6.899,2.3,1.145,254.021,with_petiole,FALSE,733.9361702127659
450,non_plot,ERMO,3,3,8.1,1.6,0.08111,NA,0.011,NA,6-Apr-17,,,,,,0.135618296141043,2017-04-06,ermo-p3-l3,6,3.778,0.63,0.627,254.602,with_petiole,FALSE,478.2278481012658
451,non_plot,ERMO,4,1,9,3.6,0.19758,NA,0.0243,NA,6-Apr-17,,,,,,0.12298815669602185,2017-04-06,ermo-p4-l1,3,8.193,2.731,1.359,254.73,with_petiole,FALSE,694.3220338983051
452,non_plot,ERMO,4,2,10,3.4,0.2645,NA,0.0333,NA,6-Apr-17,,,,,,0.12589792060491495,2017-04-06,ermo-p4-l2,1,10.486,10.486,1.74,252.696,with_petiole,FALSE,1048.6000000000001
453,non_plot,ERMO,4,3,7.3,3,0.18893,NA,0.0249,NA,6-Apr-17,,,,,,0.13179484465145822,2017-04-06,ermo-p4-l3,4,9.968,2.492,1.654,254.77,with_petiole,FALSE,844.7457627118645
454,non_plot,ERMO,5,1,6.5,2.2,0.12055,NA,0.0194,NA,6-Apr-17,,,,,,0.160929075072584,2017-04-06,ermo-p5-l1,6,6.431,1.072,1.067,254.704,with_petiole,FALSE,649.5959595959596
455,non_plot,ERMO,5,2,7.1,1.1,0.07007,NA,0.0107,NA,6-Apr-17,,,,,,0.15270443841872414,2017-04-06,ermo-p5-l2,6,3.092,0.515,0.513,254.52,with_petiole,FALSE,234.24242424242425
