Slice,Count,Total Area,Average Size,%Area,Mean
comp-chpa-p1-all-big,76,63.414,0.834,9.843,254.687
comp-chpa-p1-all-small,120,15.070,0.126,2.339,254.830
comp-chpa-p1-l1,5,35.927,7.185,5.576,254.964
comp-chpa-p1-l2,5,17.851,3.570,2.771,254.519
comp-chpa-p1-l3,2,5.318,2.659,0.825,254.706
comp-chpa-p2-all-big,63,38.642,0.613,5.998,254.749
comp-chpa-p2-all-small,100,10.477,0.105,1.626,254.798
comp-chpa-p2-l1,2,7.513,3.757,1.166,254.848
comp-chpa-p2-l2,4,11.577,2.894,1.797,254.157
comp-chpa-p2-l3,2,7.049,3.525,1.094,254.925
comp-chpa-p3-all,39,12.454,0.319,1.933,254.178
comp-chpa-p3-l1,2,2.580,1.290,0.400,254.856
comp-chpa-p3-l2,3,3.542,1.181,0.550,254.987
comp-chpa-p3-l3,2,1.614,0.807,0.250,254.633
comp-chpa-p4-all,49,20.135,0.411,3.125,253.436
comp-chpa-p4-l1,1,1.259,1.259,0.195,252.836
comp-chpa-p4-l2,1,1.947,1.947,0.302,254.695
comp-chpa-p4-l3,1,1.734,1.734,0.269,254.871
comp-chpa-p5-all,60,25.875,0.431,4.016,254.231
comp-chpa-p5-l1,2,1.952,0.976,0.303,254.957
comp-chpa-p5-l2,3,2.008,0.669,0.312,253.860
comp-chpa-p5-l3,4,1.858,0.464,0.288,254.544
comp-chpa-p6-all,129,45.468,0.352,7.057,254.787
comp-chpa-p6-l1,1,2.679,2.679,0.416,254.908
comp-chpa-p6-l2,1,2.405,2.405,0.373,254.983
comp-chpa-p6-l3,3,3.325,1.108,0.516,254.882
comp-chpa-p7-all,43,9.226,0.215,1.432,254.342
comp-chpa-p7-l1,1,1.841,1.841,0.286,254.680
comp-chpa-p7-l2,1,1.304,1.304,0.202,254.923
comp-chpa-p7-l3,1,0.786,0.786,0.122,254.983
comp-chpa-p8-all,140,51.298,0.366,7.962,254.691
comp-chpa-p8-l1,1,3.480,3.480,0.540,254.672
comp-chpa-p8-l2,2,4.782,2.391,0.742,254.606
comp-chpa-p8-l3,1,1.368,1.368,0.212,254.512
