Name,Count,Total Area,Average Size,%Area,Mean,
752-vuma-p3-l2,1,0.258,0.258,0.218,254.929,
754-brma-p1-l1,1,0.574,0.574,0.511,254.992,
754-brma-p1-l2,1,0.496,0.496,0.442,254.742,
754-brma-p1-l3,1,0.387,0.387,0.345,253.761,
754-brma-p2-l1,1,1.238,1.238,1.103,254.889,
754-brma-p2-l2,1,0.632,0.632,0.563,254.993,
754-brma-p2-l3,2,0.437,0.219,0.389,254.496,
754-brma-p3-l1,2,0.64,0.32,0.57,255,
754-brma-p3-l2,2,0.657,0.328,0.585,254.985,
754-brma-p3-l3,1,0.593,0.593,0.528,255,
754-brma-p4-l1,4,1.13,0.282,0.696,254.876,
754-brma-p4-l2,2,1.572,0.786,0.969,254.826,
754-brma-p4-l3,2,1.82,0.91,1.122,255,
754-brma-p5-l1,2,1.619,0.809,0.998,254.973,
754-brma-p5-l2,1,1.004,1.004,0.619,255,
754-brma-p5-l3,2,0.975,0.488,0.601,254.922,
754-homu-p1-l1,2,1.579,0.789,1.194,254.972,
754-homu-p1-l2,1,1.109,1.109,0.839,254.93,
754-homu-p1-l3,1,0.938,0.938,0.71,254.956,
754-homu-p2-l1,4,1.975,0.494,1.493,254.599,
754-homu-p2-l2,1,1.731,1.731,1.309,254.923,
754-homu-p2-l3,2,1.914,0.957,1.448,254.907,
754-homu-p3-l1,4,2.412,0.603,1.824,254.843,
754-homu-p3-l2,1,2.003,2.003,1.515,254.84,
754-homu-p3-l3,2,1.801,0.9,1.362,254.807,
754-homu-p4-l1,2,1.759,0.88,1.607,254.985,
754-homu-p4-l2,1,1.549,1.549,1.416,254.894,
754-homu-p4-l3,2,1.728,0.864,1.578,254.917,
754-homu-p5-l1,3,2.964,0.988,2.708,254.88,
754-homu-p5-l2,4,3.1,0.775,2.832,254.944,
754-homu-p5-l3,3,2.022,0.674,1.847,254.98,
754-vuma-p1-l1,1,0.974,0.974,0.64,254.991,
754-vuma-p1-l2,4,1.434,0.358,0.942,254.958,
754-vuma-p1-l3,1,0.621,0.621,0.408,255,
754-vuma-p2-l1,2,0.897,0.448,0.589,254.956,
754-vuma-p2-l2,3,0.845,0.282,0.555,254.922,
754-vuma-p2-l3,3,3.658,1.219,2.403,254.985,
754-vuma-p3-l1,1,1.128,1.128,0.741,254.939,
754-vuma-p3-l2,3,1.036,0.345,0.681,254.963,
754-vuma-p3-l3,3,1.671,0.557,1.098,254.992,
754-vuma-p4-l1,2,0.915,0.458,0.439,254.945,
754-vuma-p4-l2,3,1.348,0.449,0.646,254.94,
754-vuma-p4-l3,3,0.284,0.095,0.136,255,
754-vuma-p5-l1,4,1.286,0.322,0.616,254.997,
754-vuma-p5-l2,1,0.662,0.662,0.317,255,
754-vuma-p5-l3,3,1.609,0.536,0.771,254.942,
755-homu-p1-l1,1,0.628,0.628,0.444,254.825,
755-homu-p1-l2,2,0.883,0.441,0.623,254.869,
755-homu-p1-l3,1,0.787,0.787,0.556,254.657,
755-homu-p2-l1,1,0.753,0.753,0.532,254.709,
755-homu-p2-l2,1,0.596,0.596,0.421,254.9,
755-homu-p2-l3,1,0.303,0.303,0.214,254.894,
755-homu-p3-l1,1,0.733,0.733,0.518,254.9,
755-homu-p3-l2,1,0.58,0.58,0.409,254.984,
755-homu-p3-l3,1,0.568,0.568,0.401,254.992,
755-homu-p4-l1,3,0.721,0.24,0.44,254.626,
755-homu-p4-l2,1,0.443,0.443,0.271,254.948,
755-homu-p4-l3,1,0.326,0.326,0.199,254.776,
755-homu-p5-l1,1,0.77,0.77,0.47,254.852,
755-homu-p5-l2,2,0.855,0.427,0.522,254.512,
755-homu-p5-l3,2,0.802,0.401,0.49,254.927,
755-vuma-p1-l1,3,0.607,0.202,0.487,255,
755-vuma-p1-l2,1,0.559,0.559,0.449,254.853,
755-vuma-p1-l3,2,0.416,0.208,0.334,254.558,
755-vuma-p2-l1,1,0.593,0.593,0.477,254.908,
755-vuma-p2-l2,1,0.67,0.67,0.538,255,
755-vuma-p2-l3,1,0.513,0.513,0.412,255,
755-vuma-p3-l1,1,0.603,0.603,0.484,254.629,
755-vuma-p3-l2,3,0.882,0.294,0.709,254.812,
755-vuma-p3-l3,3,0.64,0.213,0.514,254.171,
755-vuma-p4-l1,1,0.385,0.385,0.366,255,
755-vuma-p4-l2,1,0.267,0.267,0.253,254.931,
755-vuma-p5-l1,1,0.236,0.236,0.224,254.923,
