Name,Count,Total Area,Average Size,%Area,Mean,
752-pler-p2-l1,1,1.018,1.018,1.592,255,
752-pler-p2-l2,1,1.109,1.109,1.734,255,
752-pler-p2-l3,1,0.819,0.819,1.28,255,
752-pler-p3-l1,1,1.266,1.266,2.285,255,
752-pler-p3-l2,1,1.231,1.231,2.221,255,
752-pler-p3-l3,1,1.474,1.474,2.661,255,
743-laca-p1-l1,1,0.909,0.909,3.113,255,
743-laca-p1-l2,2,0.824,0.412,2.823,255,
743-laca-p1-l3,1,0.853,0.853,2.921,255,
743-laca-p2-l1,1,0.527,0.527,1.441,255,
743-laca-p2-l2,2,0.668,0.334,1.824,255,
743-laca-p2-l3,1,0.206,0.206,0.564,255,
743-laca-p3-l1,2,0.628,0.314,2.568,255,
743-laca-p3-l2,1,0.502,0.502,2.054,255,
743-laca-p3-l3,1,0.513,0.513,2.097,255,
743-laca-p4-l1,1,0.329,0.329,1.237,255,
743-laca-p4-l2,1,0.463,0.463,1.745,255,
743-laca-p4-l3,1,0.331,0.331,1.247,255,
743-laca-p5-l1,1,0.318,0.318,0.947,255,
743-laca-p5-l2,2,0.295,0.148,0.88,255,
743-laca-p5-l3,2,0.378,0.189,1.128,255,
744-laca-p1-l1.jpeg,1,0.946,0.946,6.479,255,
744-laca-p1-l2,1,0.737,0.737,3.297,255,
744-laca-p1-l3,1,0.745,0.745,3.33,255,
744-laca-p2-l1,1,0.648,0.648,2.685,255,
744-laca-p2-l2,2,0.692,0.346,2.867,255,
744-laca-p2-l3,1,0.645,0.645,2.674,255,
744-laca-p3-l1,3,1.039,0.346,3.409,255,
744-laca-p3-l2,3,0.703,0.234,2.305,255,
744-laca-p3-l3,2,0.799,0.399,2.621,255,
744-laca-p4-l1,1,0.564,0.564,2.848,255,
744-laca-p4-l2,1,0.634,0.634,3.203,255,
744-laca-p4-l3,1,0.344,0.344,1.735,255,
744-laca-p5-l1,1,0.645,0.645,2.309,255,
744-laca-p5-l2,1,0.634,0.634,2.269,255,
744-laca-p5-l3,2,0.634,0.317,2.269,255,
743-laca-p6-l1,1,0.264,0.264,2.517,255,
743-laca-p6-l2,1,0.279,0.279,2.664,255,
743-laca-p6-l3,1,0.177,0.177,1.686,255,
743-laca-p7-l1,1,0.123,0.123,0.573,255,
743-laca-p7-l2,1,0.126,0.126,0.586,255,
743-laca-p7-l3,1,0.079,0.079,0.366,255,
743-laca-p8-l1,1,0.223,0.223,1.239,255,
743-laca-p8-l2,1,0.24,0.24,1.33,255,
743-laca-p8-l3,1,0.092,0.092,0.513,255,
741-eupe-p1-l1,1,0.57,0.57,2.544,255,
741-eupe-p1-l2,1,0.812,0.812,3.621,255,
741-eupe-p1-l3,1,0.754,0.754,3.365,255,
741-eupe-p2-l1,1,1.105,1.105,5.348,255,
741-eupe-p2-l2,1,0.626,0.626,3.03,255,
741-eupe-p2-l3,1,0.961,0.961,4.648,255,
741-eupe-p3-l1,1,0.759,0.759,3.029,255,
741-eupe-p3-l2,1,0.552,0.552,2.202,255,
741-eupe-p3-l3,1,0.524,0.524,2.09,255,
751-eupe-p1-l1,1,0.425,0.425,1.583,255,
751-eupe-p1-l2,1,0.404,0.404,1.506,255,
751-eupe-p1-l3,1,0.383,0.383,1.428,255,
751-eupe-p2-l1,1,0.271,0.271,1.004,255,
751-eupe-p2-l2,1,0.265,0.265,0.983,255,
751-eupe-p2-l3,1,0.233,0.233,0.863,255,
751-eupe-p3-l1,1,0.462,0.462,2.984,255,
751-eupe-p3-l2,1,0.416,0.416,2.686,255,
751-eupe-p3-l3,1,0.444,0.444,2.866,255,
751-eupe-p4-l1,1,0.46,0.46,1.781,255,
751-eupe-p4-l2,1,0.489,0.489,1.891,255,
751-eupe-p4-l3,1,0.532,0.532,2.058,255,
751-eupe-p5-l1,1,0.358,0.358,1.313,255,
751-eupe-p5-l2,1,0.36,0.36,1.319,255,
751-eupe-p5-l3,1,0.322,0.322,1.18,255,
750-chgl-p1-l1,1,0.746,0.746,2.066,255,
750-chgl-p1-l2,1,0.545,0.545,1.51,255,
750-chgl-p1-l3,1,0.533,0.533,1.477,255,
750-chgl-p2-l1,1,0.665,0.665,1.627,255,
750-chgl-p2-l2,1,0.766,0.766,1.875,255,
750-chgl-p2-l3,1,0.511,0.511,1.251,255,
750-chgl-p3-l1,1,0.532,0.532,1.582,255,
750-chgl-p3-l2,1,0.577,0.577,1.715,255,
750-chgl-p3-l3,1,0.554,0.554,1.647,255,
741-amme-p1-l1,1,10.487,10.487,17.024,255,
741-amme-p1-l2,1,2.438,2.438,3.958,255,
741-amme-p1-l3,1,7.768,7.768,12.61,255,
746-amme-p1-l1.jpeg,1,0.52,0.52,0.74,255,
746-amme-p1-l2.jpeg,1,0.452,0.452,0.643,255,
746-amme-p1-l3.jpeg,1,0.446,0.446,0.634,255,
746-amme-p2-l1.jpeg,1,1.086,1.086,3.31,255,
746-amme-p2-l2.jpeg,1,0.813,0.813,2.477,255,
746-amme-p2-l3.jpeg,1,0.725,0.725,2.208,255,
743-mica-p1-l1.jpeg,1,0.47,0.47,6.226,239.21,
743-mica-p1-l2,1,0.349,0.349,1.019,254.398,
743-mica-p1-l3,1,0.163,0.163,0.474,253.622,
743-mica-p2-l1.jpeg,1,0.149,0.149,4.72,254.877,
743-mica-p2-l2,1,0.162,0.162,1.125,255,
743-mica-p2-l3,1,0.157,0.157,1.089,254.65,
743-mica-p3-l1,1,0.193,0.193,1.41,255,
743-mica-p3-l2,1,0.202,0.202,1.481,255,
743-mica-p3-l3,1,0.205,0.205,1.503,254.955,
753-eupe-p1-l1,1,0.808,0.808,4.392,255,
753-eupe-p1-l2,1,0.936,0.936,5.093,254.985,
753-eupe-p1-l3,1,0.759,0.759,4.129,255,
753-eupe-p2-l1,1,0.761,0.761,3.931,255,
753-eupe-p2-l2,1,0.923,0.923,4.771,255,
753-eupe-p2-l3,1,0.543,0.543,2.808,255,
753-eupe-p3-l1,1,0.524,0.524,2.022,255,
753-eupe-p3-l2,1,0.769,0.769,2.967,254.97,
753-eupe-p3-l3,1,0.651,0.651,2.513,255,
753-eupe-p4-l1,1,0.722,0.722,5.269,254.968,
753-eupe-p4-l2,1,0.557,0.557,4.061,255,
753-eupe-p4-l3,1,0.723,0.723,5.273,254.994,
753-eupe-p5-l1,1,0.34,0.34,0.962,255,
753-eupe-p5-l2,1,0.646,0.646,1.831,254.965,
753-eupe-p5-l3,1,0.295,0.295,0.835,254.891,
749-laca-p1-l1,1,0.686,0.686,2.036,254.98,
749-laca-p1-l2,1,0.724,0.724,2.149,254.129,
749-laca-p1-l3,1,0.443,0.443,1.315,253.835,
749-laca-p2-l1,1,0.512,0.512,1.463,253.537,
749-laca-p2-l2,2,1.158,0.579,3.306,253.991,
749-laca-p2-l3,2,1.01,0.505,2.884,254.602,
749-laca-p3-l1,1,0.557,0.557,2.466,254.581,
749-laca-p3-l2,1,0.55,0.55,2.437,254.817,
749-laca-p3-l3,1,0.484,0.484,2.145,254.509,
749-laca-p4-l1,2,1.502,0.751,3.721,254.621,
749-laca-p4-l2,1,1.023,1.023,2.534,254.897,
749-laca-p4-l3,1,0.479,0.479,1.186,254.065,
749-laca-p5-l1,1,0.482,0.482,1.597,254.867,
749-laca-p5-l2,1,0.268,0.268,0.886,251.072,
749-laca-p5-l3,1,0.181,0.181,0.598,254.798,
749-saco-p1-l1,1,4.408,4.408,9.776,254.944,
749-saco-p1-l2,1,4.688,4.688,10.396,254.98,
749-saco-p1-l3,1,3.362,3.362,7.457,248.559,
749-saco-p2-l1,4,12.539,3.135,8.608,254.428,
749-saco-p2-l2,2,12.663,6.331,8.693,253.799,
749-saco-p2-l3,1,5.862,5.862,4.024,254.935,
749-saco-p3-l1,2,14.734,7.367,13.006,253.936,
749-saco-p3-l2,1,14.664,14.664,12.945,254.845,
749-saco-p3-l3,1,13.939,13.939,12.305,254.965,
749-saco-p4-l1,1,10.403,10.403,10.539,254.965,
749-saco-p4-l2,1,7.513,7.513,7.611,254.957,
749-saco-p4-l3,1,7.315,7.315,7.411,254.967,
749-saco-p5-l1,3,14.409,4.803,10.35,254.895,
749-saco-p5-l2,2,7.458,3.729,5.357,254.976,
749-saco-p5-l3,2,6.927,3.464,4.976,254.947,
749-amme-p1-l1,1,1.664,1.664,6.568,254.566,
749-amme-p1-l2,1,1.463,1.463,5.775,254.913,
749-amme-p1-l3,1,1.078,1.078,4.256,254.648,
749-amme-p2-l1,1,1.572,1.572,4.191,254.544,
749-amme-p2-l2,1,1.029,1.029,2.744,254.591,
749-amme-p2-l3,1,0.518,0.518,1.381,254.727,
749-amme-p3-l1,1,2.564,2.564,7.218,253.471,
749-amme-p3-l2,1,2.392,2.392,6.733,254.679,
749-amme-p3-l3,1,2.564,2.564,7.217,254.929,
749-amme-p4-l1,1,1.593,1.593,3.776,254.507,
749-amme-p4-l2,1,0.924,0.924,2.191,254.57,
749-amme-p4-l3,1,0.882,0.882,2.089,254.321,
749-amme-p5-l1,1,0.792,0.792,1.837,254.873,
749-amme-p5-l2,1,0.642,0.642,1.488,254.594,
749-amme-p5-l3,1,0.478,0.478,1.108,254.838,
comp-clbo-p1-l1,1,0.265,0.265,0.543,254.828,
comp-clbo-p1-l2,1,0.507,0.507,1.038,254.874,
comp-clbo-p1-l3,1,0.382,0.382,0.782,254.928,
comp-clbo-p2-l1,1,0.456,0.456,2.156,254.98,
comp-clbo-p2-l2,1,0.402,0.402,1.899,254.966,
comp-clbo-p2-l3,1,0.419,0.419,1.98,254.978,
comp-clbo-p3-l1,1,0.4,0.4,0.805,255,
comp-clbo-p3-l2,1,0.61,0.61,1.23,254.963,
comp-clbo-p3-l3,1,0.387,0.387,0.781,254.894,
comp-clpu-p1-l1,1,0.194,0.194,0.741,254.553,
comp-clpu-p1-l2,1,0.188,0.188,0.718,251.306,
comp-clpu-p1-l3,1,0.228,0.228,0.871,249.953,
comp-clpu-p2-l1,1,0.633,0.633,2.512,254.921,
comp-clpu-p2-l2,1,0.487,0.487,1.935,254.962,
comp-clpu-p2-l3,1,0.511,0.511,2.03,254.973,
comp-clpu-p3-l1,1,0.517,0.517,0.758,254.876,
comp-clpu-p3-l2,1,0.769,0.769,1.127,254.78,
comp-clpu-p3-l3,1,0.641,0.641,0.94,254.665,
comp-clpu-p4-l1,1,0.653,0.653,1.794,254.916,
comp-clpu-p4-l2,1,0.633,0.633,1.74,254.661,
comp-clpu-p4-l3,1,0.413,0.413,1.135,254.734,
comp-lopu-p2-l1,3,0.739,0.246,1.69,254.247,
comp-lopu-p2-l2,3,0.796,0.265,1.82,253.555,
comp-lopu-p2-l3,3,0.77,0.257,1.76,254.898,
comp-lowr-p4-l1,4,1.123,0.281,2.313,254.958,
comp-lowr-p4-l2,4,0.816,0.204,1.679,254.72,
comp-lowr-p4-l3,4,0.966,0.242,1.99,254.457,
comp-mepo-p4-l1,3,0.966,0.322,1.884,254.996,
comp-mepo-p4-l2,3,1.253,0.418,2.443,255,
comp-mepo-p4-l3,3,1.266,0.422,2.468,254.97,
comp-mica-p1-l1,1,0.155,0.155,2.425,250.603,
comp-mica-p1-l2,2,0.153,0.076,1.707,254.843,
comp-mica-p1-l3,1,0.179,0.179,1.271,255,
comp-saco-p2-l1,1,2.297,2.297,4.458,255,
comp-saco-p2-l2,1,2.013,2.013,3.907,254.995,
comp-saco-p2-l3,1,1.454,1.454,2.822,254.997,
comp-saco-p3-l1,1,2.616,2.616,3.522,248.068,
comp-saco-p3-l2,1,3.778,3.778,5.087,254.689,
comp-saco-p3-l3,1,2.091,2.091,2.815,254.998,
comp-saco-p4-l1,1,2.645,2.645,4.256,254.969,
comp-saco-p4-l2,1,1.661,1.661,2.672,255,
comp-saco-p4-l3,1,1.59,1.59,2.558,254.937,
comp-aghe-p1-l1,5,2.776,0.555,0.75,254.533,
comp-aghe-p1-l2,5,3.861,0.772,1.043,254.612,
comp-aghe-p1-l3,7,4.906,0.701,1.325,254.876,
comp-aghe-p2-l1,5,3.379,0.676,1.142,254.54,
comp-aghe-p2-l2,5,4.312,0.862,1.457,254.657,
comp-aghe-p2-l3,7,4.222,0.603,1.427,254.689,
comp-aghe-p3-l1,5,2.895,0.579,1.149,254.266,
comp-aghe-p3-l2,4,2.906,0.727,1.154,254.889,
comp-aghe-p3-l3,4,2.108,0.527,0.837,254.646,
comp-aghe-p4-l1,3,2.48,0.827,1.34,254.753,
comp-aghe-p4-l2,3,2.553,0.851,1.38,254.907,
comp-aghe-p4-l3,2,2.227,1.114,1.204,254.955,
comp-aghe-p5-l1,3,3.098,1.033,1.164,254.427,
comp-aghe-p5-l2,4,2.659,0.665,0.999,254.856,
comp-aghe-p5-l3,6,2.158,0.36,0.811,254.728,
comp-amme-p1-l1,3,6.445,2.148,3.729,254.864,
comp-amme-p1-l2,3,6.402,2.134,3.704,254.93,
comp-amme-p1-l3,2,4.472,2.236,2.587,255,
comp-amme-p2-l1,1,1.453,1.453,1.661,254.956,
comp-amme-p2-l2,1,0.578,0.578,0.661,254.96,
comp-amme-p2-l3,1,1.46,1.46,1.668,254.987,
comp-amme-p3-l1,1,2.716,2.716,2.424,254.951,
comp-amme-p3-l2,2,4.439,2.22,3.962,254.851,
comp-amme-p3-l3,1,2.257,2.257,2.014,254.937,
comp-amme-p4-l1,1,1.646,1.646,2.395,254.914,
comp-amme-p4-l2,2,1.754,0.877,2.552,254.995,
comp-amme-p4-l3,2,2.949,1.474,4.291,254.788,
comp-amme-p5-l1,3,6.819,2.273,5.856,254.978,
comp-amme-p5-l2,2,4.392,2.196,3.771,254.953,
comp-amme-p5-l3,2,3.867,1.933,3.32,254.988,
comp-eupe-p1-l1,1,0.292,0.292,1.307,255,
comp-eupe-p1-l2,1,0.313,0.313,1.401,254.825,
comp-eupe-p1-l3,1,0.28,0.28,1.254,255,
comp-eupe-p2-l1,1,0.863,0.863,1.419,255,
comp-eupe-p2-l2,1,0.68,0.68,1.119,254.456,
comp-eupe-p2-l3,1,0.578,0.578,0.95,254.976,
comp-eupe-p3-l1,1,0.517,0.517,0.949,254.885,
comp-eupe-p3-l2,1,0.606,0.606,1.112,254.992,
comp-eupe-p3-l3,1,0.719,0.719,1.319,254.898,
comp-eupe-p4-l1,1,0.634,0.634,2.049,255,
comp-eupe-p4-l2,1,0.762,0.762,2.461,254.916,
comp-eupe-p4-l3,1,0.647,0.647,2.089,254.972,
comp-eupe-p5-l1,1,0.516,0.516,1.77,255,
comp-eupe-p5-l2,1,0.573,0.573,1.965,254.904,
comp-eupe-p5-l3,1,0.613,0.613,2.104,254.978,
comp-homu-p1-l1,1,0.871,0.871,1.841,255,
comp-homu-p1-l2,2,0.914,0.457,1.932,254.994,
comp-homu-p1-l3,1,0.83,0.83,1.753,254.989,
comp-homu-p2-l1,3,1.981,0.66,2.891,254.998,
comp-homu-p2-l2,5,2.921,0.584,4.264,254.996,
comp-homu-p2-l3,5,1.822,0.364,2.659,255,
comp-homu-p3-l1,2,1.361,0.681,1.169,255,
comp-homu-p3-l2,3,2.285,0.762,1.963,254.976,
comp-homu-p3-l3,4,1.854,0.464,1.592,254.986,
comp-homu-p4-l1,4,2.012,0.503,1.529,254.925,
comp-homu-p4-l2,3,1.871,0.624,1.422,254.903,
comp-homu-p4-l3,3,2.513,0.838,1.909,254.989,
comp-homu-p5-l1,3,1.437,0.479,2.195,254.959,
comp-homu-p5-l2,2,1.031,0.515,1.575,254.994,
comp-homu-p5-l3,1,1.014,1.014,1.548,254.995,
comp-laca-p1-l1,1,0.283,0.283,1.018,253.901,
comp-laca-p1-l2,1,0.162,0.162,0.582,254.548,
comp-laca-p1-l3,2,0.178,0.089,0.642,253.839,
comp-laca-p2-l1,1,0.258,0.258,0.997,253.672,
comp-laca-p2-l2,1,0.114,0.114,0.44,254.599,
comp-laca-p2-l3,2,0.266,0.133,1.028,254.184,
comp-lopu-p1-l1,3,0.979,0.326,2.745,254.646,
comp-lopu-p1-l2,3,0.872,0.291,2.445,254.325,
comp-lopu-p1-l3,3,0.78,0.26,2.188,254.744,
comp-lowr-p1-l1,4,0.741,0.185,1.871,254.827,
comp-lowr-p1-l2,5,0.896,0.179,2.264,254.359,
comp-lowr-p1-l3,5,1.126,0.225,2.845,254.954,
comp-lowr-p2-l1,4,1.462,0.366,3.873,254.945,
comp-lowr-p2-l2,6,1.448,0.241,3.835,254.784,
comp-lowr-p2-l3,4,0.788,0.197,2.088,254.829,
comp-lowr-p3-l1,4,1.039,0.26,2.572,254.835,
comp-lowr-p3-l2,4,0.79,0.198,1.957,254.596,
comp-lowr-p3-l3,4,0.717,0.179,1.775,254.892,
comp-lowr-p5-l1,4,0.806,0.201,1.732,254.916,
comp-lowr-p5-l2,4,0.654,0.163,1.405,254.55,
comp-lowr-p5-l3,4,0.601,0.15,1.291,254.462,
comp-mepo-p1-l1,4,1.347,0.337,1.479,254.991,
comp-mepo-p1-l2,4,1.438,0.359,1.579,255,
comp-mepo-p1-l3,4,1.724,0.431,1.894,254.841,
comp-mepo-p2-l1,3,2.044,0.681,1.72,255,
comp-mepo-p2-l2,3,1.923,0.641,1.619,255,
comp-mepo-p2-l3,3,1.897,0.632,1.597,255,
comp-mepo-p3-l1,3,1.868,0.623,4.501,254.448,
comp-mepo-p3-l2,3,1.829,0.61,4.407,254.948,
comp-mepo-p3-l3,3,1.965,0.655,4.734,254.987,
comp-mepo-p5-l1,3,1.464,0.488,2.122,255,
comp-mepo-p5-l2,3,1.802,0.601,2.611,254.982,
comp-mepo-p5-l3,3,2.067,0.689,2.995,254.991,
comp-pler-p1-l1,1,0.789,0.789,0.773,255,
comp-pler-p1-l2,1,0.891,0.891,0.873,254.743,
comp-pler-p1-l3,2,0.728,0.364,0.714,254.593,
comp-pler-p2-l1,2,1.183,0.592,1.579,254.776,
comp-pler-p2-l2,2,0.982,0.491,1.311,254.982,
comp-pler-p2-l3,2,0.984,0.492,1.314,254.917,
comp-pler-p3-l1,2,1.305,0.652,0.913,254.901,
comp-pler-p3-l2,2,1.428,0.714,0.999,254.502,
comp-pler-p3-l3,2,1.553,0.777,1.087,254.861,
comp-pler-p4-l1,2,1.116,0.558,1.096,254.864,
comp-pler-p4-l2,2,1.184,0.592,1.163,254.697,
comp-pler-p4-l3,2,0.859,0.43,0.844,254.673,
comp-pler-p5-l1,2,1.172,0.586,0.953,254.711,
comp-pler-p5-l2,2,0.764,0.382,0.622,254.906,
comp-pler-p5-l3,2,1.458,0.729,1.186,254.985,
comp-saco-p1-l1,1,1.175,1.175,1.865,254.984,
comp-saco-p1-l2,1,1.594,1.594,2.531,254.974,
comp-saco-p1-l3,1,0.649,0.649,1.03,255,
comp-vuma-p1-l1,1,0.373,0.373,0.577,255,
comp-vuma-p1-l2,1,0.279,0.279,0.432,255,
comp-vuma-p1-l3,1,0.355,0.355,0.55,254.936,
741-lowr-p1-l1,4,0.919,0.23,1.456,254.923,
741-lowr-p1-l2,4,0.886,0.221,1.403,255,
741-lowr-p1-l3,5,0.682,0.136,1.081,254.9,
741-lowr-p2-l1,4,0.888,0.222,1.185,254.989,
741-lowr-p2-l2,4,0.921,0.23,1.228,254.949,
741-lowr-p2-l3,4,0.595,0.149,0.793,254.892,
741-lowr-p3-l1,4,0.743,0.186,1.052,254.784,
741-lowr-p3-l2,4,0.777,0.194,1.1,254.993,
741-lowr-p3-l3,4,0.615,0.154,0.871,254.56,
741-lowr-p4-l1,4,0.549,0.137,0.951,254.792,
741-lowr-p4-l2,5,1.571,0.314,2.721,255,
741-lowr-p4-l3,4,0.462,0.116,0.801,254.91,
741-lowr-p5-l1,4,1.182,0.295,1.441,254.992,
741-lowr-p5-l2,5,1.647,0.329,2.008,254.985,
741-lowr-p5-l3,4,1.286,0.321,1.568,254.979,
742-eupe-p1-l1,1,0.701,0.701,2.056,254.993,
742-eupe-p1-l2,1,0.654,0.654,1.92,254.609,
742-eupe-p1-l3,1,0.666,0.666,1.954,254.973,
742-eupe-p2-l1,1,0.542,0.542,0.7,254.578,
742-eupe-p2-l2,1,0.379,0.379,0.489,255,
742-eupe-p2-l3,1,0.266,0.266,0.343,254.467,
742-eupe-p3-l1,1,0.438,0.438,2.686,254.958,
742-eupe-p3-l2,1,0.449,0.449,2.753,254.868,
742-eupe-p3-l3,1,0.454,0.454,2.782,255,
742-eupe-p4-l1,1,0.857,0.857,2.808,254.845,
742-eupe-p4-l2,1,0.472,0.472,1.546,255,
742-eupe-p4-l3,1,0.39,0.39,1.279,254.941,
742-eupe-p5-l1,1,0.196,0.196,0.397,255,
742-eupe-p5-l2,1,0.338,0.338,0.687,255,
742-eupe-p5-l3,1,0.2,0.2,0.406,254.954,
743-eupe-p1-l1,1,0.713,0.713,1.355,255,
743-eupe-p1-l2,1,0.641,0.641,1.219,254.993,
743-eupe-p1-l3,1,0.441,0.441,0.838,255,
743-eupe-p2-l1,1,0.463,0.463,1.599,254.98,
743-eupe-p2-l2,1,0.553,0.553,1.909,254.992,
743-eupe-p2-l3,1,0.671,0.671,2.316,255,
743-eupe-p3-l1,1,0.466,0.466,2.097,254.383,
743-eupe-p3-l2,1,0.51,0.51,2.293,252.866,
743-eupe-p3-l3,1,0.415,0.415,1.864,254.923,
743-lowr-p1-l1,3,0.579,0.193,1.313,254.972,
743-lowr-p1-l2,3,0.495,0.165,1.123,254.832,
743-lowr-p1-l3,3,0.58,0.193,1.316,254.084,
743-lowr-p2-l1,5,0.594,0.119,0.959,254.377,
743-lowr-p2-l2,3,0.463,0.154,0.747,254.656,
743-lowr-p2-l3,3,0.276,0.092,0.445,252.643,
743-lowr-p3-l1,4,0.813,0.203,1.385,254.913,
743-lowr-p3-l2,5,0.729,0.146,1.242,254.6,
743-lowr-p3-l3,4,0.746,0.187,1.271,254.955,
743-saco-p1-l1,1,1.291,1.291,3.952,253.191,leaf_only
743-saco-p1-l2,1,1.397,1.397,4.275,254.607,leaf_only
743-saco-p1-l3,1,1.069,1.069,3.272,254.008,leaf_only
743-saco-p1-l1,1,0.087,0.087,0.297,254.525,petiole
743-saco-p1-l2,1,0.154,0.154,0.531,245.476,petiole
743-saco-p1-l3,1,0.072,0.072,0.247,251.055,petiole
753-aghe-p1-l1,1,1.476,1.476,0.963,253.554,
753-aghe-p1-l2,1,1.91,1.91,1.246,253.775,
753-aghe-p1-l3,2,2.166,1.083,1.414,254.197,
753-amme-p1-l1,1,1.083,1.083,2.846,254.975,
753-amme-p1-l2,1,1.825,1.825,4.799,254.977,
753-amme-p1-l3,1,1.059,1.059,2.785,254.884,
753-amme-p2-l1,1,0.671,0.671,0.734,254.884,
753-amme-p2-l2,1,0.49,0.49,0.535,254.944,
753-amme-p2-l3,1,0.426,0.426,0.466,254.753,
753-mepo-p1-l1,3,1.218,0.406,1.109,254.993,leaf_only
753-mepo-p1-l2,1,0.99,0.99,0.902,255,leaf_only
753-mepo-p1-l3,3,0.907,0.302,0.826,255,leaf_only
753-mepo-p1-l1,3,0.06,0.02,0.093,254.863,petiole
753-mepo-p1-l2,3,0.081,0.027,0.126,249.575,petiole
753-mepo-p1-l3,1,0.129,0.129,0.201,254.894,petiole
753-mepo-p2-l1,3,1.09,0.363,0.924,254.989,leaf_only
753-mepo-p2-l2,1,1.238,1.238,1.05,254.993,leaf_only
753-mepo-p2-l3,2,1.618,0.809,1.372,254.981,leaf_only
753-mepo-p2-l1,1,0.078,0.078,0.3,254.588,petiole
753-mepo-p2-l2,1,0.091,0.091,0.352,238.971,petiole
753-mepo-p2-l3,1,0.098,0.098,0.38,250.158,petiole
753-mica-p1-l1,1,0.165,0.165,0.278,245.118,
753-mica-p1-l2,1,0.124,0.124,0.209,243.073,
753-mica-p1-l3,1,0.137,0.137,0.231,246.618,
754-mepo-p1-l1,1,1.469,1.469,1.815,255,leaf_only
754-mepo-p1-l2,3,1.254,0.418,1.549,254.987,leaf_only
754-mepo-p1-l3,1,1.464,1.464,1.809,254.997,leaf_only
754-mepo-p1-l1,1,0.145,0.145,0.271,254.874,petiole
754-mepo-p1-l2,1,0.162,0.162,0.303,253.276,petiole
754-mepo-p1-l3,1,0.139,0.139,0.261,253.489,petiole
754-mepo-p2-l1,2,1.075,0.538,1.849,254.961,leaf_only
754-mepo-p2-l2,2,1.163,0.582,2.001,253.949,leaf_only
754-mepo-p2-l3,1,0.772,0.772,1.327,252.785,leaf_only
754-mepo-p2-l1,3,0.113,0.038,0.203,252.508,petiole
754-mepo-p2-l2,1,0.056,0.056,0.101,253.534,petiole
754-mepo-p2-l3,1,0.073,0.073,0.132,250.124,petiole
754-mepo-p3-l1,1,1.654,1.654,2.568,254.992,leaf_only
754-mepo-p3-l2,1,1.096,1.096,1.701,255,leaf_only
754-mepo-p3-l3,2,1.263,0.631,1.96,255,leaf_only
754-mepo-p3-l1,1,0.167,0.167,0.775,250.046,petiole
754-mepo-p3-l2,1,0.047,0.047,0.216,253.429,petiole
754-mepo-p3-l3,1,0.096,0.096,0.447,247.165,petiole
749-brma-p2-l1,3,1.994,0.665,6.963,255,
749-brma-p2-l2,3,1.629,0.543,4.403,255,
749-brma-p2-l3,2,2.016,1.008,5.45,255,
748-aghe-p1-l1,1,0.602,0.602,1.417,255,
748-aghe-p1-l2,1,0.547,0.547,1.288,255,
748-aghe-p1-l3,1,0.181,0.181,0.426,255,
748-aghe-p2-l1,1,2.124,2.124,2.402,255,
748-aghe-p2-l2,2,2.125,1.062,2.402,255,
748-aghe-p2-l3,2,2.043,1.022,2.31,255,
748-aghe-p3-l1,1,0.769,0.769,2.113,255,
748-aghe-p3-l2,2,0.784,0.392,2.154,255,
748-aghe-p3-l3,1,0.761,0.761,2.089,255,
748-aghe-p4-l1,1,0.731,0.731,1.969,255,
748-aghe-p4-l2,1,0.442,0.442,1.192,255,
748-aghe-p4-l3,1,0.294,0.294,0.793,255,
748-aghe-p5-l1,1,0.551,0.551,1.582,254.311,
748-aghe-p5-l2,1,0.58,0.58,1.664,254.448,
748-aghe-p5-l3,1,0.455,0.455,1.306,250.328,
762-amme-p1-l1,1,2.024,2.024,5.821,254.876,
762-amme-p1-l2,1,2.05,2.05,5.896,252.573,
762-amme-p1-l3,1,1.454,1.454,4.182,254.934,
762-amme-p2-l1,1,1.1,1.1,2.434,254.663,
762-amme-p2-l2,1,1.56,1.56,3.453,254.903,
762-amme-p2-l3,1,1.001,1.001,2.216,254.416,
762-amme-p3-l1,1,0.669,0.669,3.637,254.317,
762-amme-p3-l2,1,0.613,0.613,3.331,254.448,
762-amme-p3-l3,1,0.582,0.582,3.161,254.678,
762-amme-p4-l1,1,0.778,0.778,3.221,254.213,
762-amme-p4-l2,1,0.866,0.866,3.585,253.106,
762-amme-p4-l3,1,1.035,1.035,4.285,254.086,
762-amme-p5-l1,3,1.746,0.582,3.231,254.411,
762-amme-p5-l2,3,1.371,0.457,2.536,252.13,
762-amme-p5-l3,1,1.1,1.1,2.035,254.871,
750-saco-p1-l1,1,1.535,1.535,4.779,254.923,
750-saco-p1-l2,1,1.635,1.635,5.092,254.939,
750-saco-p1-l3,1,1.427,1.427,4.443,255,
750-saco-p2-l1,1,1.937,1.937,4.216,254.967,
750-saco-p2-l2,1,1.636,1.636,3.561,254.994,
750-saco-p2-l3,1,1.494,1.494,3.252,252.516,
750-saco-p3-l1,1,1.765,1.765,5.003,252.545,
750-saco-p3-l2,1,1.845,1.845,5.229,254.995,
750-saco-p3-l3,1,2.822,2.822,7.999,254.935,
750-saco-p4-l1,1,1.499,1.499,6.412,254.991,
750-saco-p4-l2,1,0.702,0.702,3.001,254.98,
750-saco-p4-l3,1,0.569,0.569,2.435,254.992,
750-saco-p5-l1,1,1.991,1.991,10.065,254.968,
750-saco-p5-l2,1,1.726,1.726,8.725,253.539,
750-saco-p5-l3,1,1.52,1.52,7.681,254.979,
